dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.311151,0.0,0.311151,0.0,1.952978,0.0,300,300,low_variance
misogynistic,mistral,expert_only,20.0,13.529343,0.753068,3.592989,0.753068,14.633088,0.552379,300,300,low_variance
misogynistic,mistral,expert_only,26.0,10.640504,0.578771,3.567575,0.578771,11.583031,0.435119,300,300,low_variance
misogynistic,mistral,expert_only,33.0,9.631849,0.513179,3.710347,0.513179,10.360347,0.402597,300,300,low_variance
misogynistic,mistral,expert_only,43.0,7.819994,0.424226,2.676181,0.424226,8.46822,0.32015,300,300,low_variance
misogynistic,mistral,expert_only,56.0,6.160999,0.316731,2.803977,0.316731,6.66488,0.231654,300,300,low_variance
misogynistic,mistral,expert_only,72.0,4.610613,0.245327,1.789454,0.245327,5.107461,0.17491,300,300,low_variance
misogynistic,mistral,expert_only,93.0,4.040947,0.217472,1.463231,0.217472,4.508858,0.1629,300,300,low_variance
misogynistic,mistral,expert_only,120.0,3.228898,0.173766,1.169358,0.173766,3.585605,0.121731,300,300,low_variance
misogynistic,mistral,expert_only,155.0,2.707922,0.145628,0.985187,0.145628,2.992994,0.100628,300,300,low_variance
misogynistic,mistral,expert_only,200.0,2.402284,0.12936,0.866473,0.12936,2.670054,0.094158,300,300,low_variance
misogynistic,mistral,dsl,20.0,4.525705,0.260222,-0.409062,0.260222,6.039125,0.184855,300,300,low_variance
misogynistic,mistral,dsl,26.0,3.801705,0.218229,0.407154,0.218229,4.985755,0.166686,300,300,low_variance
misogynistic,mistral,dsl,33.0,2.024305,0.116435,0.175229,0.116435,3.12233,0.092926,300,300,low_variance
misogynistic,mistral,dsl,43.0,1.816011,0.104838,0.024596,0.104838,2.708964,0.079591,300,300,low_variance
misogynistic,mistral,dsl,56.0,1.53885,0.088689,0.091314,0.088689,2.294149,0.067071,300,300,low_variance
misogynistic,mistral,dsl,72.0,1.173755,0.067766,-0.005442,0.067766,1.872456,0.053281,300,300,low_variance
misogynistic,mistral,dsl,93.0,1.091801,0.063035,-0.002339,0.063035,1.715633,0.04895,300,300,low_variance
misogynistic,mistral,dsl,120.0,0.833231,0.047902,-0.076785,0.047902,1.389398,0.040825,300,300,low_variance
misogynistic,mistral,dsl,155.0,0.772778,0.04461,-0.012987,0.04461,1.179406,0.0338,300,300,low_variance
misogynistic,mistral,dsl,200.0,0.664728,0.038363,-0.018719,0.038363,1.02636,0.028632,300,300,low_variance
misogynistic,mistral,ppi,20.0,10.11961,0.5775,1.534452,0.5775,10.956795,0.563941,300,300,low_variance
misogynistic,mistral,ppi,26.0,8.926003,0.505545,1.732276,0.505545,9.660966,0.485344,300,300,low_variance
misogynistic,mistral,ppi,33.0,5.376578,0.306598,0.840791,0.306598,6.146044,0.285694,300,300,low_variance
misogynistic,mistral,ppi,43.0,3.768414,0.213575,0.718785,0.213575,4.586019,0.193218,300,300,low_variance
misogynistic,mistral,ppi,56.0,3.3195,0.189744,0.467216,0.189744,3.927749,0.170061,300,300,low_variance
misogynistic,mistral,ppi,72.0,1.908873,0.108727,0.311928,0.108727,2.664279,0.09516,300,300,low_variance
misogynistic,mistral,ppi,93.0,1.941104,0.110669,0.305961,0.110669,2.541141,0.091035,300,300,low_variance
misogynistic,mistral,ppi,120.0,1.144155,0.06605,0.017923,0.06605,1.781233,0.056221,300,300,low_variance
misogynistic,mistral,ppi,155.0,1.12258,0.064611,0.088418,0.064611,1.651277,0.049748,300,300,low_variance
misogynistic,mistral,ppi,200.0,1.010874,0.058142,0.087807,0.058142,1.451068,0.041783,300,300,low_variance
misogynistic,mistral,ppipp,20.0,5.2788,0.297435,1.151265,0.297435,6.507889,0.228984,300,300,low_variance
misogynistic,mistral,ppipp,26.0,4.303257,0.238081,1.230116,0.238081,5.454614,0.185479,300,300,low_variance
misogynistic,mistral,ppipp,33.0,4.161053,0.226777,1.373349,0.226777,5.004886,0.173449,300,300,low_variance
misogynistic,mistral,ppipp,43.0,3.587461,0.198224,1.040244,0.198224,4.321157,0.145231,300,300,low_variance
misogynistic,mistral,ppipp,56.0,2.788079,0.150875,0.971801,0.150875,3.417628,0.105778,300,300,low_variance
misogynistic,mistral,ppipp,72.0,2.323135,0.128567,0.661898,0.128567,2.890124,0.09326,300,300,low_variance
misogynistic,mistral,ppipp,93.0,2.09852,0.116725,0.562439,0.116725,2.626682,0.087787,300,300,low_variance
misogynistic,mistral,ppipp,120.0,1.574578,0.088747,0.341287,0.088747,2.028446,0.06098,300,300,low_variance
misogynistic,mistral,ppipp,155.0,1.487365,0.083061,0.377496,0.083061,1.809317,0.058269,300,300,low_variance
misogynistic,mistral,ppipp,200.0,1.349501,0.07533,0.344616,0.07533,1.636359,0.054293,300,300,low_variance
