dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,200,,0.344,0.0,-0.344,0.0,300,300,prevalence
misogynistic,gpt54,expert_only,200,239.0,0.067228,0.003879,-0.0025,0.003879,300,300,prevalence
misogynistic,gpt54,expert_only,200,286.0,0.062514,0.003609,0.000467,0.003609,300,300,prevalence
misogynistic,gpt54,expert_only,200,342.0,0.062439,0.003596,-0.004467,0.003596,300,300,prevalence
misogynistic,gpt54,expert_only,200,409.0,0.061954,0.003577,0.0007,0.003577,300,300,prevalence
misogynistic,gpt54,expert_only,200,489.0,0.063804,0.003663,-0.006833,0.003663,300,300,prevalence
misogynistic,gpt54,expert_only,200,585.0,0.063232,0.00365,0.0011,0.00365,300,300,prevalence
misogynistic,gpt54,expert_only,200,699.0,0.061205,0.003533,-0.001267,0.003533,300,300,prevalence
misogynistic,gpt54,expert_only,200,836.0,0.066568,0.003843,-0.001333,0.003843,300,300,prevalence
misogynistic,gpt54,expert_only,200,1000.0,0.068535,0.003953,0.002833,0.003953,300,300,prevalence
misogynistic,gpt54,dsl,200,239.0,0.064175,0.003693,-0.005156,0.003693,300,300,prevalence
misogynistic,gpt54,dsl,200,286.0,0.05807,0.003352,-0.000864,0.003352,300,300,prevalence
misogynistic,gpt54,dsl,200,342.0,0.056603,0.003262,-0.003442,0.003262,300,300,prevalence
misogynistic,gpt54,dsl,200,409.0,0.055254,0.00319,-0.000217,0.00319,300,300,prevalence
misogynistic,gpt54,dsl,200,489.0,0.053924,0.003095,-0.005839,0.003095,300,300,prevalence
misogynistic,gpt54,dsl,200,585.0,0.055298,0.003191,0.002003,0.003191,300,300,prevalence
misogynistic,gpt54,dsl,200,699.0,0.052334,0.003014,-0.003769,0.003014,300,300,prevalence
misogynistic,gpt54,dsl,200,836.0,0.054811,0.003162,0.002073,0.003162,300,300,prevalence
misogynistic,gpt54,dsl,200,1000.0,0.055517,0.0032,0.003278,0.0032,300,300,prevalence
misogynistic,gpt54,ppi,200,239.0,0.064208,0.003693,-0.005593,0.003693,300,300,prevalence
misogynistic,gpt54,ppi,200,286.0,0.058087,0.003353,-0.001401,0.003353,300,300,prevalence
misogynistic,gpt54,ppi,200,342.0,0.056534,0.003255,-0.004254,0.003255,300,300,prevalence
misogynistic,gpt54,ppi,200,409.0,0.055274,0.00319,-0.001203,0.00319,300,300,prevalence
misogynistic,gpt54,ppi,200,489.0,0.054159,0.003101,-0.006983,0.003101,300,300,prevalence
misogynistic,gpt54,ppi,200,585.0,0.055214,0.003188,0.000474,0.003188,300,300,prevalence
misogynistic,gpt54,ppi,200,699.0,0.052353,0.003007,-0.005323,0.003007,300,300,prevalence
misogynistic,gpt54,ppi,200,836.0,0.054535,0.003149,0.000308,0.003149,300,300,prevalence
misogynistic,gpt54,ppi,200,1000.0,0.055944,0.003229,0.001324,0.003229,300,300,prevalence
misogynistic,gpt54,ppipp,200,239.0,0.065213,0.003759,-0.003759,0.003759,300,300,prevalence
misogynistic,gpt54,ppipp,200,286.0,0.059386,0.003429,-0.000241,0.003429,300,300,prevalence
misogynistic,gpt54,ppipp,200,342.0,0.058265,0.003355,-0.004182,0.003355,300,300,prevalence
misogynistic,gpt54,ppipp,200,409.0,0.057109,0.003297,9.8e-05,0.003297,300,300,prevalence
misogynistic,gpt54,ppipp,200,489.0,0.057276,0.003285,-0.006568,0.003285,300,300,prevalence
misogynistic,gpt54,ppipp,200,585.0,0.057072,0.003294,0.001118,0.003294,300,300,prevalence
misogynistic,gpt54,ppipp,200,699.0,0.054343,0.003133,-0.002746,0.003133,300,300,prevalence
misogynistic,gpt54,ppipp,200,836.0,0.05851,0.003378,-0.00022,0.003378,300,300,prevalence
misogynistic,gpt54,ppipp,200,1000.0,0.059721,0.003445,0.00261,0.003445,300,300,prevalence
