dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,50,,0.584651,0.0,-0.584651,0.0,300,300,low_variance
misogynistic,gpt54,expert_only,50,70.0,6.073107,0.326155,2.229255,0.326155,300,300,low_variance
misogynistic,gpt54,expert_only,50,97.0,6.004698,0.322479,2.204234,0.322479,300,300,low_variance
misogynistic,gpt54,expert_only,50,136.0,6.249133,0.341629,2.009614,0.341629,300,300,low_variance
misogynistic,gpt54,expert_only,50,189.0,6.852207,0.382675,1.737994,0.382675,300,300,low_variance
misogynistic,gpt54,expert_only,50,264.0,6.426592,0.349464,2.159521,0.349464,300,300,low_variance
misogynistic,gpt54,expert_only,50,368.0,7.226572,0.392905,2.43127,0.392905,300,300,low_variance
misogynistic,gpt54,expert_only,50,514.0,6.436808,0.351361,2.096693,0.351361,300,300,low_variance
misogynistic,gpt54,expert_only,50,717.0,6.966894,0.370856,2.697661,0.370856,300,300,low_variance
misogynistic,gpt54,expert_only,50,1000.0,6.671779,0.357809,2.470699,0.357809,300,300,low_variance
misogynistic,gpt54,dsl,50,70.0,3.579546,0.198175,1.015472,0.198175,300,300,low_variance
misogynistic,gpt54,dsl,50,97.0,2.951105,0.165277,0.716961,0.165277,300,300,low_variance
misogynistic,gpt54,dsl,50,136.0,2.687235,0.15396,0.331847,0.15396,300,300,low_variance
misogynistic,gpt54,dsl,50,189.0,2.780478,0.157789,0.511684,0.157789,300,300,low_variance
misogynistic,gpt54,dsl,50,264.0,2.40427,0.137204,0.364696,0.137204,300,300,low_variance
misogynistic,gpt54,dsl,50,368.0,2.22025,0.127501,0.229271,0.127501,300,300,low_variance
misogynistic,gpt54,dsl,50,514.0,2.073469,0.119645,0.069099,0.119645,300,300,low_variance
misogynistic,gpt54,dsl,50,717.0,1.916316,0.110415,0.121651,0.110415,300,300,low_variance
misogynistic,gpt54,dsl,50,1000.0,1.790068,0.103178,0.103022,0.103178,300,300,low_variance
misogynistic,gpt54,ppi,50,70.0,13.725021,0.790342,-0.99208,0.790342,300,300,low_variance
misogynistic,gpt54,ppi,50,97.0,7.812856,0.446512,1.108492,0.446512,300,300,low_variance
misogynistic,gpt54,ppi,50,136.0,6.823245,0.393029,0.463914,0.393029,300,300,low_variance
misogynistic,gpt54,ppi,50,189.0,6.493918,0.373756,0.512809,0.373756,300,300,low_variance
misogynistic,gpt54,ppi,50,264.0,5.57895,0.321972,0.158033,0.321972,300,300,low_variance
misogynistic,gpt54,ppi,50,368.0,3.873575,0.223359,0.19428,0.223359,300,300,low_variance
misogynistic,gpt54,ppi,50,514.0,3.29664,0.190204,-0.12059,0.190204,300,300,low_variance
misogynistic,gpt54,ppi,50,717.0,4.037816,0.233088,-0.070609,0.233088,300,300,low_variance
misogynistic,gpt54,ppi,50,1000.0,3.470158,0.200339,-0.036321,0.200339,300,300,low_variance
misogynistic,gpt54,ppipp,50,70.0,4.184729,0.22768,1.400183,0.22768,300,300,low_variance
misogynistic,gpt54,ppipp,50,97.0,3.800964,0.205973,1.311456,0.205973,300,300,low_variance
misogynistic,gpt54,ppipp,50,136.0,3.712049,0.20587,1.031782,0.20587,300,300,low_variance
misogynistic,gpt54,ppipp,50,189.0,3.746449,0.208974,0.966842,0.208974,300,300,low_variance
misogynistic,gpt54,ppipp,50,264.0,3.474797,0.190585,1.085067,0.190585,300,300,low_variance
misogynistic,gpt54,ppipp,50,368.0,3.629199,0.19938,1.115944,0.19938,300,300,low_variance
misogynistic,gpt54,ppipp,50,514.0,3.132463,0.175044,0.787546,0.175044,300,300,low_variance
misogynistic,gpt54,ppipp,50,717.0,3.220009,0.175162,1.078841,0.175162,300,300,low_variance
misogynistic,gpt54,ppipp,50,1000.0,3.339124,0.182655,1.068119,0.182655,300,300,low_variance
