dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,100,,0.884614,0.0,-25.581037,0.0,300,300,full_logistic
misogynistic,llama,expert_only,100,129.0,0.528326,0.00623,9.456428,2.556342,300,300,full_logistic
misogynistic,llama,expert_only,100,167.0,0.530131,0.006535,6.255538,2.410481,300,300,full_logistic
misogynistic,llama,expert_only,100,215.0,0.530936,0.007634,4.549731,2.614014,300,300,full_logistic
misogynistic,llama,expert_only,100,278.0,0.539821,0.007331,9.158723,2.652648,300,300,full_logistic
misogynistic,llama,expert_only,100,359.0,0.540581,0.007096,7.632525,2.470133,300,300,full_logistic
misogynistic,llama,expert_only,100,463.0,0.530713,0.006914,5.09192,2.385895,300,300,full_logistic
misogynistic,llama,expert_only,100,598.0,0.525783,0.007029,9.088817,2.349418,300,300,full_logistic
misogynistic,llama,expert_only,100,772.0,0.524296,0.006586,5.979138,2.305307,300,300,full_logistic
misogynistic,llama,expert_only,100,997.0,0.533317,0.006539,7.499788,2.45314,300,300,full_logistic
misogynistic,llama,dsl,100,129.0,0.869033,0.003835,12.878993,0.736429,300,300,full_logistic
misogynistic,llama,dsl,100,167.0,0.877181,0.003708,12.989823,0.743709,300,300,full_logistic
misogynistic,llama,dsl,100,215.0,0.882867,0.003536,12.691955,0.745429,300,300,full_logistic
misogynistic,llama,dsl,100,278.0,0.883901,0.003271,12.657417,0.729774,300,300,full_logistic
misogynistic,llama,dsl,100,359.0,0.887289,0.003233,12.027265,0.714664,300,300,full_logistic
misogynistic,llama,dsl,100,463.0,0.89566,0.002814,12.457005,0.728777,300,300,full_logistic
misogynistic,llama,dsl,100,598.0,0.894765,0.002651,11.564027,0.681766,300,300,full_logistic
misogynistic,llama,dsl,100,772.0,0.900626,0.002382,12.501613,0.708149,300,300,full_logistic
misogynistic,llama,dsl,100,997.0,0.901359,0.002237,10.36586,0.627838,300,300,full_logistic
misogynistic,llama,ppi,100,129.0,1.104409,0.029015,104.465278,9.141575,300,300,full_logistic
misogynistic,llama,ppi,100,167.0,1.001373,0.02445,79.33177,8.053203,300,300,full_logistic
misogynistic,llama,ppi,100,215.0,0.997116,0.023037,69.09266,8.134698,300,300,full_logistic
misogynistic,llama,ppi,100,278.0,0.930439,0.018626,52.571042,6.71028,300,300,full_logistic
misogynistic,llama,ppi,100,359.0,0.948874,0.020157,55.936727,7.446419,300,300,full_logistic
misogynistic,llama,ppi,100,463.0,0.951104,0.018758,53.147074,7.066664,300,300,full_logistic
misogynistic,llama,ppi,100,598.0,0.937604,0.022327,43.835622,7.182591,300,300,full_logistic
misogynistic,llama,ppi,100,772.0,0.959532,0.020142,54.693568,7.513472,300,300,full_logistic
misogynistic,llama,ppi,100,997.0,0.902608,0.018736,32.287224,5.991445,300,300,full_logistic
misogynistic,llama,ppipp,100,129.0,0.808371,0.001942,11.716019,1.013149,300,300,full_logistic
misogynistic,llama,ppipp,100,167.0,0.80967,0.001871,9.824152,0.95928,300,300,full_logistic
misogynistic,llama,ppipp,100,215.0,0.806781,0.001789,8.993421,0.99443,300,300,full_logistic
misogynistic,llama,ppipp,100,278.0,0.812575,0.001862,9.735336,1.014956,300,300,full_logistic
misogynistic,llama,ppipp,100,359.0,0.813126,0.002015,9.500815,0.962426,300,300,full_logistic
misogynistic,llama,ppipp,100,463.0,0.807527,0.001785,9.026554,0.949243,300,300,full_logistic
misogynistic,llama,ppipp,100,598.0,0.811112,0.001813,10.373789,0.923899,300,300,full_logistic
misogynistic,llama,ppipp,100,772.0,0.81298,0.001812,9.004253,0.949386,300,300,full_logistic
misogynistic,llama,ppipp,100,997.0,0.816622,0.001717,9.286322,0.949189,300,300,full_logistic
