dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,50,,0.915408,0.0,-41.692006,0.0,300,300,full_logistic
misogynistic,mistral,expert_only,50,70.0,0.751782,0.015678,55.34661,13.004831,300,300,full_logistic
misogynistic,mistral,expert_only,50,97.0,0.761811,0.015791,21.059977,11.954632,300,300,full_logistic
misogynistic,mistral,expert_only,50,136.0,0.768053,0.016868,42.787513,13.062225,300,300,full_logistic
misogynistic,mistral,expert_only,50,189.0,0.753845,0.017039,15.247055,11.102528,300,300,full_logistic
misogynistic,mistral,expert_only,50,264.0,0.76653,0.015196,16.584251,12.176874,300,300,full_logistic
misogynistic,mistral,expert_only,50,368.0,0.77087,0.017065,37.139757,12.184918,300,300,full_logistic
misogynistic,mistral,expert_only,50,513.0,0.777135,0.017096,44.720303,13.121976,300,300,full_logistic
misogynistic,mistral,expert_only,50,715.0,0.814817,0.017385,29.929524,12.324946,300,300,full_logistic
misogynistic,mistral,expert_only,50,997.0,0.764119,0.016854,19.191775,12.206843,300,300,full_logistic
misogynistic,mistral,dsl,50,70.0,0.856999,0.004638,40.476051,3.440434,300,300,full_logistic
misogynistic,mistral,dsl,50,97.0,0.860747,0.004665,38.279074,3.055271,300,300,full_logistic
misogynistic,mistral,dsl,50,136.0,0.878277,0.00446,28.660664,2.639895,300,300,full_logistic
misogynistic,mistral,dsl,50,189.0,0.881372,0.004847,30.055098,2.707582,300,300,full_logistic
misogynistic,mistral,dsl,50,264.0,0.886876,0.004396,28.417324,2.500716,300,300,full_logistic
misogynistic,mistral,dsl,50,368.0,0.900612,0.003954,31.666219,2.489532,300,300,full_logistic
misogynistic,mistral,dsl,50,513.0,0.897709,0.004106,31.631351,1.960623,300,300,full_logistic
misogynistic,mistral,dsl,50,715.0,0.904361,0.003727,32.674804,2.07759,300,300,full_logistic
misogynistic,mistral,dsl,50,997.0,0.912135,0.003395,29.118284,2.031588,300,300,full_logistic
misogynistic,mistral,ppi,50,70.0,1.853086,0.066222,261.78413,25.504065,300,300,full_logistic
misogynistic,mistral,ppi,50,97.0,1.590472,0.054292,230.202907,23.401771,300,300,full_logistic
misogynistic,mistral,ppi,50,136.0,1.36811,0.042407,107.487968,15.951144,300,300,full_logistic
misogynistic,mistral,ppi,50,189.0,1.222209,0.031659,134.404416,16.735265,300,300,full_logistic
misogynistic,mistral,ppi,50,264.0,1.614216,0.059071,123.907101,17.692903,300,300,full_logistic
misogynistic,mistral,ppi,50,368.0,1.581503,0.056969,123.562532,16.107719,300,300,full_logistic
misogynistic,mistral,ppi,50,513.0,1.435644,0.04694,117.643354,14.116304,300,300,full_logistic
misogynistic,mistral,ppi,50,715.0,1.422675,0.045789,120.100563,13.833606,300,300,full_logistic
misogynistic,mistral,ppi,50,997.0,1.392134,0.044464,120.497236,16.037994,300,300,full_logistic
misogynistic,mistral,ppipp,50,70.0,0.818327,0.002797,35.929305,3.546143,300,300,full_logistic
misogynistic,mistral,ppipp,50,97.0,0.815634,0.002969,29.421329,3.465116,300,300,full_logistic
misogynistic,mistral,ppipp,50,136.0,0.817914,0.003064,26.686843,3.562539,300,300,full_logistic
misogynistic,mistral,ppipp,50,189.0,0.820392,0.002947,23.634098,3.335129,300,300,full_logistic
misogynistic,mistral,ppipp,50,264.0,0.825494,0.002856,22.765087,3.479046,300,300,full_logistic
misogynistic,mistral,ppipp,50,368.0,0.825298,0.002834,27.429618,3.220472,300,300,full_logistic
misogynistic,mistral,ppipp,50,513.0,0.824922,0.00294,29.00249,3.333241,300,300,full_logistic
misogynistic,mistral,ppipp,50,715.0,0.826197,0.002889,28.635228,3.312582,300,300,full_logistic
misogynistic,mistral,ppipp,50,997.0,0.826435,0.002894,20.045685,3.271321,300,300,full_logistic
