dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,llama,llm_only,,0.081638,0.0,-0.096257,0.0,300,300
cuad,llama,expert_only,20.0,0.781888,0.016812,1.160061,0.186213,300,300
cuad,llama,expert_only,26.0,0.671934,0.015157,1.184928,0.14874,300,300
cuad,llama,expert_only,33.0,0.563454,0.011204,0.904607,0.119964,300,300
cuad,llama,expert_only,43.0,0.495487,0.010344,0.882127,0.109179,300,300
cuad,llama,expert_only,56.0,0.430014,0.008804,0.684095,0.094734,300,300
cuad,llama,expert_only,72.0,0.386597,0.009064,0.552358,0.076147,300,300
cuad,llama,expert_only,93.0,0.322852,0.006936,0.404572,0.062996,300,300
cuad,llama,expert_only,120.0,0.278907,0.005958,0.292317,0.042056,300,300
cuad,llama,expert_only,155.0,0.256926,0.005332,0.289878,0.042679,300,300
cuad,llama,expert_only,200.0,0.227741,0.004523,0.119815,0.03671,300,300
cuad,llama,dsl,20.0,0.528308,0.010062,-0.105724,0.124146,300,300
cuad,llama,dsl,26.0,0.432071,0.00842,0.17067,0.09313,300,300
cuad,llama,dsl,33.0,0.241706,0.006354,-0.009885,0.055705,300,300
cuad,llama,dsl,43.0,0.195464,0.00498,-0.005502,0.043051,300,300
cuad,llama,dsl,56.0,0.168728,0.003914,0.021947,0.035108,300,300
cuad,llama,dsl,72.0,0.147032,0.003263,-0.011456,0.032041,300,300
cuad,llama,dsl,93.0,0.129106,0.002773,0.01863,0.02635,300,300
cuad,llama,dsl,120.0,0.116179,0.002302,0.000323,0.023055,300,300
cuad,llama,dsl,155.0,0.094165,0.001632,0.020827,0.020773,300,300
cuad,llama,dsl,200.0,0.084385,0.001527,-0.007207,0.016834,300,300
cuad,llama,ppi,20.0,0.302925,0.009379,0.034067,0.059026,300,300
cuad,llama,ppi,26.0,0.257513,0.007831,0.038376,0.050907,300,300
cuad,llama,ppi,33.0,0.22854,0.006469,-0.036702,0.051438,300,300
cuad,llama,ppi,43.0,0.19723,0.005233,-0.009444,0.04196,300,300
cuad,llama,ppi,56.0,0.172575,0.004052,8.6e-05,0.033824,300,300
cuad,llama,ppi,72.0,0.150368,0.003348,-0.016069,0.031984,300,300
cuad,llama,ppi,93.0,0.133399,0.003068,0.027525,0.025927,300,300
cuad,llama,ppi,120.0,0.119608,0.002437,-0.010864,0.022939,300,300
cuad,llama,ppi,155.0,0.097452,0.001717,0.016466,0.021057,300,300
cuad,llama,ppi,200.0,0.087244,0.001656,-0.001136,0.016932,300,300
cuad,llama,ppipp,20.0,0.441547,0.012448,0.612654,0.104112,300,300
cuad,llama,ppipp,26.0,0.347972,0.008197,0.420335,0.067855,300,300
cuad,llama,ppipp,33.0,0.308727,0.007393,0.316122,0.06131,300,300
cuad,llama,ppipp,43.0,0.264884,0.005657,0.312163,0.054651,300,300
cuad,llama,ppipp,56.0,0.237574,0.004997,0.243915,0.047458,300,300
cuad,llama,ppipp,72.0,0.210068,0.004366,0.155666,0.036679,300,300
cuad,llama,ppipp,93.0,0.184301,0.003747,0.12152,0.03171,300,300
cuad,llama,ppipp,120.0,0.164707,0.003119,0.104874,0.025003,300,300
cuad,llama,ppipp,155.0,0.149529,0.002853,0.110022,0.024179,300,300
cuad,llama,ppipp,200.0,0.132725,0.002295,0.020831,0.020688,300,300
