dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.082854,0.0,0.152166,0.0,300,300,full_logistic
cuad,mistral,expert_only,20.0,2.712746,0.073786,6.49463,0.896088,300,300,full_logistic
cuad,mistral,expert_only,26.0,2.423451,0.076963,4.049033,0.762178,300,300,full_logistic
cuad,mistral,expert_only,33.0,2.02342,0.072484,3.921932,0.584579,300,300,full_logistic
cuad,mistral,expert_only,43.0,1.408796,0.053347,2.738516,0.393467,300,300,full_logistic
cuad,mistral,expert_only,56.0,1.130853,0.039449,2.016415,0.291155,300,300,full_logistic
cuad,mistral,expert_only,72.0,0.871245,0.029781,1.33569,0.216805,300,300,full_logistic
cuad,mistral,expert_only,93.0,0.668117,0.021854,0.935667,0.143159,300,300,full_logistic
cuad,mistral,expert_only,120.0,0.509805,0.016331,0.702189,0.109908,300,300,full_logistic
cuad,mistral,expert_only,155.0,0.436832,0.014233,0.385658,0.081672,300,300,full_logistic
cuad,mistral,expert_only,200.0,0.368959,0.011029,0.198629,0.072733,300,300,full_logistic
cuad,mistral,dsl,20.0,0.786809,0.009612,-0.532697,0.277406,300,300,full_logistic
cuad,mistral,dsl,26.0,0.676298,0.008954,-0.251591,0.20161,300,300,full_logistic
cuad,mistral,dsl,33.0,0.596667,0.006571,-0.451156,0.128687,300,300,full_logistic
cuad,mistral,dsl,43.0,0.59026,0.004902,-0.529045,0.108258,300,300,full_logistic
cuad,mistral,dsl,56.0,0.568371,0.004431,-0.428118,0.082927,300,300,full_logistic
cuad,mistral,dsl,72.0,0.561564,0.003749,-0.444217,0.074315,300,300,full_logistic
cuad,mistral,dsl,93.0,0.55323,0.003581,-0.358552,0.056698,300,300,full_logistic
cuad,mistral,dsl,120.0,0.555521,0.002877,-0.408521,0.047772,300,300,full_logistic
cuad,mistral,dsl,155.0,0.548871,0.002574,-0.414746,0.040708,300,300,full_logistic
cuad,mistral,dsl,200.0,0.549825,0.002319,-0.455499,0.03724,300,300,full_logistic
cuad,mistral,ppi,20.0,1.359947,0.061854,-0.80358,0.626357,300,300,full_logistic
cuad,mistral,ppi,26.0,0.945882,0.039906,-1.197812,0.460103,300,300,full_logistic
cuad,mistral,ppi,33.0,0.7553,0.02875,-0.858885,0.312226,300,300,full_logistic
cuad,mistral,ppi,43.0,0.560188,0.017199,-0.959955,0.265885,300,300,full_logistic
cuad,mistral,ppi,56.0,0.438894,0.011029,-0.570216,0.16387,300,300,full_logistic
cuad,mistral,ppi,72.0,0.406564,0.010408,-0.552128,0.158777,300,300,full_logistic
cuad,mistral,ppi,93.0,0.381345,0.01008,-0.187767,0.099176,300,300,full_logistic
cuad,mistral,ppi,120.0,0.330072,0.007247,-0.278081,0.076535,300,300,full_logistic
cuad,mistral,ppi,155.0,0.313331,0.006778,-0.273129,0.06683,300,300,full_logistic
cuad,mistral,ppi,200.0,0.306508,0.006212,-0.324524,0.060911,300,300,full_logistic
cuad,mistral,ppipp,20.0,0.634113,0.016835,1.239274,0.251438,300,300,full_logistic
cuad,mistral,ppipp,26.0,0.553481,0.012949,0.74719,0.209814,300,300,full_logistic
cuad,mistral,ppipp,33.0,0.476687,0.011493,0.759921,0.179174,300,300,full_logistic
cuad,mistral,ppipp,43.0,0.439115,0.009639,0.596499,0.143946,300,300,full_logistic
cuad,mistral,ppipp,56.0,0.392711,0.009261,0.476301,0.118231,300,300,full_logistic
cuad,mistral,ppipp,72.0,0.354337,0.008165,0.234589,0.095729,300,300,full_logistic
cuad,mistral,ppipp,93.0,0.337653,0.007726,0.099446,0.070918,300,300,full_logistic
cuad,mistral,ppipp,120.0,0.316556,0.007147,0.020016,0.055721,300,300,full_logistic
cuad,mistral,ppipp,155.0,0.302174,0.006608,-0.072869,0.047873,300,300,full_logistic
cuad,mistral,ppipp,200.0,0.300522,0.006618,-0.163178,0.046023,300,300,full_logistic
