dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.446389,0.0,0.446389,0.0,0.448219,0.0,300,300,high_variance
cuad,mistral,expert_only,20.0,3.242357,0.178757,0.962658,0.178757,3.728157,0.147873,300,300,high_variance
cuad,mistral,expert_only,26.0,3.093327,0.167761,1.060922,0.167761,3.486035,0.144314,300,300,high_variance
cuad,mistral,expert_only,33.0,1.94148,0.106493,0.605922,0.106493,2.262548,0.080778,300,300,high_variance
cuad,mistral,expert_only,43.0,1.526582,0.084916,0.408952,0.084916,1.775974,0.062277,300,300,high_variance
cuad,mistral,expert_only,56.0,1.302575,0.073339,0.288288,0.073339,1.53989,0.054199,300,300,high_variance
cuad,mistral,expert_only,72.0,1.039006,0.059038,0.184091,0.059038,1.234636,0.038642,300,300,high_variance
cuad,mistral,expert_only,93.0,1.039209,0.058752,0.21079,0.058752,1.183705,0.040227,300,300,high_variance
cuad,mistral,expert_only,120.0,0.726599,0.040836,0.16638,0.040836,0.882394,0.02692,300,300,high_variance
cuad,mistral,expert_only,155.0,0.650212,0.036753,0.13243,0.036753,0.75171,0.023378,300,300,high_variance
cuad,mistral,expert_only,200.0,0.525789,0.029673,0.110944,0.029673,0.627461,0.019093,300,300,high_variance
cuad,mistral,dsl,20.0,1.323001,0.075995,-0.133267,0.075995,1.749338,0.049197,300,300,high_variance
cuad,mistral,dsl,26.0,1.020594,0.05877,0.073668,0.05877,1.374112,0.036469,300,300,high_variance
cuad,mistral,dsl,33.0,0.708035,0.04073,-0.060376,0.04073,0.870623,0.029187,300,300,high_variance
cuad,mistral,dsl,43.0,0.580616,0.032549,-0.138901,0.032549,0.721664,0.022113,300,300,high_variance
cuad,mistral,dsl,56.0,0.505289,0.027806,-0.152852,0.027806,0.611777,0.018927,300,300,high_variance
cuad,mistral,dsl,72.0,0.429203,0.023738,-0.123146,0.023738,0.541263,0.015862,300,300,high_variance
cuad,mistral,dsl,93.0,0.448132,0.024295,-0.154101,0.024295,0.52438,0.016028,300,300,high_variance
cuad,mistral,dsl,120.0,0.334315,0.018174,-0.112602,0.018174,0.412014,0.011743,300,300,high_variance
cuad,mistral,dsl,155.0,0.308742,0.015555,-0.150767,0.015555,0.371116,0.010605,300,300,high_variance
cuad,mistral,dsl,200.0,0.275372,0.014622,-0.108105,0.014622,0.326139,0.00928,300,300,high_variance
cuad,mistral,ppi,20.0,3.442122,0.197532,0.377563,0.197532,3.863901,0.207766,300,300,high_variance
cuad,mistral,ppi,26.0,1.791308,0.102578,0.228251,0.102578,1.961118,0.092884,300,300,high_variance
cuad,mistral,ppi,33.0,1.393392,0.079994,0.147811,0.079994,1.541844,0.069447,300,300,high_variance
cuad,mistral,ppi,43.0,0.966454,0.055667,0.066246,0.055667,1.108034,0.043324,300,300,high_variance
cuad,mistral,ppi,56.0,0.759792,0.043844,0.02421,0.043844,0.871059,0.031955,300,300,high_variance
cuad,mistral,ppi,72.0,0.644466,0.037158,0.033544,0.037158,0.757282,0.025708,300,300,high_variance
cuad,mistral,ppi,93.0,0.669523,0.038654,-0.004135,0.038654,0.757817,0.026788,300,300,high_variance
cuad,mistral,ppi,120.0,0.464412,0.026784,0.021553,0.026784,0.544904,0.017188,300,300,high_variance
cuad,mistral,ppi,155.0,0.404203,0.023103,-0.057063,0.023103,0.489212,0.014225,300,300,high_variance
cuad,mistral,ppi,200.0,0.411123,0.0237,0.022807,0.0237,0.479607,0.014494,300,300,high_variance
cuad,mistral,ppipp,20.0,1.233299,0.06995,0.230486,0.06995,1.570167,0.050814,300,300,high_variance
cuad,mistral,ppipp,26.0,1.180936,0.065975,0.297993,0.065975,1.463979,0.046293,300,300,high_variance
cuad,mistral,ppipp,33.0,0.924175,0.052362,0.177704,0.052362,1.158038,0.034685,300,300,high_variance
cuad,mistral,ppipp,43.0,0.778395,0.044634,0.090822,0.044634,0.972258,0.028796,300,300,high_variance
cuad,mistral,ppipp,56.0,0.711059,0.041013,0.031566,0.041013,0.886092,0.026679,300,300,high_variance
cuad,mistral,ppipp,72.0,0.597094,0.034458,0.017616,0.034458,0.755055,0.021789,300,300,high_variance
cuad,mistral,ppipp,93.0,0.60746,0.035062,0.014003,0.035062,0.722981,0.022231,300,300,high_variance
cuad,mistral,ppipp,120.0,0.435351,0.025094,0.02472,0.025094,0.560204,0.015282,300,300,high_variance
cuad,mistral,ppipp,155.0,0.402336,0.023227,-0.005606,0.023227,0.480879,0.013578,300,300,high_variance
cuad,mistral,ppipp,200.0,0.340655,0.01966,0.009775,0.01966,0.416495,0.01175,300,300,high_variance
