dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,,0.795129,0.0,-0.895155,0.0,300,300,full_logistic
fomc,deepseek,expert_only,20.0,6.260706,0.21637,1.974828,0.542044,300,300,full_logistic
fomc,deepseek,expert_only,26.0,3.941185,0.121659,1.294495,0.378775,300,300,full_logistic
fomc,deepseek,expert_only,33.0,2.95587,0.088844,0.618289,0.281352,300,300,full_logistic
fomc,deepseek,expert_only,43.0,2.243071,0.070108,0.400273,0.2102,300,300,full_logistic
fomc,deepseek,expert_only,56.0,1.664906,0.048539,0.663008,0.153555,300,300,full_logistic
fomc,deepseek,expert_only,72.0,1.344973,0.039572,0.205977,0.127086,300,300,full_logistic
fomc,deepseek,expert_only,93.0,0.965736,0.021793,0.083786,0.106047,300,300,full_logistic
fomc,deepseek,expert_only,120.0,0.824051,0.017216,0.271009,0.099018,300,300,full_logistic
fomc,deepseek,expert_only,155.0,0.668532,0.012316,0.198748,0.083868,300,300,full_logistic
fomc,deepseek,expert_only,200.0,0.55513,0.010069,-0.015142,0.064397,300,300,full_logistic
fomc,deepseek,dsl,20.0,2.31623,0.045139,0.556856,0.276409,300,300,full_logistic
fomc,deepseek,dsl,26.0,1.858098,0.03589,0.353736,0.214989,300,300,full_logistic
fomc,deepseek,dsl,33.0,1.458248,0.03155,0.245703,0.172935,300,300,full_logistic
fomc,deepseek,dsl,43.0,1.16451,0.025539,-0.092714,0.13185,300,300,full_logistic
fomc,deepseek,dsl,56.0,1.027638,0.022582,0.181947,0.116703,300,300,full_logistic
fomc,deepseek,dsl,72.0,0.850719,0.017184,-0.007089,0.095294,300,300,full_logistic
fomc,deepseek,dsl,93.0,0.709923,0.013038,-0.056524,0.078517,300,300,full_logistic
fomc,deepseek,dsl,120.0,0.627013,0.01196,0.109368,0.072421,300,300,full_logistic
fomc,deepseek,dsl,155.0,0.527807,0.009057,0.050408,0.068135,300,300,full_logistic
fomc,deepseek,dsl,200.0,0.455915,0.007983,-0.009801,0.050163,300,300,full_logistic
fomc,deepseek,ppi,20.0,9.821513,0.492303,3.816872,0.882358,300,300,full_logistic
fomc,deepseek,ppi,26.0,10.334423,0.538102,3.837673,1.002387,300,300,full_logistic
fomc,deepseek,ppi,33.0,4.256675,0.195817,1.540184,0.355044,300,300,full_logistic
fomc,deepseek,ppi,43.0,3.438044,0.164806,0.554425,0.233224,300,300,full_logistic
fomc,deepseek,ppi,56.0,2.619114,0.118464,0.68426,0.215329,300,300,full_logistic
fomc,deepseek,ppi,72.0,1.674135,0.068379,0.235413,0.138333,300,300,full_logistic
fomc,deepseek,ppi,93.0,1.406941,0.057282,0.123303,0.112356,300,300,full_logistic
fomc,deepseek,ppi,120.0,0.928704,0.024206,0.222502,0.094848,300,300,full_logistic
fomc,deepseek,ppi,155.0,0.765159,0.017116,0.051694,0.09157,300,300,full_logistic
fomc,deepseek,ppi,200.0,0.688865,0.014723,0.113859,0.071482,300,300,full_logistic
fomc,deepseek,ppipp,20.0,2.737137,0.073326,0.624415,0.283872,300,300,full_logistic
fomc,deepseek,ppipp,26.0,2.061258,0.049512,0.448192,0.242337,300,300,full_logistic
fomc,deepseek,ppipp,33.0,1.70011,0.039909,0.14003,0.195859,300,300,full_logistic
fomc,deepseek,ppipp,43.0,1.330188,0.030979,-0.05144,0.157164,300,300,full_logistic
fomc,deepseek,ppipp,56.0,1.099911,0.023416,0.284356,0.120484,300,300,full_logistic
fomc,deepseek,ppipp,72.0,0.928868,0.019084,0.003163,0.099445,300,300,full_logistic
fomc,deepseek,ppipp,93.0,0.749152,0.013665,-0.05426,0.085697,300,300,full_logistic
fomc,deepseek,ppipp,120.0,0.662808,0.012323,0.131452,0.082055,300,300,full_logistic
fomc,deepseek,ppipp,155.0,0.549262,0.009052,0.068047,0.070986,300,300,full_logistic
fomc,deepseek,ppipp,200.0,0.462556,0.008136,-0.065005,0.053973,300,300,full_logistic
