dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,,0.059009,0.0,0.059009,0.0,0.36352,0.0,300,300,low_variance
fomc,gpt54,expert_only,20.0,2.310567,0.121935,0.937154,0.121935,2.613653,0.089978,300,300,low_variance
fomc,gpt54,expert_only,26.0,2.038289,0.106231,0.876976,0.106231,2.293583,0.088693,300,300,low_variance
fomc,gpt54,expert_only,33.0,1.720753,0.094492,0.531369,0.094492,1.954121,0.078963,300,300,low_variance
fomc,gpt54,expert_only,43.0,1.523369,0.083198,0.49407,0.083198,1.717546,0.073289,300,300,low_variance
fomc,gpt54,expert_only,56.0,1.068002,0.059604,0.273587,0.059604,1.238991,0.052261,300,300,low_variance
fomc,gpt54,expert_only,72.0,0.847767,0.047783,0.183722,0.047783,0.978365,0.040295,300,300,low_variance
fomc,gpt54,expert_only,93.0,0.504242,0.028822,0.071104,0.028822,0.633989,0.022005,300,300,low_variance
fomc,gpt54,expert_only,120.0,0.403975,0.023227,0.036719,0.023227,0.509772,0.014507,300,300,low_variance
fomc,gpt54,expert_only,155.0,0.333084,0.019154,0.029643,0.019154,0.415299,0.011683,300,300,low_variance
fomc,gpt54,expert_only,200.0,0.289557,0.016446,0.052005,0.016446,0.365198,0.010263,300,300,low_variance
fomc,gpt54,dsl,20.0,0.775134,0.043769,-0.161622,0.043769,1.065469,0.027484,300,300,low_variance
fomc,gpt54,dsl,26.0,0.636249,0.036697,-0.028571,0.036697,0.842082,0.022134,300,300,low_variance
fomc,gpt54,dsl,33.0,0.468408,0.026057,-0.125381,0.026057,0.650201,0.018293,300,300,low_variance
fomc,gpt54,dsl,43.0,0.410226,0.022426,-0.131937,0.022426,0.532067,0.014569,300,300,low_variance
fomc,gpt54,dsl,56.0,0.360519,0.019075,-0.144296,0.019075,0.480066,0.01282,300,300,low_variance
fomc,gpt54,dsl,72.0,0.317101,0.016409,-0.140643,0.016409,0.416613,0.010684,300,300,low_variance
fomc,gpt54,dsl,93.0,0.279293,0.013999,-0.138598,0.013999,0.366071,0.009629,300,300,low_variance
fomc,gpt54,dsl,120.0,0.263666,0.011935,-0.16367,0.011935,0.333921,0.008196,300,300,low_variance
fomc,gpt54,dsl,155.0,0.245624,0.010835,-0.158478,0.010835,0.297456,0.00801,300,300,low_variance
fomc,gpt54,dsl,200.0,0.207248,0.009293,-0.130555,0.009293,0.264066,0.006675,300,300,low_variance
fomc,gpt54,ppi,20.0,4.078915,0.231217,0.774022,0.231217,4.513466,0.243426,300,300,low_variance
fomc,gpt54,ppi,26.0,1.924694,0.110191,0.248631,0.110191,2.178803,0.113642,300,300,low_variance
fomc,gpt54,ppi,33.0,2.282989,0.130531,0.31713,0.130531,2.564646,0.135799,300,300,low_variance
fomc,gpt54,ppi,43.0,1.050601,0.05998,0.156489,0.05998,1.217877,0.056069,300,300,low_variance
fomc,gpt54,ppi,56.0,0.590112,0.034043,0.023763,0.034043,0.741583,0.027036,300,300,low_variance
fomc,gpt54,ppi,72.0,0.431599,0.024917,-0.003866,0.024917,0.570634,0.01737,300,300,low_variance
fomc,gpt54,ppi,93.0,0.437605,0.025257,0.011111,0.025257,0.548576,0.019604,300,300,low_variance
fomc,gpt54,ppi,120.0,0.323393,0.018483,-0.045788,0.018483,0.414813,0.011831,300,300,low_variance
fomc,gpt54,ppi,155.0,0.31912,0.018124,-0.057363,0.018124,0.401873,0.01191,300,300,low_variance
fomc,gpt54,ppi,200.0,0.266318,0.015338,-0.018627,0.015338,0.351964,0.010188,300,300,low_variance
fomc,gpt54,ppipp,20.0,0.826382,0.047187,0.122185,0.047187,1.081779,0.032163,300,300,low_variance
fomc,gpt54,ppipp,26.0,0.718059,0.040689,0.137611,0.040689,0.924094,0.028235,300,300,low_variance
fomc,gpt54,ppipp,33.0,0.656159,0.037767,0.051477,0.037767,0.855973,0.025609,300,300,low_variance
fomc,gpt54,ppipp,43.0,0.58609,0.033639,0.063415,0.033639,0.734162,0.022186,300,300,low_variance
fomc,gpt54,ppipp,56.0,0.462736,0.026677,0.024924,0.026677,0.60997,0.018241,300,300,low_variance
fomc,gpt54,ppipp,72.0,0.424178,0.024482,0.01051,0.024482,0.538725,0.015882,300,300,low_variance
fomc,gpt54,ppipp,93.0,0.322908,0.01861,-0.019332,0.01861,0.441844,0.012955,300,300,low_variance
fomc,gpt54,ppipp,120.0,0.285922,0.016229,-0.052313,0.016229,0.381271,0.01005,300,300,low_variance
fomc,gpt54,ppipp,155.0,0.248171,0.013998,-0.052946,0.013998,0.319616,0.008472,300,300,low_variance
fomc,gpt54,ppipp,200.0,0.210509,0.012078,-0.023411,0.012078,0.282082,0.007557,300,300,low_variance
