dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,llama,llm_only,,0.618196,0.0,-0.529558,0.0,300,300,full_logistic
fomc,llama,expert_only,20.0,6.260706,0.21637,1.974828,0.542044,300,300,full_logistic
fomc,llama,expert_only,26.0,3.941185,0.121659,1.294495,0.378775,300,300,full_logistic
fomc,llama,expert_only,33.0,2.95587,0.088844,0.618289,0.281352,300,300,full_logistic
fomc,llama,expert_only,43.0,2.243071,0.070108,0.400273,0.2102,300,300,full_logistic
fomc,llama,expert_only,56.0,1.664906,0.048539,0.663008,0.153555,300,300,full_logistic
fomc,llama,expert_only,72.0,1.344973,0.039572,0.205977,0.127086,300,300,full_logistic
fomc,llama,expert_only,93.0,0.965736,0.021793,0.083786,0.106047,300,300,full_logistic
fomc,llama,expert_only,120.0,0.824051,0.017216,0.271009,0.099018,300,300,full_logistic
fomc,llama,expert_only,155.0,0.668532,0.012316,0.198748,0.083868,300,300,full_logistic
fomc,llama,expert_only,200.0,0.55513,0.010069,-0.015142,0.064397,300,300,full_logistic
fomc,llama,dsl,20.0,2.313754,0.045821,0.553959,0.273849,300,300,full_logistic
fomc,llama,dsl,26.0,1.867958,0.034641,0.357082,0.218322,300,300,full_logistic
fomc,llama,dsl,33.0,1.538319,0.031762,0.283335,0.175206,300,300,full_logistic
fomc,llama,dsl,43.0,1.226116,0.022762,-0.066974,0.145332,300,300,full_logistic
fomc,llama,dsl,56.0,1.057871,0.019254,0.146069,0.107895,300,300,full_logistic
fomc,llama,dsl,72.0,0.911242,0.017332,0.046972,0.10888,300,300,full_logistic
fomc,llama,dsl,93.0,0.771968,0.013443,-0.070121,0.086623,300,300,full_logistic
fomc,llama,dsl,120.0,0.671426,0.012212,0.115157,0.079096,300,300,full_logistic
fomc,llama,dsl,155.0,0.564564,0.009872,0.141029,0.066036,300,300,full_logistic
fomc,llama,dsl,200.0,0.483376,0.00864,-0.071559,0.051562,300,300,full_logistic
fomc,llama,ppi,20.0,9.671545,0.471566,2.725615,0.858025,300,300,full_logistic
fomc,llama,ppi,26.0,7.648614,0.363833,2.437667,0.545403,300,300,full_logistic
fomc,llama,ppi,33.0,7.219266,0.36044,1.915685,0.396464,300,300,full_logistic
fomc,llama,ppi,43.0,4.020785,0.191329,0.80567,0.255047,300,300,full_logistic
fomc,llama,ppi,56.0,2.624334,0.115606,0.476871,0.156005,300,300,full_logistic
fomc,llama,ppi,72.0,3.561205,0.182123,0.57472,0.19359,300,300,full_logistic
fomc,llama,ppi,93.0,2.03614,0.094388,0.206726,0.122237,300,300,full_logistic
fomc,llama,ppi,120.0,1.427314,0.058033,0.288539,0.108341,300,300,full_logistic
fomc,llama,ppi,155.0,1.031535,0.037097,0.287631,0.085779,300,300,full_logistic
fomc,llama,ppi,200.0,0.750337,0.018351,-0.023492,0.075196,300,300,full_logistic
fomc,llama,ppipp,20.0,2.808567,0.073149,0.706578,0.293795,300,300,full_logistic
fomc,llama,ppipp,26.0,2.153492,0.049632,0.521994,0.24878,300,300,full_logistic
fomc,llama,ppipp,33.0,1.784579,0.041386,0.253117,0.207698,300,300,full_logistic
fomc,llama,ppipp,43.0,1.414132,0.032163,0.035768,0.165642,300,300,full_logistic
fomc,llama,ppipp,56.0,1.149859,0.023417,0.363265,0.121532,300,300,full_logistic
fomc,llama,ppipp,72.0,0.973011,0.019778,0.059763,0.107748,300,300,full_logistic
fomc,llama,ppipp,93.0,0.786843,0.014519,-0.011955,0.090774,300,300,full_logistic
fomc,llama,ppipp,120.0,0.696456,0.013078,0.17087,0.08539,300,300,full_logistic
fomc,llama,ppipp,155.0,0.576434,0.009742,0.12711,0.072327,300,300,full_logistic
fomc,llama,ppipp,200.0,0.482347,0.008502,-0.07563,0.055503,300,300,full_logistic
