dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,1.964106,0.0,3.005111,0.0,300,300,full_logistic
fomc,mistral,expert_only,20.0,6.260706,0.21637,1.974828,0.542044,300,300,full_logistic
fomc,mistral,expert_only,26.0,3.941185,0.121659,1.294495,0.378775,300,300,full_logistic
fomc,mistral,expert_only,33.0,2.95587,0.088844,0.618289,0.281352,300,300,full_logistic
fomc,mistral,expert_only,43.0,2.243071,0.070108,0.400273,0.2102,300,300,full_logistic
fomc,mistral,expert_only,56.0,1.664906,0.048539,0.663008,0.153555,300,300,full_logistic
fomc,mistral,expert_only,72.0,1.344973,0.039572,0.205977,0.127086,300,300,full_logistic
fomc,mistral,expert_only,93.0,0.965736,0.021793,0.083786,0.106047,300,300,full_logistic
fomc,mistral,expert_only,120.0,0.824051,0.017216,0.271009,0.099018,300,300,full_logistic
fomc,mistral,expert_only,155.0,0.668532,0.012316,0.198748,0.083868,300,300,full_logistic
fomc,mistral,expert_only,200.0,0.55513,0.010069,-0.015142,0.064397,300,300,full_logistic
fomc,mistral,dsl,20.0,2.318975,0.04529,0.587979,0.279706,300,300,full_logistic
fomc,mistral,dsl,26.0,1.881476,0.035411,0.383773,0.219796,300,300,full_logistic
fomc,mistral,dsl,33.0,1.550907,0.031146,0.297223,0.180662,300,300,full_logistic
fomc,mistral,dsl,43.0,1.235272,0.024913,-0.038445,0.148435,300,300,full_logistic
fomc,mistral,dsl,56.0,1.11272,0.020954,0.274347,0.123819,300,300,full_logistic
fomc,mistral,dsl,72.0,0.915748,0.01703,-0.012113,0.108685,300,300,full_logistic
fomc,mistral,dsl,93.0,0.781389,0.013811,-0.012729,0.085193,300,300,full_logistic
fomc,mistral,dsl,120.0,0.6727,0.012303,0.088665,0.078733,300,300,full_logistic
fomc,mistral,dsl,155.0,0.561939,0.009864,0.139806,0.068996,300,300,full_logistic
fomc,mistral,dsl,200.0,0.485569,0.007956,-0.067274,0.052676,300,300,full_logistic
fomc,mistral,ppi,20.0,9.079158,0.43232,-0.190733,0.900806,300,300,full_logistic
fomc,mistral,ppi,26.0,6.223099,0.29495,0.12574,0.459834,300,300,full_logistic
fomc,mistral,ppi,33.0,4.253636,0.198919,0.355302,0.333308,300,300,full_logistic
fomc,mistral,ppi,43.0,2.507135,0.096396,0.363213,0.258891,300,300,full_logistic
fomc,mistral,ppi,56.0,1.987523,0.07073,0.418684,0.205039,300,300,full_logistic
fomc,mistral,ppi,72.0,1.422202,0.0471,-0.07032,0.146417,300,300,full_logistic
fomc,mistral,ppi,93.0,1.07285,0.02331,-0.037258,0.125172,300,300,full_logistic
fomc,mistral,ppi,120.0,0.932666,0.020287,0.054372,0.106386,300,300,full_logistic
fomc,mistral,ppi,155.0,0.74909,0.014063,0.217802,0.092163,300,300,full_logistic
fomc,mistral,ppi,200.0,0.673793,0.012422,-0.117453,0.077746,300,300,full_logistic
fomc,mistral,ppipp,20.0,2.867787,0.070315,0.854359,0.299599,300,300,full_logistic
fomc,mistral,ppipp,26.0,2.15398,0.04829,0.564136,0.245699,300,300,full_logistic
fomc,mistral,ppipp,33.0,1.811407,0.040519,0.330112,0.208149,300,300,full_logistic
fomc,mistral,ppipp,43.0,1.409008,0.030438,0.139302,0.165185,300,300,full_logistic
fomc,mistral,ppipp,56.0,1.177186,0.023373,0.474412,0.127332,300,300,full_logistic
fomc,mistral,ppipp,72.0,0.98361,0.019273,0.101319,0.109841,300,300,full_logistic
fomc,mistral,ppipp,93.0,0.803727,0.014485,0.032574,0.091289,300,300,full_logistic
fomc,mistral,ppipp,120.0,0.709324,0.013464,0.196181,0.086838,300,300,full_logistic
fomc,mistral,ppipp,155.0,0.583439,0.009902,0.162238,0.074712,300,300,full_logistic
fomc,mistral,ppipp,200.0,0.488953,0.008342,-0.052244,0.057241,300,300,full_logistic
