dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
misogynistic,deepseek,llm_only,,0.176353,0.0,0.176353,0.0,300,prevalence
misogynistic,deepseek,expert_only,20.0,0.213597,0.012323,-0.007995,0.012323,300,prevalence
misogynistic,deepseek,expert_only,26.0,0.185074,0.010616,-0.020982,0.010616,300,prevalence
misogynistic,deepseek,expert_only,33.0,0.17663,0.010197,-0.001809,0.010197,300,prevalence
misogynistic,deepseek,expert_only,43.0,0.145572,0.008369,-0.013393,0.008369,300,prevalence
misogynistic,deepseek,expert_only,56.0,0.127147,0.007272,-0.017414,0.007272,300,prevalence
misogynistic,deepseek,expert_only,72.0,0.121934,0.007039,0.001773,0.007039,300,prevalence
misogynistic,deepseek,expert_only,93.0,0.097317,0.00557,0.012819,0.00557,300,prevalence
misogynistic,deepseek,expert_only,120.0,0.085059,0.004901,-0.005386,0.004901,300,prevalence
misogynistic,deepseek,expert_only,155.0,0.077176,0.004449,0.004283,0.004449,300,prevalence
misogynistic,deepseek,expert_only,200.0,0.062026,0.003581,0.000163,0.003581,300,prevalence
misogynistic,deepseek,dsl,20.0,0.213166,0.012304,-0.004632,0.012304,300,prevalence
misogynistic,deepseek,dsl,26.0,0.173569,0.010009,-0.008396,0.010009,300,prevalence
misogynistic,deepseek,dsl,33.0,0.138643,0.008001,-0.004301,0.008001,300,prevalence
misogynistic,deepseek,dsl,43.0,0.114151,0.006578,-0.006991,0.006578,300,prevalence
misogynistic,deepseek,dsl,56.0,0.093589,0.005378,-0.009151,0.005378,300,prevalence
misogynistic,deepseek,dsl,72.0,0.095962,0.005528,-0.006419,0.005528,300,prevalence
misogynistic,deepseek,dsl,93.0,0.075083,0.004265,0.013413,0.004265,300,prevalence
misogynistic,deepseek,dsl,120.0,0.066785,0.003842,-0.005576,0.003842,300,prevalence
misogynistic,deepseek,dsl,155.0,0.059493,0.003432,0.002344,0.003432,300,prevalence
misogynistic,deepseek,dsl,200.0,0.050992,0.002933,0.004393,0.002933,300,prevalence
misogynistic,deepseek,ppi,20.0,0.179585,0.01036,0.00717,0.01036,300,prevalence
misogynistic,deepseek,ppi,26.0,0.150604,0.008693,-0.00318,0.008693,300,prevalence
misogynistic,deepseek,ppi,33.0,0.136518,0.007879,0.003876,0.007879,300,prevalence
misogynistic,deepseek,ppi,43.0,0.114136,0.006589,-0.001462,0.006589,300,prevalence
misogynistic,deepseek,ppi,56.0,0.094063,0.005421,-0.005625,0.005421,300,prevalence
misogynistic,deepseek,ppi,72.0,0.096558,0.005572,-0.003055,0.005572,300,prevalence
misogynistic,deepseek,ppi,93.0,0.075461,0.004259,0.015879,0.004259,300,prevalence
misogynistic,deepseek,ppi,120.0,0.06632,0.003821,-0.004314,0.003821,300,prevalence
misogynistic,deepseek,ppi,155.0,0.059388,0.003422,0.00376,0.003422,300,prevalence
misogynistic,deepseek,ppi,200.0,0.050951,0.002926,0.00519,0.002926,300,prevalence
misogynistic,deepseek,ppipp,20.0,0.179165,0.010343,-0.002087,0.010343,300,prevalence
misogynistic,deepseek,ppipp,26.0,0.156344,0.008996,-0.012921,0.008996,300,prevalence
misogynistic,deepseek,ppipp,33.0,0.146589,0.008463,-0.000292,0.008463,300,prevalence
misogynistic,deepseek,ppipp,43.0,0.12067,0.006949,-0.008743,0.006949,300,prevalence
misogynistic,deepseek,ppipp,56.0,0.102452,0.005872,-0.01239,0.005872,300,prevalence
misogynistic,deepseek,ppipp,72.0,0.103173,0.005956,-0.001437,0.005956,300,prevalence
misogynistic,deepseek,ppipp,93.0,0.081219,0.004622,0.013666,0.004622,300,prevalence
misogynistic,deepseek,ppipp,120.0,0.071737,0.004131,-0.005248,0.004131,300,prevalence
misogynistic,deepseek,ppipp,155.0,0.064858,0.003739,0.003688,0.003739,300,prevalence
misogynistic,deepseek,ppipp,200.0,0.053627,0.003093,0.002421,0.003093,300,prevalence
