dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.706953,0.0,-0.706953,0.0,0.161748,0.0,300,300,high_variance
misogynistic,mistral,expert_only,20.0,5.159581,0.2696,2.194538,0.2696,0.941512,0.038517,300,300,high_variance
misogynistic,mistral,expert_only,26.0,2.768827,0.146824,1.095091,0.146824,0.52703,0.020576,300,300,high_variance
misogynistic,mistral,expert_only,33.0,3.155423,0.167579,1.237696,0.167579,0.588914,0.025513,300,300,high_variance
misogynistic,mistral,expert_only,43.0,1.968617,0.102897,0.836144,0.102897,0.377893,0.015044,300,300,high_variance
misogynistic,mistral,expert_only,56.0,1.695143,0.088421,0.72667,0.088421,0.328138,0.012745,300,300,high_variance
misogynistic,mistral,expert_only,72.0,1.199305,0.063279,0.486911,0.063279,0.237561,0.008433,300,300,high_variance
misogynistic,mistral,expert_only,93.0,0.912396,0.046367,0.433009,0.046367,0.183715,0.005974,300,300,high_variance
misogynistic,mistral,expert_only,120.0,0.751769,0.04032,0.278305,0.04032,0.157165,0.004771,300,300,high_variance
misogynistic,mistral,expert_only,155.0,0.645856,0.034412,0.248724,0.034412,0.135509,0.004006,300,300,high_variance
misogynistic,mistral,expert_only,200.0,0.499171,0.027188,0.165601,0.027188,0.104786,0.003164,300,300,high_variance
misogynistic,mistral,dsl,20.0,1.327404,0.076336,0.117725,0.076336,0.3117,0.009639,300,300,high_variance
misogynistic,mistral,dsl,26.0,1.15598,0.066223,0.143738,0.066223,0.263305,0.008112,300,300,high_variance
misogynistic,mistral,dsl,33.0,0.837047,0.048121,0.077275,0.048121,0.207628,0.005499,300,300,high_variance
misogynistic,mistral,dsl,43.0,0.689697,0.03981,0.015347,0.03981,0.165931,0.00441,300,300,high_variance
misogynistic,mistral,dsl,56.0,0.588944,0.033993,-0.014047,0.033993,0.149167,0.004124,300,300,high_variance
misogynistic,mistral,dsl,72.0,0.501153,0.028922,0.01472,0.028922,0.123288,0.003143,300,300,high_variance
misogynistic,mistral,dsl,93.0,0.457855,0.026381,0.029109,0.026381,0.107624,0.002762,300,300,high_variance
misogynistic,mistral,dsl,120.0,0.389715,0.0225,0.001063,0.0225,0.094137,0.002481,300,300,high_variance
misogynistic,mistral,dsl,155.0,0.347465,0.020023,-0.021456,0.020023,0.082377,0.002264,300,300,high_variance
misogynistic,mistral,dsl,200.0,0.279091,0.016105,0.008938,0.016105,0.069925,0.001829,300,300,high_variance
misogynistic,mistral,ppi,20.0,1.115637,0.064359,0.044914,0.064359,0.277641,0.008993,300,300,high_variance
misogynistic,mistral,ppi,26.0,0.884847,0.051083,0.010483,0.051083,0.218472,0.006246,300,300,high_variance
misogynistic,mistral,ppi,33.0,0.874474,0.050214,0.091015,0.050214,0.221363,0.006456,300,300,high_variance
misogynistic,mistral,ppi,43.0,0.689213,0.039792,0.00087,0.039792,0.174676,0.004863,300,300,high_variance
misogynistic,mistral,ppi,56.0,0.61362,0.035419,-0.013422,0.035419,0.159033,0.00426,300,300,high_variance
misogynistic,mistral,ppi,72.0,0.485463,0.028028,0.002611,0.028028,0.130767,0.0035,300,300,high_variance
misogynistic,mistral,ppi,93.0,0.470568,0.027138,0.022071,0.027138,0.115575,0.00305,300,300,high_variance
misogynistic,mistral,ppi,120.0,0.383505,0.022127,-0.013947,0.022127,0.098128,0.002503,300,300,high_variance
misogynistic,mistral,ppi,155.0,0.349711,0.020071,-0.037976,0.020071,0.086648,0.002169,300,300,high_variance
misogynistic,mistral,ppi,200.0,0.275551,0.015904,0.007128,0.015904,0.074152,0.001992,300,300,high_variance
misogynistic,mistral,ppipp,20.0,1.302784,0.073455,0.280241,0.073455,0.287326,0.010773,300,300,high_variance
misogynistic,mistral,ppipp,26.0,0.770033,0.043744,0.137488,0.043744,0.205131,0.006107,300,300,high_variance
misogynistic,mistral,ppipp,33.0,0.742556,0.041404,0.192608,0.041404,0.198424,0.00524,300,300,high_variance
misogynistic,mistral,ppipp,43.0,0.668229,0.037142,0.180767,0.037142,0.169576,0.004676,300,300,high_variance
misogynistic,mistral,ppipp,56.0,0.572243,0.031966,0.144631,0.031966,0.152845,0.004329,300,300,high_variance
misogynistic,mistral,ppipp,72.0,0.523313,0.029299,0.127746,0.029299,0.130623,0.003541,300,300,high_variance
misogynistic,mistral,ppipp,93.0,0.430142,0.023598,0.134043,0.023598,0.108028,0.002786,300,300,high_variance
misogynistic,mistral,ppipp,120.0,0.421531,0.023904,0.079164,0.023904,0.103343,0.002774,300,300,high_variance
misogynistic,mistral,ppipp,155.0,0.382998,0.021661,0.077015,0.021661,0.091046,0.002239,300,300,high_variance
misogynistic,mistral,ppipp,200.0,0.312752,0.017622,0.068241,0.017622,0.075022,0.002055,300,300,high_variance
