dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,,0.66957,0.0,0.66957,0.0,0.715476,0.0,300,300,high_variance
cuad,llama,expert_only,20.0,6.205864,0.349526,1.364645,0.349526,7.671567,0.402814,300,300,high_variance
cuad,llama,expert_only,26.0,3.445205,0.185869,1.226877,0.185869,3.789997,0.15401,300,300,high_variance
cuad,llama,expert_only,33.0,1.930606,0.108571,0.436976,0.108571,2.2456,0.078603,300,300,high_variance
cuad,llama,expert_only,43.0,1.78973,0.100114,0.443033,0.100114,2.057663,0.076863,300,300,high_variance
cuad,llama,expert_only,56.0,1.33369,0.075611,0.252256,0.075611,1.549916,0.05308,300,300,high_variance
cuad,llama,expert_only,72.0,1.236261,0.067441,0.404801,0.067441,1.419247,0.047197,300,300,high_variance
cuad,llama,expert_only,93.0,1.042543,0.058224,0.264373,0.058224,1.218796,0.041797,300,300,high_variance
cuad,llama,expert_only,120.0,0.863068,0.048286,0.213159,0.048286,0.997065,0.031958,300,300,high_variance
cuad,llama,expert_only,155.0,0.636363,0.035997,0.127364,0.035997,0.754324,0.022024,300,300,high_variance
cuad,llama,expert_only,200.0,0.545706,0.03106,0.091506,0.03106,0.651854,0.020166,300,300,high_variance
cuad,llama,dsl,20.0,237.395019,13.867533,19.865294,13.867533,274.140235,16.008153,300,291,high_variance
cuad,llama,dsl,26.0,88.155685,5.110193,6.454411,5.110193,92.888312,5.379451,300,296,high_variance
cuad,llama,dsl,33.0,1.109387,0.062853,0.21349,0.062853,1.273016,0.048132,300,300,high_variance
cuad,llama,dsl,43.0,0.825208,0.047297,0.099348,0.047297,0.940953,0.031071,300,300,high_variance
cuad,llama,dsl,56.0,0.621204,0.035663,0.065861,0.035663,0.738122,0.020573,300,300,high_variance
cuad,llama,dsl,72.0,0.58213,0.032918,0.117431,0.032918,0.675087,0.01922,300,300,high_variance
cuad,llama,dsl,93.0,0.514671,0.029498,0.062046,0.029498,0.592625,0.015894,300,300,high_variance
cuad,llama,dsl,120.0,0.472522,0.027057,0.060491,0.027057,0.536134,0.014321,300,300,high_variance
cuad,llama,dsl,155.0,0.371902,0.021029,0.075148,0.021029,0.432939,0.011027,300,300,high_variance
cuad,llama,dsl,200.0,0.323928,0.018691,0.011188,0.018691,0.3782,0.00973,300,300,high_variance
cuad,llama,ppi,20.0,2.9602261018846677e+24,1.7062364801937327e+23,-1.7090873367852693e+23,1.7062364801937327e+23,3.114745950848777e+24,1.795299745681708e+23,300,300,high_variance
cuad,llama,ppi,26.0,1.944632,0.112114,0.103674,0.112114,2.155892,0.105567,300,300,high_variance
cuad,llama,ppi,33.0,1.019615,0.058031,0.171279,0.058031,1.170473,0.040135,300,300,high_variance
cuad,llama,ppi,43.0,0.931227,0.053479,0.095854,0.053479,1.058547,0.039856,300,300,high_variance
cuad,llama,ppi,56.0,0.661526,0.037747,0.10082,0.037747,0.789205,0.021654,300,300,high_variance
cuad,llama,ppi,72.0,0.588216,0.033357,0.110389,0.033357,0.701116,0.01916,300,300,high_variance
cuad,llama,ppi,93.0,0.546554,0.031415,0.051406,0.031415,0.630447,0.017515,300,300,high_variance
cuad,llama,ppi,120.0,0.507605,0.029154,0.051766,0.029154,0.588027,0.016534,300,300,high_variance
cuad,llama,ppi,155.0,0.431226,0.024349,0.089964,0.024349,0.512098,0.013257,300,300,high_variance
cuad,llama,ppi,200.0,0.387047,0.022346,0.001421,0.022346,0.452433,0.012694,300,300,high_variance
cuad,llama,ppipp,20.0,1.584387,0.088625,0.39239,0.088625,1.832798,0.061019,300,300,high_variance
cuad,llama,ppipp,26.0,1.403386,0.075413,0.513182,0.075413,1.617643,0.051069,300,300,high_variance
cuad,llama,ppipp,33.0,1.015941,0.057115,0.231291,0.057115,1.2159,0.034865,300,300,high_variance
cuad,llama,ppipp,43.0,0.937542,0.052413,0.234166,0.052413,1.128256,0.034686,300,300,high_variance
cuad,llama,ppipp,56.0,0.788551,0.04496,0.124082,0.04496,0.936177,0.028331,300,300,high_variance
cuad,llama,ppipp,72.0,0.7592,0.041777,0.229784,0.041777,0.885186,0.026574,300,300,high_variance
cuad,llama,ppipp,93.0,0.647261,0.036412,0.145554,0.036412,0.76555,0.022102,300,300,high_variance
cuad,llama,ppipp,120.0,0.579909,0.032779,0.118107,0.032779,0.66633,0.018853,300,300,high_variance
cuad,llama,ppipp,155.0,0.443026,0.02495,0.097558,0.02495,0.519519,0.013983,300,300,high_variance
cuad,llama,ppipp,200.0,0.371155,0.02128,0.043684,0.02128,0.447349,0.012283,300,300,high_variance
