dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.446389,0.0,0.446389,0.0,0.448219,0.0,300,300,high_variance
cuad,mistral,expert_only,20.0,3.373462,0.185899,1.006348,0.185899,3.872494,0.156872,300,300,high_variance
cuad,mistral,expert_only,26.0,3.266929,0.177575,1.10136,0.177575,3.662608,0.156019,300,300,high_variance
cuad,mistral,expert_only,33.0,1.961541,0.107539,0.615035,0.107539,2.281871,0.081923,300,300,high_variance
cuad,mistral,expert_only,43.0,1.536365,0.085423,0.413892,0.085423,1.785226,0.062817,300,300,high_variance
cuad,mistral,expert_only,56.0,1.308403,0.073646,0.291231,0.073646,1.545328,0.054526,300,300,high_variance
cuad,mistral,expert_only,72.0,1.041591,0.059172,0.185771,0.059172,1.237,0.038775,300,300,high_variance
cuad,mistral,expert_only,93.0,1.041266,0.058857,0.212095,0.058857,1.185578,0.04033,300,300,high_variance
cuad,mistral,expert_only,120.0,0.727538,0.040881,0.167156,0.040881,0.883205,0.02696,300,300,high_variance
cuad,mistral,expert_only,155.0,0.650845,0.036784,0.132983,0.036784,0.752275,0.023406,300,300,high_variance
cuad,mistral,expert_only,200.0,0.52618,0.029691,0.111333,0.029691,0.627792,0.01911,300,300,high_variance
cuad,mistral,dsl,20.0,156.697258,9.181779,13.779294,9.181779,170.116389,9.958994,300,289,high_variance
cuad,mistral,dsl,26.0,4.95235,0.275918,1.327687,0.275918,5.520441,0.283553,300,299,high_variance
cuad,mistral,dsl,33.0,2.028161,0.115241,0.359543,0.115241,2.18315,0.108816,300,300,high_variance
cuad,mistral,dsl,43.0,0.961863,0.055076,0.123121,0.055076,1.087909,0.041258,300,300,high_variance
cuad,mistral,dsl,56.0,0.835368,0.047941,0.091275,0.047941,0.934767,0.036448,300,300,high_variance
cuad,mistral,dsl,72.0,0.640146,0.036571,0.092468,0.036571,0.739445,0.025423,300,300,high_variance
cuad,mistral,dsl,93.0,0.627343,0.036108,0.049233,0.036108,0.704173,0.024093,300,300,high_variance
cuad,mistral,dsl,120.0,0.459619,0.026173,0.075813,0.026173,0.533636,0.016802,300,300,high_variance
cuad,mistral,dsl,155.0,0.363683,0.020988,0.01079,0.020988,0.429648,0.012278,300,300,high_variance
cuad,mistral,dsl,200.0,0.364322,0.02068,0.066605,0.02068,0.412949,0.012609,300,300,high_variance
cuad,mistral,ppi,20.0,2.2062422284094018e+39,1.2716498148095346e+38,1.2737745444744259e+38,1.2716498148095346e+38,2.3484127571051974e+39,1.3535950899744133e+38,300,300,high_variance
cuad,mistral,ppi,26.0,2.3865020187020404e+26,1.3755449416186466e+25,1.3791383553138026e+25,1.3755449416186466e+25,2.5058572231120505e+26,1.4443395447104035e+25,300,300,high_variance
cuad,mistral,ppi,33.0,2.555676406084882e+22,1.4730592074896614e+21,1.4755204610146818e+21,1.4730592074896614e+21,2.7598365975978827e+22,1.5907345317971666e+21,300,300,high_variance
cuad,mistral,ppi,43.0,1.188143,0.067892,0.170008,0.067892,1.320448,0.055968,300,300,high_variance
cuad,mistral,ppi,56.0,0.90186,0.051696,0.107682,0.051696,1.005818,0.03985,300,300,high_variance
cuad,mistral,ppi,72.0,0.731321,0.041754,0.10863,0.041754,0.834664,0.029643,300,300,high_variance
cuad,mistral,ppi,93.0,0.762264,0.043825,0.069704,0.043825,0.845796,0.03162,300,300,high_variance
cuad,mistral,ppi,120.0,0.522581,0.029742,0.087825,0.029742,0.596829,0.019762,300,300,high_variance
cuad,mistral,ppi,155.0,0.439274,0.025361,0.000228,0.025361,0.520399,0.015779,300,300,high_variance
cuad,mistral,ppi,200.0,0.461114,0.026142,0.08716,0.026142,0.524253,0.01665,300,300,high_variance
cuad,mistral,ppipp,20.0,1.277016,0.07144,0.315692,0.07144,1.573561,0.047507,300,300,high_variance
cuad,mistral,ppipp,26.0,1.26916,0.069479,0.403177,0.069479,1.520597,0.046581,300,300,high_variance
cuad,mistral,ppipp,33.0,1.043874,0.058013,0.282871,0.058013,1.250668,0.038152,300,300,high_variance
cuad,mistral,ppipp,43.0,0.883612,0.049928,0.181424,0.049928,1.058119,0.032929,300,300,high_variance
cuad,mistral,ppipp,56.0,0.798672,0.045651,0.112548,0.045651,0.95315,0.030097,300,300,high_variance
cuad,mistral,ppipp,72.0,0.669091,0.038237,0.095178,0.038237,0.812253,0.024387,300,300,high_variance
cuad,mistral,ppipp,93.0,0.677874,0.03879,0.090101,0.03879,0.783879,0.024864,300,300,high_variance
cuad,mistral,ppipp,120.0,0.490997,0.027775,0.098231,0.027775,0.604495,0.016629,300,300,high_variance
cuad,mistral,ppipp,155.0,0.438956,0.025139,0.055587,0.025139,0.512063,0.01447,300,300,high_variance
cuad,mistral,ppipp,200.0,0.382314,0.021642,0.075199,0.021642,0.449319,0.013149,300,300,high_variance
