dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,,0.377929,0.0,0.270306,0.0,300,300,full_logistic
fomc,gpt54,expert_only,20.0,3542.440591,204.110345,444.279625,445.136927,300,300,full_logistic
fomc,gpt54,expert_only,26.0,8.108934,0.353357,2.533092,0.596107,300,300,full_logistic
fomc,gpt54,expert_only,33.0,5.079568,0.213045,1.038903,0.352705,300,300,full_logistic
fomc,gpt54,expert_only,43.0,3.541913,0.147375,0.805186,0.233315,300,300,full_logistic
fomc,gpt54,expert_only,56.0,2.337098,0.095753,0.81081,0.166697,300,300,full_logistic
fomc,gpt54,expert_only,72.0,1.742847,0.070005,0.271659,0.133322,300,300,full_logistic
fomc,gpt54,expert_only,93.0,1.045093,0.03047,0.093148,0.108756,300,300,full_logistic
fomc,gpt54,expert_only,120.0,0.82493,0.017254,0.271757,0.09909,300,300,full_logistic
fomc,gpt54,expert_only,155.0,0.668959,0.012331,0.199199,0.083906,300,300,full_logistic
fomc,gpt54,expert_only,200.0,0.555396,0.010076,-0.014891,0.064418,300,300,full_logistic
fomc,gpt54,dsl,20.0,21.883041,1.240137,4.910308,1.600273,300,259,full_logistic
fomc,gpt54,dsl,26.0,10.19908,0.538921,2.329909,0.795813,300,290,full_logistic
fomc,gpt54,dsl,33.0,5.291876,0.276124,0.794051,0.236024,300,300,full_logistic
fomc,gpt54,dsl,43.0,2.308567,0.103044,0.339915,0.151546,300,300,full_logistic
fomc,gpt54,dsl,56.0,1.599811,0.068664,0.246286,0.120327,300,300,full_logistic
fomc,gpt54,dsl,72.0,0.918809,0.02262,0.037971,0.107166,300,300,full_logistic
fomc,gpt54,dsl,93.0,0.792216,0.021048,0.075708,0.083869,300,300,full_logistic
fomc,gpt54,dsl,120.0,0.628555,0.014548,0.208786,0.072753,300,300,full_logistic
fomc,gpt54,dsl,155.0,0.532965,0.01091,0.145866,0.065913,300,300,full_logistic
fomc,gpt54,dsl,200.0,0.457323,0.009707,-0.013589,0.047569,300,300,full_logistic
fomc,gpt54,ppi,20.0,1.487821480065232e+67,8.566006996201688e+65,4.998220984273676e+65,6.1603288863886655e+65,300,300,full_logistic
fomc,gpt54,ppi,26.0,6.622787979406828e+49,3.817290322471317e+48,-4.498258758640428e+48,4.4907554028119745e+48,300,300,full_logistic
fomc,gpt54,ppi,33.0,2.6616200657359286e+65,1.5341237784785998e+64,1.2567666821287334e+64,1.254670322567246e+64,300,300,full_logistic
fomc,gpt54,ppi,43.0,3.0977624343912534e+48,1.7855106639209e+47,1.2148168968547191e+47,1.212790511960816e+47,300,300,full_logistic
fomc,gpt54,ppi,56.0,1.2468706735900212e+36,7.181989492827525e+34,5.556223821974662e+34,4.589550385003538e+34,300,300,full_logistic
fomc,gpt54,ppi,72.0,2.355539209318216e+26,1.3576098033612351e+25,9.553802198149437e+24,9.352420365093083e+24,300,300,full_logistic
fomc,gpt54,ppi,93.0,4.665268756500649e+36,2.6890012682412018e+35,1.8301869367007036e+35,1.8271340789061905e+35,300,300,full_logistic
fomc,gpt54,ppi,120.0,0.752086,0.018023,0.275954,0.086865,300,300,full_logistic
fomc,gpt54,ppi,155.0,0.66573,0.015162,0.149353,0.081182,300,300,full_logistic
fomc,gpt54,ppi,200.0,0.593654,0.013032,-0.004213,0.064925,300,300,full_logistic
fomc,gpt54,ppipp,20.0,1.3083824884826024e+35,7.536041774443723e+33,6.734030426349827e+33,5.663654365263466e+33,300,300,full_logistic
fomc,gpt54,ppipp,26.0,1.5773044664855276e+23,9.087403252907188e+21,6.711079782558356e+21,6.020441468300884e+21,300,300,full_logistic
fomc,gpt54,ppipp,33.0,1.0448883581536951e+37,6.022602912921106e+35,4.2189043002574565e+35,4.211866923714477e+35,300,300,full_logistic
fomc,gpt54,ppipp,43.0,2.626241384784765e+24,1.5112626012779757e+23,1.4892657588886561e+23,1.0587389886930083e+23,300,300,full_logistic
fomc,gpt54,ppipp,56.0,1.051612,0.023323,0.318375,0.111677,300,300,full_logistic
fomc,gpt54,ppipp,72.0,8.419311854433333e+25,4.852783716424842e+24,3.3550615728616846e+24,3.349465135983278e+24,300,300,full_logistic
fomc,gpt54,ppipp,93.0,0.72635,0.013598,0.031355,0.082091,300,300,full_logistic
fomc,gpt54,ppipp,120.0,0.639834,0.012898,0.212291,0.077521,300,300,full_logistic
fomc,gpt54,ppipp,155.0,0.539306,0.009852,0.157862,0.06935,300,300,full_logistic
fomc,gpt54,ppipp,200.0,0.454695,0.008551,-0.025714,0.051216,300,300,full_logistic
