dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,1.964106,0.0,3.005111,0.0,300,300,full_logistic
fomc,mistral,expert_only,20.0,3542.440591,204.110345,444.279625,445.136927,300,300,full_logistic
fomc,mistral,expert_only,26.0,8.108934,0.353357,2.533092,0.596107,300,300,full_logistic
fomc,mistral,expert_only,33.0,5.079568,0.213045,1.038903,0.352705,300,300,full_logistic
fomc,mistral,expert_only,43.0,3.541913,0.147375,0.805186,0.233315,300,300,full_logistic
fomc,mistral,expert_only,56.0,2.337098,0.095753,0.81081,0.166697,300,300,full_logistic
fomc,mistral,expert_only,72.0,1.742847,0.070005,0.271659,0.133322,300,300,full_logistic
fomc,mistral,expert_only,93.0,1.045093,0.03047,0.093148,0.108756,300,300,full_logistic
fomc,mistral,expert_only,120.0,0.82493,0.017254,0.271757,0.09909,300,300,full_logistic
fomc,mistral,expert_only,155.0,0.668959,0.012331,0.199199,0.083906,300,300,full_logistic
fomc,mistral,expert_only,200.0,0.555396,0.010076,-0.014891,0.064418,300,300,full_logistic
fomc,mistral,dsl,20.0,21.220364,1.183753,5.398561,1.263736,300,266,full_logistic
fomc,mistral,dsl,26.0,6.891114,0.311051,2.185856,0.394077,300,290,full_logistic
fomc,mistral,dsl,33.0,5.468523,0.262797,1.16215,0.270953,300,296,full_logistic
fomc,mistral,dsl,43.0,3.386616,0.155727,0.535135,0.213611,300,300,full_logistic
fomc,mistral,dsl,56.0,3.194306,0.152963,0.746671,0.157463,300,300,full_logistic
fomc,mistral,dsl,72.0,2.394482,0.113712,0.324723,0.142355,300,300,full_logistic
fomc,mistral,dsl,93.0,1.563267,0.070237,0.130636,0.099068,300,300,full_logistic
fomc,mistral,dsl,120.0,0.999585,0.037882,0.176819,0.086653,300,300,full_logistic
fomc,mistral,dsl,155.0,0.65805,0.014673,0.209127,0.073789,300,300,full_logistic
fomc,mistral,dsl,200.0,0.54544,0.010001,-0.017464,0.056059,300,300,full_logistic
fomc,mistral,ppi,20.0,1.981833434441965e+67,1.1423034549150324e+66,-2.105676312470551e+66,2.1021639225150902e+66,300,300,full_logistic
fomc,mistral,ppi,26.0,6.29647291650605e+55,3.629120561750288e+54,-2.5672727594256698e+54,2.6130920750061417e+54,300,300,full_logistic
fomc,mistral,ppi,33.0,4.857490698531403e+54,2.7997696924527186e+53,1.1683111810812485e+53,1.173258377945273e+53,300,300,full_logistic
fomc,mistral,ppi,43.0,7.854044660528053e+48,4.526721910067e+47,3.0365514821673812e+47,3.148172947641005e+47,300,300,full_logistic
fomc,mistral,ppi,56.0,7.876021261992957e+36,4.5374950669935544e+35,3.507385550408554e+35,3.28225615068757e+35,300,300,full_logistic
fomc,mistral,ppi,72.0,1.622480186704958e+54,9.35176767128516e+52,5.978177354281624e+52,5.968050361217575e+52,300,300,full_logistic
fomc,mistral,ppi,93.0,1.252399,0.033227,0.025896,0.13659,300,300,full_logistic
fomc,mistral,ppi,120.0,3.615335347678618e+26,2.0838330742424765e+25,1.5487028485085174e+25,1.5461195225257115e+25,300,300,full_logistic
fomc,mistral,ppi,155.0,0.818987,0.01671,0.283263,0.098151,300,300,full_logistic
fomc,mistral,ppi,200.0,0.735327,0.014586,-0.072499,0.082626,300,300,full_logistic
fomc,mistral,ppipp,20.0,9.518992313925446e+37,5.486625474196377e+36,1.20810341303623e+37,1.2060882414785393e+37,300,300,full_logistic
fomc,mistral,ppipp,26.0,1.4020470425647606e+25,8.074909441570829e+23,7.675047804788785e+23,6.478706190619996e+23,300,300,full_logistic
fomc,mistral,ppipp,33.0,2.0302284725187344e+40,1.1701977361573932e+39,8.170242357120418e+38,8.156613920014288e+38,300,300,full_logistic
fomc,mistral,ppipp,43.0,1.3432723742771141e+44,7.742450235030584e+42,5.332311622872549e+42,5.323417018476973e+42,300,300,full_logistic
fomc,mistral,ppipp,56.0,3.8829747165558284e+26,2.2379811191988965e+25,1.5485870455213817e+25,1.522269227918079e+25,300,300,full_logistic
fomc,mistral,ppipp,72.0,1.078327,0.023869,0.181901,0.115037,300,300,full_logistic
fomc,mistral,ppipp,93.0,0.858971,0.01647,0.080284,0.093808,300,300,full_logistic
fomc,mistral,ppipp,120.0,0.761622,0.015515,0.257041,0.089776,300,300,full_logistic
fomc,mistral,ppipp,155.0,0.619329,0.011275,0.223161,0.078238,300,300,full_logistic
fomc,mistral,ppipp,200.0,0.520364,0.009166,-0.010634,0.059641,300,300,full_logistic
