dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,,0.16724,0.0,-0.16724,0.0,2.056915,0.0,300,300,low_variance
fomc,mistral,expert_only,20.0,4.011563,0.20416,1.894253,0.20416,4.435068,0.173097,300,300,low_variance
fomc,mistral,expert_only,26.0,3.536688,0.180122,1.665835,0.180122,3.907965,0.169586,300,300,low_variance
fomc,mistral,expert_only,33.0,2.79575,0.151215,0.977993,0.151215,3.107546,0.141699,300,300,low_variance
fomc,mistral,expert_only,43.0,2.415096,0.130982,0.828152,0.130982,2.679496,0.127366,300,300,low_variance
fomc,mistral,expert_only,56.0,1.39925,0.078096,0.358081,0.078096,1.588534,0.074034,300,300,low_variance
fomc,mistral,expert_only,72.0,1.126431,0.063615,0.234037,0.063615,1.272153,0.059737,300,300,low_variance
fomc,mistral,expert_only,93.0,0.536352,0.030658,0.075496,0.030658,0.666581,0.024721,300,300,low_variance
fomc,mistral,expert_only,120.0,0.404612,0.02326,0.037443,0.02326,0.510338,0.014537,300,300,low_variance
fomc,mistral,expert_only,155.0,0.333434,0.019172,0.030138,0.019172,0.415601,0.011698,300,300,low_variance
fomc,mistral,expert_only,200.0,0.289803,0.016456,0.052385,0.016456,0.365403,0.010271,300,300,low_variance
fomc,mistral,dsl,20.0,4.230867,0.227109,1.557765,0.227109,4.650391,0.21567,300,300,low_variance
fomc,mistral,dsl,26.0,3.827042,0.203408,1.494599,0.203408,4.227826,0.201177,300,300,low_variance
fomc,mistral,dsl,33.0,2.744707,0.150866,0.839795,0.150866,3.024688,0.145723,300,300,low_variance
fomc,mistral,dsl,43.0,2.019103,0.112811,0.508833,0.112811,2.236494,0.110041,300,300,low_variance
fomc,mistral,dsl,56.0,2.173673,0.121964,0.512145,0.121964,2.395683,0.122658,300,300,low_variance
fomc,mistral,dsl,72.0,1.750976,0.098933,0.359955,0.098933,1.929488,0.098969,300,300,low_variance
fomc,mistral,dsl,93.0,0.84716,0.048118,0.151918,0.048118,0.957662,0.043474,300,300,low_variance
fomc,mistral,dsl,120.0,0.542485,0.031218,0.043797,0.031218,0.633733,0.02583,300,300,low_variance
