dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,,0.903809,0.0,-0.903809,0.0,0.971706,0.0,300,300,high_variance
misogynistic,deepseek,expert_only,20.0,7.170641,0.382826,2.729739,0.382826,7.487586,0.366721,300,300,high_variance
misogynistic,deepseek,expert_only,26.0,5.904407,0.327516,1.6377,0.327516,6.151474,0.321512,300,300,high_variance
misogynistic,deepseek,expert_only,33.0,3.314483,0.175215,1.332543,0.175215,3.44307,0.158186,300,300,high_variance
misogynistic,deepseek,expert_only,43.0,2.508838,0.134024,0.951581,0.134024,2.614114,0.117647,300,300,high_variance
misogynistic,deepseek,expert_only,56.0,2.283717,0.120457,0.928664,0.120457,2.368905,0.105436,300,300,high_variance
misogynistic,deepseek,expert_only,72.0,1.5716,0.081445,0.692775,0.081445,1.639469,0.069114,300,300,high_variance
misogynistic,deepseek,expert_only,93.0,1.212888,0.063809,0.499636,0.063809,1.260386,0.050107,300,300,high_variance
misogynistic,deepseek,expert_only,120.0,1.039909,0.056681,0.342915,0.056681,1.08229,0.045162,300,300,high_variance
misogynistic,deepseek,expert_only,155.0,0.826722,0.044878,0.281537,0.044878,0.861185,0.031844,300,300,high_variance
misogynistic,deepseek,expert_only,200.0,0.717895,0.039512,0.216817,0.039512,0.744204,0.027327,300,300,high_variance
misogynistic,deepseek,dsl,20.0,1790.989208,101.034284,624.703618,101.034284,1853.814866,104.574092,300,276,high_variance
misogynistic,deepseek,dsl,26.0,2284.308106,127.017803,787.406926,127.017803,2373.956063,132.028946,300,285,high_variance
misogynistic,deepseek,dsl,33.0,1355.557653,77.55384,367.974583,77.55384,1403.674433,80.295858,300,283,high_variance
misogynistic,deepseek,dsl,43.0,1102.212941,63.125316,259.324815,63.125316,1137.37225,65.124798,300,288,high_variance
misogynistic,deepseek,dsl,56.0,982.102134,56.399069,205.125958,56.399069,1014.540964,58.250667,300,290,high_variance
