dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.884614,0.0,-25.581037,0.0,300,300,full_logistic
misogynistic,llama,expert_only,20.0,96.267955,5.455866,-113.020147,596.395382,300,300,full_logistic
misogynistic,llama,expert_only,26.0,335.818222,19.304152,-894.812956,1575.956959,300,300,full_logistic
misogynistic,llama,expert_only,33.0,2.667734,0.138015,20.931161,11.647437,300,300,full_logistic
misogynistic,llama,expert_only,43.0,1.33613,0.061265,-3.064422,6.911667,300,300,full_logistic
misogynistic,llama,expert_only,56.0,0.787027,0.033148,8.892095,5.699634,300,300,full_logistic
misogynistic,llama,expert_only,72.0,0.461514,0.015236,11.015393,3.36666,300,300,full_logistic
misogynistic,llama,expert_only,93.0,0.392172,0.013106,8.475989,2.657835,300,300,full_logistic
misogynistic,llama,expert_only,120.0,0.338782,0.01154,5.718304,2.341283,300,300,full_logistic
misogynistic,llama,expert_only,155.0,0.268874,0.009133,5.253934,1.745221,300,300,full_logistic
misogynistic,llama,expert_only,200.0,0.203698,0.005595,2.805595,1.450669,300,300,full_logistic
misogynistic,llama,dsl,20.0,28.723979,2.272601,802.496366,427.542433,300,152,full_logistic
misogynistic,llama,dsl,26.0,6.562967,0.461835,100.245483,57.525805,300,175,full_logistic
misogynistic,llama,dsl,33.0,19.92136,1.366944,335.423616,209.987532,300,204,full_logistic
misogynistic,llama,dsl,43.0,12.449401,0.803315,222.630463,164.060187,300,230,full_logistic
misogynistic,llama,dsl,56.0,35.640625,2.281402,861.409824,629.205908,300,240,full_logistic
misogynistic,llama,dsl,72.0,42.035991,2.624866,732.148825,620.566198,300,252,full_logistic
misogynistic,llama,dsl,93.0,19.721247,1.226925,502.916215,299.712584,300,251,full_logistic
misogynistic,llama,dsl,120.0,17.484757,1.09514,362.012239,257.813499,300,249,full_logistic
misogynistic,llama,dsl,155.0,1.250804,0.051696,39.169374,12.557421,300,266,full_logistic
misogynistic,llama,dsl,200.0,3.547644,0.205266,23.068274,7.651476,300,278,full_logistic
misogynistic,llama,ppi,20.0,1.4473631767758909e+56,8.340594860220276e+54,5.811897490505689e+55,6.170847696227514e+55,300,300,full_logistic
misogynistic,llama,ppi,26.0,1.5321185875650636e+67,8.82979264551258e+65,3.7173574261791955e+66,9.999101620581139e+66,300,300,full_logistic
misogynistic,llama,ppi,33.0,1.9030137327661233e+71,1.0968705535741603e+70,2.813127310935345e+72,2.8080546406459167e+72,300,300,full_logistic
misogynistic,llama,ppi,43.0,6.679508442825779e+66,3.8499369261079074e+65,1.0856700665284338e+66,1.096753325765009e+66,300,300,full_logistic
misogynistic,llama,ppi,56.0,7.075907084461884e+67,4.078462381735677e+66,1.1441910764406537e+69,1.142282499503297e+69,300,300,full_logistic
misogynistic,llama,ppi,72.0,2.9456049959695976e+64,1.6978090616618094e+63,-4.6699098631995065e+64,4.6621201800318385e+64,300,300,full_logistic
misogynistic,llama,ppi,93.0,4.361878389739708e+70,2.5141302714341186e+69,-5.817087122198845e+70,5.807126113228092e+70,300,300,full_logistic
misogynistic,llama,ppi,120.0,5.596264434845777e+66,3.225360027779162e+65,4.181382723727345e+66,2.989732141904464e+66,300,300,full_logistic
misogynistic,llama,ppi,155.0,6.0022629682362124e+66,3.459627639118341e+65,5.661174963992733e+66,5.6517317962688586e+66,300,300,full_logistic
misogynistic,llama,ppi,200.0,1.3487736254299968e+55,7.757923714387362e+53,1.6263948457440494e+56,1.2924551941727231e+56,300,300,full_logistic
misogynistic,llama,ppipp,20.0,2.0905152237433627e+51,1.2031213582840797e+50,2.1919637717101615e+52,1.692326642883612e+52,300,300,full_logistic
misogynistic,llama,ppipp,26.0,2.4462002097042138e+55,1.4099585274905885e+54,1.8724932707824105e+56,1.869369843745594e+56,300,300,full_logistic
misogynistic,llama,ppipp,33.0,9.326650266289175e+52,5.37569231067863e+51,-2.136850830213391e+53,2.136538038073724e+53,300,300,full_logistic
misogynistic,llama,ppipp,43.0,1.1223158378348483e+57,6.468884949103097e+55,-2.654599552100733e+57,2.6501713276173586e+57,300,300,full_logistic
misogynistic,llama,ppipp,56.0,2.203797644175947e+40,1.2702285401343345e+39,-6.461446323412098e+40,6.438519131556504e+40,300,300,full_logistic
misogynistic,llama,ppipp,72.0,5.497303130755088e+56,3.1685752444396185e+55,-1.3891503912338682e+57,1.3868332080209669e+57,300,300,full_logistic
misogynistic,llama,ppipp,93.0,4.144653623990552e+39,2.388925121439597e+38,-4.379051919678701e+39,4.371500363285923e+39,300,300,full_logistic
misogynistic,llama,ppipp,120.0,3.530023816920055e+52,2.034660598576257e+51,-1.060273108139029e+53,1.058504511231129e+53,300,300,full_logistic
misogynistic,llama,ppipp,155.0,1.0470696953999013e+40,6.035077281274948e+38,-3.421514132104597e+39,3.385987045832809e+39,300,300,full_logistic
misogynistic,llama,ppipp,200.0,1.0303237722071662e+41,5.938291878145642e+39,-7.080858279694127e+40,7.071746920799828e+40,300,300,full_logistic
