dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,,0.805857,0.0,-0.805857,0.0,0.848199,0.0,300,300,high_variance
misogynistic,llama,expert_only,20.0,7.093003,0.374222,2.880629,0.374222,7.424307,0.366207,300,300,high_variance
misogynistic,llama,expert_only,26.0,5.396548,0.293088,1.831009,0.293088,5.647552,0.285525,300,300,high_variance
misogynistic,llama,expert_only,33.0,3.258575,0.172874,1.28558,0.172874,3.384633,0.152593,300,300,high_variance
misogynistic,llama,expert_only,43.0,2.228984,0.117656,0.903053,0.117656,2.313862,0.100831,300,300,high_variance
misogynistic,llama,expert_only,56.0,2.038015,0.105044,0.918267,0.105044,2.119087,0.092129,300,300,high_variance
misogynistic,llama,expert_only,72.0,1.592785,0.082133,0.716375,0.082133,1.654003,0.070382,300,300,high_variance
misogynistic,llama,expert_only,93.0,1.323752,0.069454,0.552428,0.069454,1.366278,0.058065,300,300,high_variance
misogynistic,llama,expert_only,120.0,1.057954,0.055545,0.440102,0.055545,1.101395,0.043696,300,300,high_variance
misogynistic,llama,expert_only,155.0,0.854243,0.044687,0.361474,0.044687,0.893313,0.033036,300,300,high_variance
misogynistic,llama,expert_only,200.0,0.67554,0.036454,0.2402,0.036454,0.702928,0.02616,300,300,high_variance
misogynistic,llama,dsl,20.0,2037.047943,115.990362,660.549353,115.990362,2118.812735,120.659504,300,276,high_variance
misogynistic,llama,dsl,26.0,2128.691808,118.015813,812.046371,118.015813,2209.74863,122.519656,300,278,high_variance
misogynistic,llama,dsl,33.0,1619.606919,91.752419,473.130262,91.752419,1677.994845,95.058021,300,285,high_variance
misogynistic,llama,dsl,43.0,1263.884466,71.612473,331.939037,71.612473,1307.894461,74.093777,300,290,high_variance
misogynistic,llama,dsl,56.0,1360.836619,77.877354,359.791268,77.877354,1410.761158,80.723852,300,284,high_variance
misogynistic,llama,dsl,72.0,1270.031385,71.769114,314.074565,71.769114,1314.090329,74.250813,300,294,high_variance
misogynistic,llama,dsl,93.0,1289.436806,72.561993,353.830984,72.561993,1332.839632,74.995238,300,292,high_variance
misogynistic,llama,dsl,120.0,1219.404901,68.205609,331.59435,68.205609,1261.405083,70.545554,300,296,high_variance
misogynistic,llama,dsl,155.0,864.342112,49.157212,164.288447,49.157212,894.633799,50.874291,300,298,high_variance
misogynistic,llama,dsl,200.0,507.546401,29.108308,58.440345,29.108308,524.362225,30.06892,300,300,high_variance
misogynistic,llama,ppi,20.0,6.912182805744298e+44,3.984029774827032e+43,4.0098802962449277e+43,3.984029774827032e+43,7.400522046414269e+44,4.2654982146231247e+43,300,300,high_variance
misogynistic,llama,ppi,26.0,4.994988007675367e+54,2.879047148754265e+53,2.883881803585803e+53,2.879047148754265e+53,5.2793469093212385e+54,3.042947984493496e+53,300,300,high_variance
misogynistic,llama,ppi,33.0,1.742850091859556e+41,1.004011224183656e+40,1.1580512870581539e+40,1.004011224183656e+40,1.7855114896087916e+41,1.0285713584502342e+40,300,300,high_variance
misogynistic,llama,ppi,43.0,1.791993562742821e+50,1.0328821798669942e+49,1.0346079668805626e+49,1.0328821798669942e+49,1.8429874984017146e+50,1.0622744324500824e+49,300,300,high_variance
misogynistic,llama,ppi,56.0,5.1423441666476666e+39,2.95450562186393e+38,5.063527617961455e+38,2.95450562186393e+38,5.275834238994421e+39,3.0313093001417894e+38,300,300,high_variance
misogynistic,llama,ppi,72.0,2.3226689241379775e+40,1.3386475401835647e+39,1.3732887765414357e+39,1.3386475401835647e+39,2.3288778922543413e+40,1.3422242188986178e+39,300,300,high_variance
misogynistic,llama,ppi,93.0,1.2382099309804325e+39,7.136883743548174e+37,7.148808369862133e+37,7.136883743548174e+37,1.2876355188541699e+39,7.421766513251115e+37,300,300,high_variance
