dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,,0.142318,0.0,-0.142318,0.0,0.141433,0.0,300,300,low_variance
vuamc,claude,expert_only,20.0,25.194721,1.447828,2.431488,1.447828,25.094318,1.440383,300,300,low_variance
vuamc,claude,expert_only,26.0,1.191038,0.065846,0.343339,0.065846,1.167356,0.05804,300,300,low_variance
vuamc,claude,expert_only,33.0,0.579235,0.031497,0.19469,0.031497,0.571444,0.022822,300,300,low_variance
vuamc,claude,expert_only,43.0,0.46459,0.026297,0.091525,0.026297,0.462505,0.018331,300,300,low_variance
vuamc,claude,expert_only,56.0,0.409113,0.022776,0.10842,0.022776,0.405043,0.01626,300,300,low_variance
vuamc,claude,expert_only,72.0,0.336149,0.019293,0.03648,0.019293,0.332204,0.012714,300,300,low_variance
vuamc,claude,expert_only,93.0,0.306054,0.017378,0.055395,0.017378,0.302234,0.011827,300,300,low_variance
vuamc,claude,expert_only,120.0,0.27507,0.015431,0.065028,0.015431,0.272822,0.009812,300,300,low_variance
vuamc,claude,expert_only,155.0,0.203642,0.011624,0.030631,0.011624,0.20193,0.007276,300,300,low_variance
vuamc,claude,expert_only,200.0,0.162644,0.009081,0.041423,0.009081,0.161362,0.005692,300,300,low_variance
vuamc,claude,dsl,20.0,0.971028,0.066934,-0.226568,0.066934,0.992367,0.045525,300,199,low_variance
vuamc,claude,dsl,26.0,1.15573,0.091081,-0.010411,0.091081,1.177577,0.071453,300,161,low_variance
vuamc,claude,dsl,33.0,1.369242,0.082466,0.315979,0.082466,1.393785,0.074976,300,261,low_variance
vuamc,claude,dsl,43.0,1.128386,0.063848,0.287889,0.063848,1.152912,0.05682,300,292,low_variance
vuamc,claude,dsl,56.0,0.965289,0.053514,0.299727,0.053514,0.985491,0.049044,300,294,low_variance
vuamc,claude,dsl,72.0,0.920965,0.053178,0.149817,0.053178,0.937478,0.049388,300,292,low_variance
vuamc,claude,dsl,93.0,0.602043,0.034128,0.119187,0.034128,0.609921,0.029385,300,299,low_variance
vuamc,claude,dsl,120.0,0.469888,0.026133,0.126183,0.026133,0.478338,0.021954,300,300,low_variance
vuamc,claude,dsl,155.0,0.40223,0.022322,0.11096,0.022322,0.410505,0.017585,300,300,low_variance
vuamc,claude,dsl,200.0,0.272697,0.015431,0.054161,0.015431,0.27695,0.011646,300,300,low_variance
vuamc,claude,ppi,20.0,9.231919187866327e+28,5.32063255723884e+27,5.48579496376497e+27,5.32063255723884e+27,9.480231925912e+28,5.463736876266596e+27,300,300,low_variance
vuamc,claude,ppi,26.0,1.357785918171547e+28,7.807411724486158e+26,1.221157832371932e+27,7.807411724486158e+26,1.399951894171798e+28,8.049720549187863e+26,300,300,low_variance
vuamc,claude,ppi,33.0,3.437768091434683e+28,1.9812145746078545e+27,2.064361367849896e+27,1.9812145746078545e+27,3.541333097078916e+28,2.0409047497894733e+27,300,300,low_variance
vuamc,claude,ppi,43.0,2.164264993463334e+25,1.241874917833489e+24,2.393387292082877e+24,1.241874917833489e+24,2.210655146348059e+25,1.268473499874724e+24,300,300,low_variance
vuamc,claude,ppi,56.0,4.150848582075465e+25,2.3924906983012433e+24,2.3980977241135512e+24,2.3924906983012433e+24,4.309808266750027e+25,2.484112852626099e+24,300,300,low_variance
vuamc,claude,ppi,72.0,3.4583449886205577e+27,1.9933273480907048e+26,2.0022065422415308e+26,1.9933273480907048e+26,3.5421078014718217e+27,2.041606658806664e+26,300,300,low_variance
vuamc,claude,ppi,93.0,0.342676,0.019665,0.037609,0.019665,0.350284,0.01533,300,300,low_variance
vuamc,claude,ppi,120.0,0.315751,0.017844,0.06465,0.017844,0.320964,0.014103,300,300,low_variance
vuamc,claude,ppi,155.0,0.346031,0.019215,0.094736,0.019215,0.353741,0.015727,300,300,low_variance
vuamc,claude,ppi,200.0,0.226342,0.01292,0.033899,0.01292,0.231341,0.009494,300,300,low_variance
vuamc,claude,ppipp,20.0,5.222545884920467e+26,3.010162281011778e+25,3.0291029368709624e+25,3.010162281011778e+25,5.327311079908731e+26,3.0705476554474702e+25,300,300,low_variance
vuamc,claude,ppipp,26.0,3.001993861134855e+25,1.7302907354737154e+24,1.7392255314605813e+24,1.7302907354737154e+24,3.0625875395202698e+25,1.7652158341005107e+24,300,300,low_variance
vuamc,claude,ppipp,33.0,5.287886992854974e+24,3.047833506428913e+23,3.064010451557123e+23,3.047833506428913e+23,5.299545568343452e+24,3.054552496185657e+23,300,300,low_variance
vuamc,claude,ppipp,43.0,0.352869,0.020133,0.054013,0.020133,0.357022,0.014205,300,300,low_variance
vuamc,claude,ppipp,56.0,0.386874,0.021669,0.093872,0.021669,0.39164,0.018623,300,300,low_variance
vuamc,claude,ppipp,72.0,0.295192,0.016979,0.025633,0.016979,0.296763,0.012689,300,300,low_variance
vuamc,claude,ppipp,93.0,0.205705,0.01183,0.018229,0.01183,0.205281,0.007427,300,300,low_variance
vuamc,claude,ppipp,120.0,0.196386,0.011097,0.040288,0.011097,0.196648,0.007208,300,300,low_variance
vuamc,claude,ppipp,155.0,0.169197,0.009567,0.034204,0.009567,0.170156,0.006013,300,300,low_variance
vuamc,claude,ppipp,200.0,0.124758,0.007047,0.025841,0.007047,0.125316,0.004634,300,300,low_variance
