dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,,0.633079,0.0,-0.633079,0.0,0.611786,0.0,300,300,low_variance
vuamc,deepseek,expert_only,20.0,25.194721,1.447828,2.431488,1.447828,25.094318,1.440383,300,300,low_variance
vuamc,deepseek,expert_only,26.0,1.191038,0.065846,0.343339,0.065846,1.167356,0.05804,300,300,low_variance
vuamc,deepseek,expert_only,33.0,0.579235,0.031497,0.19469,0.031497,0.571444,0.022822,300,300,low_variance
vuamc,deepseek,expert_only,43.0,0.46459,0.026297,0.091525,0.026297,0.462505,0.018331,300,300,low_variance
vuamc,deepseek,expert_only,56.0,0.409113,0.022776,0.10842,0.022776,0.405043,0.01626,300,300,low_variance
vuamc,deepseek,expert_only,72.0,0.336149,0.019293,0.03648,0.019293,0.332204,0.012714,300,300,low_variance
vuamc,deepseek,expert_only,93.0,0.306054,0.017378,0.055395,0.017378,0.302234,0.011827,300,300,low_variance
vuamc,deepseek,expert_only,120.0,0.27507,0.015431,0.065028,0.015431,0.272822,0.009812,300,300,low_variance
vuamc,deepseek,expert_only,155.0,0.203642,0.011624,0.030631,0.011624,0.20193,0.007276,300,300,low_variance
vuamc,deepseek,expert_only,200.0,0.162644,0.009081,0.041423,0.009081,0.161362,0.005692,300,300,low_variance
vuamc,deepseek,dsl,20.0,1.38605,0.097729,-0.037342,0.097729,1.423594,0.074538,300,201,low_variance
vuamc,deepseek,dsl,26.0,1.260727,0.096922,-0.043169,0.096922,1.282653,0.074286,300,169,low_variance
vuamc,deepseek,dsl,33.0,1.0953,0.072437,-0.138188,0.072437,1.111699,0.058438,300,225,low_variance
vuamc,deepseek,dsl,43.0,0.933332,0.059868,-0.104498,0.059868,0.948828,0.04542,300,240,low_variance
vuamc,deepseek,dsl,56.0,1.456652,0.094239,0.161001,0.094239,1.482442,0.082321,300,236,low_variance
vuamc,deepseek,dsl,72.0,1.211809,0.077896,-0.009125,0.077896,1.232425,0.065674,300,242,low_variance
vuamc,deepseek,dsl,93.0,1.564772,0.100202,0.221028,0.100202,1.595982,0.08975,300,239,low_variance
vuamc,deepseek,dsl,120.0,1.335359,0.080114,0.365614,0.080114,1.364299,0.070189,300,257,low_variance
vuamc,deepseek,dsl,155.0,1.635931,0.095107,0.444797,0.095107,1.66833,0.086461,300,274,low_variance
vuamc,deepseek,dsl,200.0,1.333525,0.076205,0.359214,0.076205,1.361725,0.069765,300,284,low_variance
vuamc,deepseek,ppi,20.0,1.5024409628745725e+41,8.659323093082893e+39,8.83886531830429e+39,8.659323093082893e+39,1.5445430027804298e+41,8.901998745308437e+39,300,300,low_variance
vuamc,deepseek,ppi,26.0,6.025755783033291e+37,3.47316859722433e+36,3.4789717234192076e+36,3.47316859722433e+36,6.300074241791615e+37,3.631282249835518e+36,300,300,low_variance
vuamc,deepseek,ppi,33.0,6.398963452557932e+42,3.688278979055821e+41,3.694966645816532e+41,3.688278979055821e+41,6.492817113508258e+42,3.742375009544521e+41,300,300,low_variance
vuamc,deepseek,ppi,43.0,2.2886363545717784e+38,1.3171399783844723e+37,1.8243682602931276e+37,1.3171399783844723e+37,2.366466401629949e+38,1.3619476861987195e+37,300,300,low_variance
vuamc,deepseek,ppi,56.0,8.626295206723994e+38,4.972086274511709e+37,4.980393859788071e+37,4.972086274511709e+37,8.868873862895559e+38,5.111905510688558e+37,300,300,low_variance
vuamc,deepseek,ppi,72.0,3.6250459983162317e+37,2.0872830043182538e+36,2.659087617229188e+36,2.0872830043182538e+36,3.7080906394528166e+37,2.135104918423063e+36,300,300,low_variance
vuamc,deepseek,ppi,93.0,2.5262466636210066e+28,1.4544165078217907e+27,1.8957866647560786e+27,1.4544165078217907e+27,2.5786569751382756e+28,1.4846047654898242e+27,300,300,low_variance
vuamc,deepseek,ppi,120.0,4.532888947765823e+28,2.612353486228591e+27,2.7186393976679253e+27,2.612353486228591e+27,4.6670756707536765e+28,2.689693501080374e+27,300,300,low_variance
vuamc,deepseek,ppi,155.0,4.8571150814554703e+27,2.797904993982842e+26,3.267259531163551e+26,2.797904993982842e+26,4.974605996253101e+27,2.8655824739750525e+26,300,300,low_variance
vuamc,deepseek,ppi,200.0,2.211000191216361e+28,1.2736280085900335e+27,1.487848539460161e+27,1.2736280085900335e+27,2.235935000405238e+28,1.2879862883216224e+27,300,300,low_variance
vuamc,deepseek,ppipp,20.0,1.6950426554169922e+25,9.74604167718084e+23,1.5365465330640282e+24,9.74604167718084e+23,1.6726274875109443e+25,9.617019156180931e+23,300,300,low_variance
vuamc,deepseek,ppipp,26.0,5.293569229246312e+25,3.0301344377210085e+24,6.904571332349025e+24,3.0301344377210085e+24,5.420266126962365e+25,3.102570722089746e+24,300,300,low_variance
vuamc,deepseek,ppipp,33.0,1.653819391729089e+26,9.492325879297147e+24,1.7886045537217891e+25,9.492325879297147e+24,1.6559262245270297e+26,9.503824100927149e+24,300,300,low_variance
vuamc,deepseek,ppipp,43.0,1.539965,0.088198,0.194544,0.088198,1.559645,0.083935,300,300,low_variance
vuamc,deepseek,ppipp,56.0,1.8937230199017564e+25,1.0898390696565261e+24,1.5145719810038627e+24,1.0898390696565261e+24,1.954875790180211e+25,1.1250532758552612e+24,300,300,low_variance
vuamc,deepseek,ppipp,72.0,0.711633,0.040926,0.062812,0.040926,0.718401,0.034011,300,300,low_variance
vuamc,deepseek,ppipp,93.0,7.314698822180494e+27,4.216079731652876e+26,4.2288763075565725e+26,4.216079731652876e+26,7.437031129149316e+27,4.286590486397081e+26,300,300,low_variance
vuamc,deepseek,ppipp,120.0,0.531973,0.029703,0.1353,0.029703,0.540566,0.024272,300,300,low_variance
vuamc,deepseek,ppipp,155.0,0.34855,0.019848,0.057504,0.019848,0.351988,0.013743,300,300,low_variance
vuamc,deepseek,ppipp,200.0,0.305294,0.01726,0.061924,0.01726,0.309228,0.012406,300,300,low_variance
