dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,,0.565056,0.0,0.136418,0.0,300,300,full_logistic
vuamc,gpt54,expert_only,20.0,42.462858,2.321509,14.465134,3.924738,300,300,full_logistic
vuamc,gpt54,expert_only,26.0,478.9945,27.328788,-18.8622,29.022579,300,300,full_logistic
vuamc,gpt54,expert_only,33.0,183.496198,10.386074,5.65455,5.737301,300,300,full_logistic
vuamc,gpt54,expert_only,43.0,711.182681,40.807604,-1.903915,28.153287,300,300,full_logistic
vuamc,gpt54,expert_only,56.0,332.605529,19.016114,97.389384,83.300947,300,300,full_logistic
vuamc,gpt54,expert_only,72.0,106.563847,6.00303,1.427452,10.588122,300,300,full_logistic
vuamc,gpt54,expert_only,93.0,137.496887,7.892673,13.629053,8.659385,300,300,full_logistic
vuamc,gpt54,expert_only,120.0,19.045125,1.085949,3.672985,2.324652,300,300,full_logistic
vuamc,gpt54,expert_only,155.0,0.974123,0.035989,0.271936,0.060793,300,300,full_logistic
vuamc,gpt54,expert_only,200.0,9.182494,0.526511,1.549725,1.401337,300,300,full_logistic
vuamc,gpt54,dsl,20.0,38.449373,4.225599,18.186187,10.734401,300,55,full_logistic
vuamc,gpt54,dsl,26.0,27.710985,4.019565,14.471745,8.302434,300,34,full_logistic
vuamc,gpt54,dsl,33.0,12.727677,1.181628,0.463905,1.783493,300,101,full_logistic
vuamc,gpt54,dsl,43.0,11.269421,0.870275,-1.149414,1.00657,300,148,full_logistic
vuamc,gpt54,dsl,56.0,14.249397,1.133857,2.011882,1.735072,300,138,full_logistic
vuamc,gpt54,dsl,72.0,8.596407,0.661603,0.874752,1.010672,300,153,full_logistic
vuamc,gpt54,dsl,93.0,11.011325,0.812574,1.199476,1.011487,300,164,full_logistic
vuamc,gpt54,dsl,120.0,9.949741,0.687175,-0.669259,1.10365,300,176,full_logistic
vuamc,gpt54,dsl,155.0,9.356233,0.646473,1.372496,0.669779,300,183,full_logistic
vuamc,gpt54,dsl,200.0,3.825527,0.232862,-0.018097,0.266552,300,218,full_logistic
vuamc,gpt54,ppi,20.0,3.0808842791094125e+67,1.7757823109947885e+66,2.937348039457941e+66,2.9324483729287237e+66,300,300,full_logistic
vuamc,gpt54,ppi,26.0,7.518825803416462e+53,4.3271582352184684e+52,8.120139384824644e+52,6.221366713885332e+52,300,300,full_logistic
vuamc,gpt54,ppi,33.0,1.2675180183437246e+54,7.302060613196863e+52,-6.189475162354781e+52,3.910886875624032e+52,300,300,full_logistic
vuamc,gpt54,ppi,43.0,6.4696071522291254e+53,3.7199230156281196e+52,6.258536147545656e+52,3.916673292151652e+52,300,300,full_logistic
vuamc,gpt54,ppi,56.0,4.151359054868806e+56,2.3926037590208742e+55,-2.700972508452297e+55,2.5964502299529496e+55,300,300,full_logistic
vuamc,gpt54,ppi,72.0,1.957850481525602e+51,1.1284787922302564e+50,-1.899782015531325e+50,1.8952273531002355e+50,300,300,full_logistic
vuamc,gpt54,ppi,93.0,8.186175457103247e+52,4.7174014889785723e+51,-1.2921628331804998e+52,1.3502598260468798e+52,300,300,full_logistic
vuamc,gpt54,ppi,120.0,3.537152610788484e+51,2.037146091714307e+50,6.1559279353997524e+50,6.604020266103346e+50,300,300,full_logistic
vuamc,gpt54,ppi,155.0,2.9824776997523725e+40,1.7115360480523445e+39,-1.0144869788927114e+39,3.271630195431729e+39,300,300,full_logistic
vuamc,gpt54,ppi,200.0,6.171029915887756e+54,3.5569020798719533e+53,-8.358901605514796e+53,8.344876244651858e+53,300,300,full_logistic
vuamc,gpt54,ppipp,20.0,1.6655177917379703e+53,9.589021033420452e+51,3.447373455637886e+51,1.2016558064987105e+52,300,300,full_logistic
vuamc,gpt54,ppipp,26.0,2.3546960960243353e+54,1.3558364099553225e+53,-1.7184519182785023e+53,2.6644590216433696e+53,300,300,full_logistic
vuamc,gpt54,ppipp,33.0,1.196542183459895e+53,6.877403198383292e+51,1.7008746054585183e+52,1.0311989684152878e+52,300,300,full_logistic
vuamc,gpt54,ppipp,43.0,1.7572570142903883e+52,1.0128387190555643e+51,4.8076058904968585e+51,4.8134816184982805e+51,300,300,full_logistic
vuamc,gpt54,ppipp,56.0,3.4774888149020843e+40,2.0008836718711378e+39,1.8421014548922653e+39,2.59725879106708e+39,300,300,full_logistic
vuamc,gpt54,ppipp,72.0,1.136499662568475e+43,6.55063183960994e+41,-2.7490652575732538e+41,2.744809918270052e+41,300,300,full_logistic
vuamc,gpt54,ppipp,93.0,8.436588282162044e+38,4.852814023955785e+37,-1.3048402653035916e+37,1.1101350457981395e+37,300,300,full_logistic
vuamc,gpt54,ppipp,120.0,4.278685139963435e+36,2.458438101793522e+35,1.672941855859123e+35,1.4088661749432598e+35,300,300,full_logistic
vuamc,gpt54,ppipp,155.0,3.9976366431246375e+35,2.3010931193847766e+34,3.1298638080635116e+33,7.322191014481979e+33,300,300,full_logistic
vuamc,gpt54,ppipp,200.0,5.634604397302118e+37,3.247713939151491e+36,-1.7382615396945864e+36,1.7353620190539747e+36,300,300,full_logistic
