dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.590558,0.0,-0.590558,0.0,0.64097,0.0,300,300,high_variance
vuamc,llama,expert_only,20.0,12.479446,0.619035,6.385539,0.619035,12.813529,0.628927,300,300,high_variance
vuamc,llama,expert_only,26.0,10.534683,0.542617,4.759149,0.542617,11.153884,0.570361,300,300,high_variance
vuamc,llama,expert_only,33.0,8.6249,0.45136,3.642955,0.45136,8.835674,0.4575,300,300,high_variance
vuamc,llama,expert_only,43.0,9.172316,0.499069,3.067649,0.499069,9.339424,0.503693,300,300,high_variance
vuamc,llama,expert_only,56.0,6.450103,0.358167,1.765987,0.358167,6.53521,0.3595,300,300,high_variance
vuamc,llama,expert_only,72.0,3.441966,0.193305,0.798171,0.193305,3.481892,0.192678,300,300,high_variance
vuamc,llama,expert_only,93.0,1.331388,0.075074,0.285953,0.075074,1.35443,0.073826,300,300,high_variance
vuamc,llama,expert_only,120.0,0.44812,0.024554,0.141232,0.024554,0.458991,0.019659,300,300,high_variance
vuamc,llama,expert_only,155.0,0.324014,0.017828,0.098177,0.017828,0.332407,0.013272,300,300,high_variance
vuamc,llama,expert_only,200.0,0.280787,0.015677,0.071476,0.015677,0.288043,0.01127,300,300,high_variance
vuamc,llama,dsl,20.0,38.313894,1.589712,26.642057,1.589712,40.645395,1.662919,300,300,high_variance
vuamc,llama,dsl,26.0,39.086917,1.545812,28.476774,1.545812,40.898879,1.596414,300,300,high_variance
vuamc,llama,dsl,33.0,30.462098,1.383792,18.800944,1.383792,31.278862,1.407175,300,300,high_variance
vuamc,llama,dsl,43.0,25.539602,1.244137,13.707948,1.244137,26.183328,1.265177,300,300,high_variance
vuamc,llama,dsl,56.0,26.172102,1.250323,14.696488,1.250323,26.64798,1.260605,300,300,high_variance
vuamc,llama,dsl,72.0,21.560259,1.08103,10.689096,1.08103,21.909522,1.089718,300,300,high_variance
vuamc,llama,dsl,93.0,21.236848,1.073964,10.246167,1.073964,21.66569,1.087918,300,300,high_variance
vuamc,llama,dsl,120.0,20.529107,1.049224,9.548973,1.049224,20.75768,1.053862,300,300,high_variance
vuamc,llama,dsl,155.0,16.590518,0.866583,7.067906,0.866583,16.783245,0.87113,300,300,high_variance
vuamc,llama,dsl,200.0,12.600056,0.6912,3.928658,0.6912,12.727318,0.694418,300,300,high_variance
vuamc,llama,ppi,20.0,2.8035714810745665e+28,1.6124472413655327e+27,2.450606678614271e+27,1.6124472413655327e+27,2.9389359890374396e+28,1.6903141215858673e+27,300,300,high_variance
vuamc,llama,ppi,26.0,3.994885070833721e+35,2.2996198478983737e+34,3.071683489972991e+34,2.2996198478983737e+34,4.7946444063135196e+35,2.760081330031334e+34,300,300,high_variance
vuamc,llama,ppi,33.0,7.194535126812263e+27,4.1378718644755456e+26,6.287964618861579e+26,4.1378718644755456e+26,7.258595061231371e+27,4.17448859180805e+26,300,300,high_variance
vuamc,llama,ppi,43.0,2.0435512994903e+27,1.1686389051874071e+26,2.809826355766988e+26,1.1686389051874071e+26,2.0760380277563413e+27,1.1870866853446777e+26,300,300,high_variance
vuamc,llama,ppi,56.0,1.3749450225336704e+29,7.924370214142686e+27,8.126817499096203e+27,7.924370214142686e+27,1.4089394847640833e+29,8.120300631758505e+27,300,300,high_variance
vuamc,llama,ppi,72.0,1.5772454652270684e+28,9.082532437003424e+26,1.1371628512561431e+27,9.082532437003424e+26,1.5840084517173658e+28,9.121387969056613e+26,300,300,high_variance
vuamc,llama,ppi,93.0,1.4308365716438578e+27,8.16400431922803e+25,2.185504496045026e+26,8.16400431922803e+25,1.4669097524792272e+27,8.369784699371177e+25,300,300,high_variance
vuamc,llama,ppi,120.0,3.3506579837298353e+28,1.9269381281904927e+27,2.960359341526768e+27,1.9269381281904927e+27,3.3847164719957064e+28,1.9465202854279972e+27,300,300,high_variance
vuamc,llama,ppi,155.0,1.052111984122536e+28,6.0490963968320795e+26,9.587810276206798e+26,6.0490963968320795e+26,1.0642833143085123e+28,6.119073625604612e+26,300,300,high_variance
vuamc,llama,ppi,200.0,8.200147768442515e+28,4.725812294734863e+27,4.924610533749924e+27,4.725812294734863e+27,8.38285612369009e+28,4.831113135438731e+27,300,300,high_variance
vuamc,llama,ppipp,20.0,7.167121592689038e+30,4.1309312197089334e+29,4.1695766990381296e+29,4.1309312197089334e+29,7.487969471178896e+30,4.315860545675231e+29,300,300,high_variance
vuamc,llama,ppipp,26.0,1.814199488004166e+28,1.0445103609262896e+27,1.3532959775110296e+27,1.0445103609262896e+27,1.8711264004626595e+28,1.0772912569224963e+27,300,300,high_variance
vuamc,llama,ppipp,33.0,8.616455296798842e+28,4.96337156624099e+27,5.814894393058325e+27,4.96337156624099e+27,8.866219702376914e+28,5.107309538238672e+27,300,300,high_variance
vuamc,llama,ppipp,43.0,8.027877442809366e+27,4.616025767128193e+26,7.23695093525711e+26,4.616025767128193e+26,8.127732507078088e+27,4.67341663097705e+26,300,300,high_variance
vuamc,llama,ppipp,56.0,2.7752453967613964e+29,1.598023508001908e+28,2.0236011431392724e+28,1.598023508001908e+28,2.8475856317653742e+29,1.6396968881671573e+28,300,300,high_variance
vuamc,llama,ppipp,72.0,7.005794364994846e+28,4.0241039255088595e+27,7.077552364384716e+27,4.0241039255088595e+27,7.053538345216389e+28,4.0515180620962214e+27,300,300,high_variance
vuamc,llama,ppipp,93.0,6.758603771675202e+27,3.8772299842022555e+26,7.61569360801246e+26,3.8772299842022555e+26,6.825634270009896e+27,3.915697185448947e+26,300,300,high_variance
vuamc,llama,ppipp,120.0,7.655967571354798e+25,4.377527496092518e+24,1.0609422776466975e+25,4.377527496092518e+24,7.664325068522068e+25,4.3821256440497074e+24,300,300,high_variance
vuamc,llama,ppipp,155.0,4.845872911263211e+25,2.790623367081538e+24,3.460461550286119e+24,2.790623367081538e+24,4.886048525476199e+25,2.813741529227355e+24,300,300,high_variance
vuamc,llama,ppipp,200.0,2.374739955146033e+26,1.3684892350101608e+25,1.452635382706076e+25,1.3684892350101608e+25,2.3867518423401223e+26,1.375406906952409e+25,300,300,high_variance
