dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.833899,0.0,-0.833899,0.0,0.894117,0.0,300,300,low_variance
vuamc,llama,expert_only,20.0,25.194721,1.447828,2.431488,1.447828,25.094318,1.440383,300,300,low_variance
vuamc,llama,expert_only,26.0,1.191038,0.065846,0.343339,0.065846,1.167356,0.05804,300,300,low_variance
vuamc,llama,expert_only,33.0,0.579235,0.031497,0.19469,0.031497,0.571444,0.022822,300,300,low_variance
vuamc,llama,expert_only,43.0,0.46459,0.026297,0.091525,0.026297,0.462505,0.018331,300,300,low_variance
vuamc,llama,expert_only,56.0,0.409113,0.022776,0.10842,0.022776,0.405043,0.01626,300,300,low_variance
vuamc,llama,expert_only,72.0,0.336149,0.019293,0.03648,0.019293,0.332204,0.012714,300,300,low_variance
vuamc,llama,expert_only,93.0,0.306054,0.017378,0.055395,0.017378,0.302234,0.011827,300,300,low_variance
vuamc,llama,expert_only,120.0,0.27507,0.015431,0.065028,0.015431,0.272822,0.009812,300,300,low_variance
vuamc,llama,expert_only,155.0,0.203642,0.011624,0.030631,0.011624,0.20193,0.007276,300,300,low_variance
vuamc,llama,expert_only,200.0,0.162644,0.009081,0.041423,0.009081,0.161362,0.005692,300,300,low_variance
vuamc,llama,dsl,20.0,1.596185,0.113134,-0.027597,0.113134,1.647619,0.095741,300,199,low_variance
vuamc,llama,dsl,26.0,1.355668,0.100361,0.068357,0.100361,1.402771,0.078549,300,182,low_variance
vuamc,llama,dsl,33.0,1.512088,0.106102,-0.111253,0.106102,1.539574,0.086616,300,202,low_variance
vuamc,llama,dsl,43.0,1.433673,0.095577,0.006016,0.095577,1.452841,0.076886,300,225,low_variance
vuamc,llama,dsl,56.0,1.310253,0.085541,-0.108794,0.085541,1.340353,0.071497,300,233,low_variance
vuamc,llama,dsl,72.0,1.098539,0.071599,-0.045621,0.071599,1.121242,0.055832,300,235,low_variance
vuamc,llama,dsl,93.0,1.668966,0.108881,0.216594,0.108881,1.70905,0.095855,300,231,low_variance
vuamc,llama,dsl,120.0,1.646173,0.106467,0.283047,0.106467,1.678143,0.094683,300,232,low_variance
vuamc,llama,dsl,155.0,1.417174,0.090484,0.208401,0.090484,1.447087,0.079472,300,240,low_variance
vuamc,llama,dsl,200.0,1.562277,0.096011,0.284338,0.096011,1.595604,0.084753,300,256,low_variance
vuamc,llama,ppi,20.0,1.809107326196152e+48,1.042746334331904e+47,1.0444886025574164e+47,1.042746334331904e+47,1.911040989523147e+48,1.1014995947052912e+47,300,300,low_variance
vuamc,llama,ppi,26.0,1.030747727934503e+41,5.933257697965218e+39,7.95893920584499e+39,5.933257697965218e+39,1.0893171180479562e+41,6.27044087516663e+39,300,300,low_variance
vuamc,llama,ppi,33.0,2.38044843311132e+40,1.3663617148516102e+39,2.5632349729480514e+39,1.3663617148516102e+39,2.4946705433332823e+40,1.4319077563164163e+39,300,300,low_variance
vuamc,llama,ppi,43.0,7.056764751240872e+38,4.0478566384995703e+37,8.015601392413018e+37,4.0478566384995703e+37,7.307766067099643e+38,4.1918888379393144e+37,300,300,low_variance
vuamc,llama,ppi,56.0,1.7607704025038735e+41,1.0148664712874024e+40,1.0222791548114298e+40,1.0148664712874024e+40,1.799087665963815e+41,1.0369512650127089e+40,300,300,low_variance
vuamc,llama,ppi,72.0,1.4949351618771098e+39,8.606369042364929e+37,1.1288709144635175e+38,8.606369042364929e+37,1.5926003781784427e+39,9.1689891414349e+37,300,300,low_variance
vuamc,llama,ppi,93.0,1.0550363698406636e+39,6.070540005968882e+37,8.693711960091967e+37,6.070540005968882e+37,1.0791993862483592e+39,6.20951292118325e+37,300,300,low_variance
vuamc,llama,ppi,120.0,4.0159971630995315e+38,2.3145173502096166e+37,2.392937959067092e+37,2.3145173502096166e+37,4.11831171342813e+38,2.373484151067959e+37,300,300,low_variance
vuamc,llama,ppi,155.0,1.4923953552919894e+40,8.600334404026716e+38,9.09469112424266e+38,8.600334404026716e+38,1.5384681525592954e+40,8.865860346932891e+38,300,300,low_variance
