dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,,0.142318,0.0,-0.142318,0.0,0.141433,0.0,300,300,low_variance
vuamc,claude,expert_only,20.0,0.657608,0.036973,0.149478,0.036973,0.648161,0.025503,300,300,low_variance
vuamc,claude,expert_only,26.0,0.569411,0.031944,0.134547,0.031944,0.561605,0.02173,300,300,low_variance
vuamc,claude,expert_only,33.0,0.454336,0.025551,0.102787,0.025551,0.446825,0.016268,300,300,low_variance
vuamc,claude,expert_only,43.0,0.387649,0.0223,0.03291,0.0223,0.38529,0.014001,300,300,low_variance
vuamc,claude,expert_only,56.0,0.353085,0.020045,0.064265,0.020045,0.349204,0.013174,300,300,low_variance
vuamc,claude,expert_only,72.0,0.306909,0.017714,0.007319,0.017714,0.302756,0.010966,300,300,low_variance
vuamc,claude,expert_only,93.0,0.28486,0.016335,0.033066,0.016335,0.281146,0.010693,300,300,low_variance
vuamc,claude,expert_only,120.0,0.261283,0.014828,0.048073,0.014828,0.25903,0.009142,300,300,low_variance
vuamc,claude,expert_only,155.0,0.196461,0.01129,0.018947,0.01129,0.19473,0.006919,300,300,low_variance
vuamc,claude,expert_only,200.0,0.15728,0.008886,0.032382,0.008886,0.155993,0.005447,300,300,low_variance
vuamc,claude,dsl,20.0,0.806419,0.004357,-0.802881,0.004357,0.80647,0.003698,300,300,low_variance
vuamc,claude,dsl,26.0,0.781768,0.003728,-0.779097,0.003728,0.785138,0.003123,300,300,low_variance
vuamc,claude,dsl,33.0,0.789341,0.001821,-0.78871,0.001821,0.791711,0.001301,300,300,low_variance
vuamc,claude,dsl,43.0,0.795184,0.001322,-0.794854,0.001322,0.795609,0.000892,300,300,low_variance
vuamc,claude,dsl,56.0,0.794781,0.001148,-0.794532,0.001148,0.793656,0.000663,300,300,low_variance
vuamc,claude,dsl,72.0,0.795667,0.001089,-0.795443,0.001089,0.794767,0.000677,300,300,low_variance
vuamc,claude,dsl,93.0,0.794935,0.000912,-0.794778,0.000912,0.79456,0.000528,300,300,low_variance
vuamc,claude,dsl,120.0,0.793902,0.000769,-0.79379,0.000769,0.79363,0.000452,300,300,low_variance
vuamc,claude,dsl,155.0,0.793946,0.000632,-0.79387,0.000632,0.79341,0.000408,300,300,low_variance
vuamc,claude,dsl,200.0,0.794627,0.000566,-0.794566,0.000566,0.793802,0.00033,300,300,low_variance
vuamc,claude,ppi,20.0,0.503946,0.010278,-0.471458,0.010278,0.509295,0.006256,300,300,low_variance
vuamc,claude,ppi,26.0,0.497456,0.008911,-0.472908,0.008911,0.501515,0.007,300,300,low_variance
vuamc,claude,ppi,33.0,0.49031,0.007304,-0.473709,0.007304,0.493839,0.005824,300,300,low_variance
vuamc,claude,ppi,43.0,0.497873,0.005874,-0.487367,0.005874,0.499805,0.005609,300,300,low_variance
vuamc,claude,ppi,56.0,0.484865,0.005318,-0.476036,0.005318,0.484784,0.005165,300,300,low_variance
vuamc,claude,ppi,72.0,0.497977,0.004559,-0.491678,0.004559,0.498412,0.004454,300,300,low_variance
vuamc,claude,ppi,93.0,0.501827,0.003471,-0.498213,0.003471,0.502463,0.003319,300,300,low_variance
vuamc,claude,ppi,120.0,0.493406,0.003165,-0.490351,0.003165,0.493777,0.003026,300,300,low_variance
vuamc,claude,ppi,155.0,0.48858,0.003197,-0.485433,0.003197,0.488831,0.003164,300,300,low_variance
vuamc,claude,ppi,200.0,0.496669,0.002559,-0.494688,0.002559,0.496456,0.002476,300,300,low_variance
vuamc,claude,ppipp,20.0,0.499517,0.006788,-0.485482,0.006788,0.501909,0.005802,300,300,low_variance
vuamc,claude,ppipp,26.0,0.498706,0.006213,-0.486956,0.006213,0.502142,0.0054,300,300,low_variance
vuamc,claude,ppipp,33.0,0.49371,0.005273,-0.485188,0.005273,0.497108,0.004529,300,300,low_variance
vuamc,claude,ppipp,43.0,0.509856,0.004309,-0.504364,0.004309,0.511234,0.003833,300,300,low_variance
vuamc,claude,ppipp,56.0,0.496103,0.003749,-0.491835,0.003749,0.497371,0.003372,300,300,low_variance
vuamc,claude,ppipp,72.0,0.509858,0.003573,-0.506089,0.003573,0.50898,0.003134,300,300,low_variance
vuamc,claude,ppipp,93.0,0.50339,0.003266,-0.500202,0.003266,0.50374,0.002882,300,300,low_variance
vuamc,claude,ppipp,120.0,0.494923,0.003033,-0.492127,0.003033,0.495665,0.002739,300,300,low_variance
vuamc,claude,ppipp,155.0,0.496658,0.002453,-0.494838,0.002453,0.496802,0.002208,300,300,low_variance
vuamc,claude,ppipp,200.0,0.492855,0.001974,-0.491668,0.001974,0.492907,0.001766,300,300,low_variance
