dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.351857,0.0,-0.351857,0.0,0.410084,0.0,301,301,high_variance
vuamc,llama,expert_only,20.0,0.215465,0.012147,0.044894,0.012147,0.194292,0.006291,301,301,high_variance
vuamc,llama,expert_only,26.0,0.196564,0.011167,0.033192,0.011167,0.172996,0.005555,301,301,high_variance
vuamc,llama,expert_only,33.0,0.159324,0.008775,0.047004,0.008775,0.143067,0.004327,301,301,high_variance
vuamc,llama,expert_only,43.0,0.125344,0.007209,0.008183,0.007209,0.111753,0.003127,301,301,high_variance
vuamc,llama,expert_only,56.0,0.11785,0.006663,0.022902,0.006663,0.103168,0.003183,301,301,high_variance
vuamc,llama,expert_only,72.0,0.105238,0.006024,0.012412,0.006024,0.094057,0.002817,301,301,high_variance
vuamc,llama,expert_only,93.0,0.088382,0.005067,0.009095,0.005067,0.080758,0.002259,301,301,high_variance
vuamc,llama,expert_only,120.0,0.075727,0.004348,0.006711,0.004348,0.068255,0.001947,301,301,high_variance
vuamc,llama,expert_only,155.0,0.061883,0.003565,0.001845,0.003565,0.053878,0.00156,301,301,high_variance
vuamc,llama,expert_only,200.0,0.052958,0.003027,0.006795,0.003027,0.049447,0.001424,301,301,high_variance
vuamc,llama,dsl,20.0,0.211958,0.012202,0.010384,0.012202,0.236235,0.006203,301,301,high_variance
vuamc,llama,dsl,26.0,0.203642,0.011323,0.053644,0.011323,0.212328,0.005825,301,301,high_variance
vuamc,llama,dsl,33.0,0.129618,0.00744,0.011833,0.00744,0.142794,0.004287,301,301,high_variance
vuamc,llama,dsl,43.0,0.102805,0.005925,0.000617,0.005925,0.11553,0.003282,301,301,high_variance
vuamc,llama,dsl,56.0,0.096263,0.005546,-0.00267,0.005546,0.10649,0.002996,301,301,high_variance
vuamc,llama,dsl,72.0,0.077655,0.004476,-0.000169,0.004476,0.087592,0.002471,301,301,high_variance
vuamc,llama,dsl,93.0,0.070533,0.004064,0.001999,0.004064,0.082646,0.002405,301,301,high_variance
vuamc,llama,dsl,120.0,0.064144,0.003696,-0.001697,0.003696,0.069801,0.001934,301,301,high_variance
vuamc,llama,dsl,155.0,0.050925,0.002934,0.001727,0.002934,0.058733,0.001572,301,301,high_variance
vuamc,llama,dsl,200.0,0.040433,0.002323,-0.003293,0.002323,0.049527,0.001349,301,301,high_variance
vuamc,llama,ppi,20.0,0.174805,0.010073,-0.003588,0.010073,0.19514,0.006476,301,301,high_variance
vuamc,llama,ppi,26.0,0.155836,0.008968,0.008719,0.008968,0.170714,0.005347,301,301,high_variance
vuamc,llama,ppi,33.0,0.147073,0.008477,-0.001383,0.008477,0.155837,0.004833,301,301,high_variance
vuamc,llama,ppi,43.0,0.117605,0.006746,-0.011575,0.006746,0.129369,0.004167,301,301,high_variance
vuamc,llama,ppi,56.0,0.104748,0.006031,-0.004966,0.006031,0.115164,0.003379,301,301,high_variance
vuamc,llama,ppi,72.0,0.088085,0.005072,0.003931,0.005072,0.095168,0.003126,301,301,high_variance
vuamc,llama,ppi,93.0,0.084635,0.004877,0.001944,0.004877,0.091778,0.003049,301,301,high_variance
vuamc,llama,ppi,120.0,0.070026,0.004036,0.000157,0.004036,0.076563,0.002453,301,301,high_variance
vuamc,llama,ppi,155.0,0.058489,0.003369,0.002263,0.003369,0.06345,0.00197,301,301,high_variance
vuamc,llama,ppi,200.0,0.050414,0.002905,-0.001238,0.002905,0.057108,0.001819,301,301,high_variance
vuamc,llama,ppipp,20.0,0.183739,0.010491,0.025173,0.010491,0.171669,0.005171,301,301,high_variance
vuamc,llama,ppipp,26.0,0.170767,0.009762,0.021857,0.009762,0.153322,0.004706,301,301,high_variance
vuamc,llama,ppipp,33.0,0.139464,0.007828,0.031745,0.007828,0.128934,0.0039,301,301,high_variance
vuamc,llama,ppipp,43.0,0.109844,0.006331,0.001228,0.006331,0.100175,0.002738,301,301,high_variance
vuamc,llama,ppipp,56.0,0.102205,0.005826,0.01511,0.005826,0.092025,0.00276,301,301,high_variance
vuamc,llama,ppipp,72.0,0.092362,0.005292,0.010086,0.005292,0.083183,0.002437,301,301,high_variance
vuamc,llama,ppipp,93.0,0.076832,0.004416,0.00583,0.004416,0.072695,0.002017,301,301,high_variance
vuamc,llama,ppipp,120.0,0.066107,0.003802,0.004381,0.003802,0.060545,0.001646,301,301,high_variance
vuamc,llama,ppipp,155.0,0.054198,0.003123,0.001406,0.003123,0.048193,0.001337,301,301,high_variance
vuamc,llama,ppipp,200.0,0.046949,0.002691,0.004963,0.002691,0.043932,0.00125,301,301,high_variance
