dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
vuamc,llama,llm_only,,0.297582,0.0,-0.297582,0.0,0.440179,0.0,301,301,low_variance
vuamc,llama,expert_only,20.0,0.847085,0.043681,0.37846,0.043681,0.446559,0.017009,301,301,low_variance
vuamc,llama,expert_only,26.0,0.846507,0.043175,0.394315,0.043175,0.43185,0.016685,301,301,low_variance
vuamc,llama,expert_only,33.0,0.613251,0.030263,0.316855,0.030263,0.323413,0.010332,301,301,low_variance
vuamc,llama,expert_only,43.0,0.51456,0.025551,0.261269,0.025551,0.273086,0.009121,301,301,low_variance
vuamc,llama,expert_only,56.0,0.402808,0.019746,0.211873,0.019746,0.225814,0.006529,301,301,low_variance
vuamc,llama,expert_only,72.0,0.357148,0.018676,0.150237,0.018676,0.198891,0.005749,301,301,low_variance
vuamc,llama,expert_only,93.0,0.324269,0.017477,0.114927,0.017477,0.181276,0.005156,301,301,low_variance
vuamc,llama,expert_only,120.0,0.309861,0.016867,0.10188,0.016867,0.164243,0.004514,301,301,low_variance
vuamc,llama,expert_only,155.0,0.29649,0.016479,0.078556,0.016479,0.152238,0.003808,301,301,low_variance
vuamc,llama,expert_only,200.0,0.268267,0.0147,0.083232,0.0147,0.137579,0.003123,301,301,low_variance
vuamc,llama,dsl,20.0,0.411779,0.023731,-0.006779,0.023731,0.295244,0.007843,301,301,low_variance
vuamc,llama,dsl,26.0,0.443776,0.02524,0.071968,0.02524,0.27807,0.008451,301,301,low_variance
vuamc,llama,dsl,33.0,0.464253,0.026602,0.050217,0.026602,0.252541,0.008366,301,301,low_variance
vuamc,llama,dsl,43.0,0.313062,0.018043,0.003698,0.018043,0.182479,0.005362,301,301,low_variance
vuamc,llama,dsl,56.0,0.287209,0.016514,-0.019951,0.016514,0.167408,0.004715,301,301,low_variance
vuamc,llama,dsl,72.0,0.251847,0.014511,-0.006839,0.014511,0.142759,0.00424,301,301,low_variance
vuamc,llama,dsl,93.0,0.226266,0.013022,0.012335,0.013022,0.132374,0.003836,301,301,low_variance
vuamc,llama,dsl,120.0,0.19436,0.011126,0.022733,0.011126,0.111104,0.003178,301,301,low_variance
vuamc,llama,dsl,155.0,0.168494,0.009674,0.014759,0.009674,0.096743,0.002683,301,301,low_variance
vuamc,llama,dsl,200.0,0.143804,0.008284,-0.004804,0.008284,0.082791,0.002134,301,301,low_variance
vuamc,llama,ppi,20.0,0.728123,0.041934,-0.029654,0.041934,0.382105,0.012943,301,301,low_variance
vuamc,llama,ppi,26.0,0.708512,0.040751,0.046281,0.040751,0.361726,0.012902,301,301,low_variance
vuamc,llama,ppi,33.0,0.657353,0.037803,0.044235,0.037803,0.332761,0.011274,301,301,low_variance
vuamc,llama,ppi,43.0,0.449152,0.025889,-0.000886,0.025889,0.239759,0.007461,301,301,low_variance
vuamc,llama,ppi,56.0,0.423523,0.024359,-0.02778,0.024359,0.222569,0.006603,301,301,low_variance
vuamc,llama,ppi,72.0,0.37478,0.021601,-0.003243,0.021601,0.193158,0.006298,301,301,low_variance
vuamc,llama,ppi,93.0,0.329982,0.01898,0.021391,0.01898,0.174024,0.005262,301,301,low_variance
vuamc,llama,ppi,120.0,0.284439,0.016287,0.032612,0.016287,0.148977,0.004316,301,301,low_variance
vuamc,llama,ppi,155.0,0.249465,0.01432,0.022642,0.01432,0.128685,0.00381,301,301,low_variance
vuamc,llama,ppi,200.0,0.206883,0.011919,-0.00639,0.011919,0.109728,0.002946,301,301,low_variance
vuamc,llama,ppipp,20.0,0.338577,0.019103,0.069191,0.019103,0.243783,0.006752,301,301,low_variance
vuamc,llama,ppipp,26.0,0.318158,0.017621,0.088114,0.017621,0.221438,0.00644,301,301,low_variance
vuamc,llama,ppipp,33.0,0.296358,0.016466,0.078864,0.016466,0.197501,0.005745,301,301,low_variance
vuamc,llama,ppipp,43.0,0.269595,0.01469,0.087927,0.01469,0.171773,0.004992,301,301,low_variance
vuamc,llama,ppipp,56.0,0.246287,0.013364,0.083059,0.013364,0.160577,0.004573,301,301,low_variance
vuamc,llama,ppipp,72.0,0.22616,0.01267,0.053185,0.01267,0.142383,0.004002,301,301,low_variance
vuamc,llama,ppipp,93.0,0.214157,0.012056,0.045941,0.012056,0.13552,0.003843,301,301,low_variance
vuamc,llama,ppipp,120.0,0.208518,0.011689,0.048497,0.011689,0.120689,0.003227,301,301,low_variance
vuamc,llama,ppipp,155.0,0.196376,0.011118,0.036835,0.011118,0.109262,0.002638,301,301,low_variance
vuamc,llama,ppipp,200.0,0.176012,0.009838,0.042983,0.009838,0.097045,0.002201,301,301,low_variance
