dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,claude,llm_only,100,,0.302212,0.0,0.302212,0.0,300,300,high_variance
cuad,claude,expert_only,100,129.0,0.85962,0.048703,0.165363,0.048703,300,300,high_variance
cuad,claude,expert_only,100,167.0,1.015607,0.058279,0.11189,0.058279,300,300,high_variance
cuad,claude,expert_only,100,215.0,0.844595,0.047494,0.191437,0.047494,300,300,high_variance
cuad,claude,expert_only,100,278.0,0.925975,0.051142,0.269786,0.051142,300,300,high_variance
cuad,claude,expert_only,100,359.0,1.002653,0.055001,0.312673,0.055001,300,300,high_variance
cuad,claude,expert_only,100,463.0,0.9871,0.055784,0.201985,0.055784,300,300,high_variance
cuad,claude,expert_only,100,598.0,0.946626,0.053756,0.17087,0.053756,300,300,high_variance
cuad,claude,expert_only,100,772.0,0.900211,0.050443,0.216838,0.050443,300,300,high_variance
cuad,claude,expert_only,100,997.0,0.997814,0.055431,0.27179,0.055431,300,300,high_variance
cuad,claude,dsl,100,129.0,0.561876,0.032268,-0.057693,0.032268,300,300,high_variance
cuad,claude,dsl,100,167.0,0.599087,0.033507,-0.148633,0.033507,300,300,high_variance
cuad,claude,dsl,100,215.0,0.4538,0.025865,-0.072399,0.025865,300,300,high_variance
cuad,claude,dsl,100,278.0,0.412325,0.023614,-0.052173,0.023614,300,300,high_variance
cuad,claude,dsl,100,359.0,0.42696,0.024416,-0.058738,0.024416,300,300,high_variance
cuad,claude,dsl,100,463.0,0.391926,0.02199,-0.092368,0.02199,300,300,high_variance
cuad,claude,dsl,100,598.0,0.349973,0.019236,-0.107132,0.019236,300,300,high_variance
cuad,claude,dsl,100,772.0,0.311564,0.017254,-0.088086,0.017254,300,300,high_variance
cuad,claude,dsl,100,997.0,0.307471,0.017104,-0.082334,0.017104,300,300,high_variance
cuad,claude,ppi,100,129.0,1.985505,0.112247,0.403015,0.112247,300,300,high_variance
cuad,claude,ppi,100,167.0,1.115321,0.064373,0.028049,0.064373,300,300,high_variance
cuad,claude,ppi,100,215.0,0.838875,0.048037,0.106981,0.048037,300,300,high_variance
cuad,claude,ppi,100,278.0,0.653756,0.037589,0.059239,0.037589,300,300,high_variance
cuad,claude,ppi,100,359.0,0.63239,0.036396,0.050214,0.036396,300,300,high_variance
cuad,claude,ppi,100,463.0,0.510203,0.029432,0.020809,0.029432,300,300,high_variance
cuad,claude,ppi,100,598.0,0.442197,0.02553,0.001157,0.02553,300,300,high_variance
cuad,claude,ppi,100,772.0,0.396918,0.022916,-0.000916,0.022916,300,300,high_variance
cuad,claude,ppi,100,997.0,0.355727,0.020537,0.00345,0.020537,300,300,high_variance
cuad,claude,ppipp,100,129.0,0.685406,0.039392,0.065206,0.039392,300,300,high_variance
cuad,claude,ppipp,100,167.0,0.742837,0.042875,-0.018405,0.042875,300,300,high_variance
cuad,claude,ppipp,100,215.0,0.590564,0.033906,0.062353,0.033906,300,300,high_variance
cuad,claude,ppipp,100,278.0,0.560135,0.031864,0.095726,0.031864,300,300,high_variance
cuad,claude,ppipp,100,359.0,0.588527,0.033401,0.108087,0.033401,300,300,high_variance
cuad,claude,ppipp,100,463.0,0.557927,0.032142,0.036847,0.032142,300,300,high_variance
cuad,claude,ppipp,100,598.0,0.511081,0.029504,0.007264,0.029504,300,300,high_variance
cuad,claude,ppipp,100,772.0,0.468343,0.026914,0.04512,0.026914,300,300,high_variance
cuad,claude,ppipp,100,997.0,0.496021,0.02842,0.06102,0.02842,300,300,high_variance
