dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,100,,0.013081,0.0,-0.013081,0.0,300,300,low_variance
cuad,deepseek,expert_only,100,129.0,0.323818,0.018405,0.056915,0.018405,300,300,low_variance
cuad,deepseek,expert_only,100,167.0,0.313364,0.017964,0.037149,0.017964,300,300,low_variance
cuad,deepseek,expert_only,100,215.0,0.307832,0.017625,0.03954,0.017625,300,300,low_variance
cuad,deepseek,expert_only,100,278.0,0.313469,0.017929,0.042698,0.017929,300,300,low_variance
cuad,deepseek,expert_only,100,359.0,0.326088,0.018602,0.050221,0.018602,300,300,low_variance
cuad,deepseek,expert_only,100,463.0,0.325284,0.018509,0.055055,0.018509,300,300,low_variance
cuad,deepseek,expert_only,100,598.0,0.314916,0.01798,0.046758,0.01798,300,300,low_variance
cuad,deepseek,expert_only,100,772.0,0.319926,0.018426,0.022333,0.018426,300,300,low_variance
cuad,deepseek,expert_only,100,997.0,0.325028,0.018388,0.064885,0.018388,300,300,low_variance
cuad,deepseek,dsl,100,129.0,0.229349,0.010741,-0.134131,0.010741,300,300,low_variance
cuad,deepseek,dsl,100,167.0,0.231391,0.010144,-0.15058,0.010144,300,300,low_variance
cuad,deepseek,dsl,100,215.0,0.212941,0.00926,-0.140061,0.00926,300,300,low_variance
cuad,deepseek,dsl,100,278.0,0.211948,0.008263,-0.156329,0.008263,300,300,low_variance
cuad,deepseek,dsl,100,359.0,0.209726,0.008463,-0.150001,0.008463,300,300,low_variance
cuad,deepseek,dsl,100,463.0,0.19884,0.007786,-0.146117,0.007786,300,300,low_variance
cuad,deepseek,dsl,100,598.0,0.182365,0.006474,-0.143816,0.006474,300,300,low_variance
cuad,deepseek,dsl,100,772.0,0.191873,0.006474,-0.155693,0.006474,300,300,low_variance
cuad,deepseek,dsl,100,997.0,0.172659,0.005788,-0.140573,0.005788,300,300,low_variance
cuad,deepseek,ppi,100,129.0,0.773902,0.043993,0.135334,0.043993,300,300,low_variance
cuad,deepseek,ppi,100,167.0,0.456703,0.026367,0.003263,0.026367,300,300,low_variance
cuad,deepseek,ppi,100,215.0,0.342327,0.01976,0.007484,0.01976,300,300,low_variance
cuad,deepseek,ppi,100,278.0,0.261536,0.014737,-0.056993,0.014737,300,300,low_variance
cuad,deepseek,ppi,100,359.0,0.252516,0.014353,-0.044319,0.014353,300,300,low_variance
cuad,deepseek,ppi,100,463.0,0.220273,0.012419,-0.047443,0.012419,300,300,low_variance
cuad,deepseek,ppi,100,598.0,0.180461,0.010164,-0.039674,0.010164,300,300,low_variance
cuad,deepseek,ppi,100,772.0,0.180511,0.009981,-0.051939,0.009981,300,300,low_variance
cuad,deepseek,ppi,100,997.0,0.150009,0.008291,-0.043365,0.008291,300,300,low_variance
cuad,deepseek,ppipp,100,129.0,0.258641,0.01489,-0.019421,0.01489,300,300,low_variance
cuad,deepseek,ppipp,100,167.0,0.23791,0.013494,-0.044482,0.013494,300,300,low_variance
cuad,deepseek,ppipp,100,215.0,0.221061,0.012584,-0.036878,0.012584,300,300,low_variance
cuad,deepseek,ppipp,100,278.0,0.217075,0.01224,-0.046655,0.01224,300,300,low_variance
cuad,deepseek,ppipp,100,359.0,0.214826,0.012164,-0.041958,0.012164,300,300,low_variance
cuad,deepseek,ppipp,100,463.0,0.206876,0.011735,-0.038503,0.011735,300,300,low_variance
cuad,deepseek,ppipp,100,598.0,0.184736,0.010368,-0.043346,0.010368,300,300,low_variance
cuad,deepseek,ppipp,100,772.0,0.192108,0.010484,-0.062707,0.010484,300,300,low_variance
cuad,deepseek,ppipp,100,997.0,0.184882,0.010521,-0.031217,0.010521,300,300,low_variance
