dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,100,,0.040816,0.0,-0.040816,0.0,300,300,prevalence
cuad,gpt54,expert_only,100,129.0,0.091411,0.00527,0.004935,0.00527,300,300,prevalence
cuad,gpt54,expert_only,100,167.0,0.102716,0.005928,-0.002729,0.005928,300,300,prevalence
cuad,gpt54,expert_only,100,215.0,0.097724,0.005635,0.004867,0.005635,300,300,prevalence
cuad,gpt54,expert_only,100,278.0,0.09403,0.005429,0.00012,0.005429,300,300,prevalence
cuad,gpt54,expert_only,100,359.0,0.095758,0.005526,-0.002797,0.005526,300,300,prevalence
cuad,gpt54,expert_only,100,463.0,0.100385,0.005782,-0.006866,0.005782,300,300,prevalence
cuad,gpt54,expert_only,100,598.0,0.093146,0.00537,0.005139,0.00537,300,300,prevalence
cuad,gpt54,expert_only,100,772.0,0.105814,0.006109,-0.001169,0.006109,300,300,prevalence
cuad,gpt54,expert_only,100,997.0,0.097897,0.005652,-8.4e-05,0.005652,300,300,prevalence
cuad,gpt54,dsl,100,129.0,0.081964,0.004721,0.005592,0.004721,300,300,prevalence
cuad,gpt54,dsl,100,167.0,0.085362,0.004928,0.000723,0.004928,300,300,prevalence
cuad,gpt54,dsl,100,215.0,0.071139,0.004107,0.001254,0.004107,300,300,prevalence
cuad,gpt54,dsl,100,278.0,0.06214,0.003585,-0.002432,0.003585,300,300,prevalence
cuad,gpt54,dsl,100,359.0,0.057732,0.003328,-0.003241,0.003328,300,300,prevalence
cuad,gpt54,dsl,100,463.0,0.056245,0.003247,-0.001154,0.003247,300,300,prevalence
cuad,gpt54,dsl,100,598.0,0.048683,0.002811,-0.000381,0.002811,300,300,prevalence
cuad,gpt54,dsl,100,772.0,0.044939,0.002572,-0.005882,0.002572,300,300,prevalence
cuad,gpt54,dsl,100,997.0,0.04472,0.002579,-0.002062,0.002579,300,300,prevalence
cuad,gpt54,ppi,100,129.0,0.082419,0.004748,0.005506,0.004748,300,300,prevalence
cuad,gpt54,ppi,100,167.0,0.085892,0.004959,0.000413,0.004959,300,300,prevalence
cuad,gpt54,ppi,100,215.0,0.071395,0.004122,0.000647,0.004122,300,300,prevalence
cuad,gpt54,ppi,100,278.0,0.062501,0.003605,-0.002828,0.003605,300,300,prevalence
cuad,gpt54,ppi,100,359.0,0.058149,0.003349,-0.004008,0.003349,300,300,prevalence
cuad,gpt54,ppi,100,463.0,0.056688,0.003271,-0.001825,0.003271,300,300,prevalence
cuad,gpt54,ppi,100,598.0,0.048817,0.002818,-0.000786,0.002818,300,300,prevalence
cuad,gpt54,ppi,100,772.0,0.045752,0.002613,-0.006729,0.002613,300,300,prevalence
cuad,gpt54,ppi,100,997.0,0.045009,0.002592,-0.00318,0.002592,300,300,prevalence
cuad,gpt54,ppipp,100,129.0,0.084146,0.004849,0.005306,0.004849,300,300,prevalence
cuad,gpt54,ppipp,100,167.0,0.089793,0.005184,-0.000979,0.005184,300,300,prevalence
cuad,gpt54,ppipp,100,215.0,0.078719,0.004542,0.002906,0.004542,300,300,prevalence
cuad,gpt54,ppipp,100,278.0,0.070943,0.004095,-0.001121,0.004095,300,300,prevalence
cuad,gpt54,ppipp,100,359.0,0.069312,0.003998,-0.003088,0.003998,300,300,prevalence
cuad,gpt54,ppipp,100,463.0,0.07093,0.004089,-0.003992,0.004089,300,300,prevalence
cuad,gpt54,ppipp,100,598.0,0.062684,0.003616,0.002398,0.003616,300,300,prevalence
cuad,gpt54,ppipp,100,772.0,0.066879,0.003855,-0.003663,0.003855,300,300,prevalence
cuad,gpt54,ppipp,100,997.0,0.063571,0.003669,-0.001402,0.003669,300,300,prevalence
