dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,50,,0.005573,0.0,-0.005573,0.0,300,300,low_variance
cuad,gpt54,expert_only,50,70.0,0.518848,0.029141,0.120155,0.029141,300,300,low_variance
cuad,gpt54,expert_only,50,97.0,0.494853,0.027721,0.119772,0.027721,300,300,low_variance
cuad,gpt54,expert_only,50,136.0,0.51558,0.029647,0.04625,0.029647,300,300,low_variance
cuad,gpt54,expert_only,50,189.0,0.535774,0.029925,0.135656,0.029925,300,300,low_variance
cuad,gpt54,expert_only,50,264.0,0.51406,0.029097,0.101307,0.029097,300,300,low_variance
cuad,gpt54,expert_only,50,368.0,0.504224,0.028338,0.115421,0.028338,300,300,low_variance
cuad,gpt54,expert_only,50,513.0,0.545943,0.030892,0.108432,0.030892,300,300,low_variance
cuad,gpt54,expert_only,50,715.0,0.499888,0.028158,0.109678,0.028158,300,300,low_variance
cuad,gpt54,expert_only,50,997.0,0.573005,0.031845,0.155276,0.031845,300,300,low_variance
cuad,gpt54,dsl,50,70.0,0.316825,0.016969,-0.118281,0.016969,300,300,low_variance
cuad,gpt54,dsl,50,97.0,0.274529,0.014021,-0.128022,0.014021,300,300,low_variance
cuad,gpt54,dsl,50,136.0,0.277978,0.013477,-0.150953,0.013477,300,300,low_variance
cuad,gpt54,dsl,50,189.0,0.237997,0.011563,-0.128575,0.011563,300,300,low_variance
cuad,gpt54,dsl,50,264.0,0.226546,0.010139,-0.143115,0.010139,300,300,low_variance
cuad,gpt54,dsl,50,368.0,0.207315,0.009137,-0.133921,0.009137,300,300,low_variance
cuad,gpt54,dsl,50,513.0,0.228424,0.009158,-0.164367,0.009158,300,300,low_variance
cuad,gpt54,dsl,50,715.0,0.201945,0.008356,-0.140832,0.008356,300,300,low_variance
cuad,gpt54,dsl,50,997.0,0.189036,0.008229,-0.124172,0.008229,300,300,low_variance
cuad,gpt54,ppi,50,70.0,1.174506,0.065921,0.275268,0.065921,300,300,low_variance
cuad,gpt54,ppi,50,97.0,0.533625,0.030641,0.055552,0.030641,300,300,low_variance
cuad,gpt54,ppi,50,136.0,0.410542,0.023642,0.02925,0.023642,300,300,low_variance
cuad,gpt54,ppi,50,189.0,0.326023,0.018819,-0.007003,0.018819,300,300,low_variance
cuad,gpt54,ppi,50,264.0,0.279919,0.016101,-0.02404,0.016101,300,300,low_variance
cuad,gpt54,ppi,50,368.0,0.238492,0.01374,-0.0155,0.01374,300,300,low_variance
cuad,gpt54,ppi,50,513.0,0.239956,0.013312,-0.066454,0.013312,300,300,low_variance
cuad,gpt54,ppi,50,715.0,0.204808,0.011613,-0.038599,0.011613,300,300,low_variance
cuad,gpt54,ppi,50,997.0,0.203467,0.011708,-0.016635,0.011708,300,300,low_variance
cuad,gpt54,ppipp,50,70.0,0.402557,0.023212,0.020488,0.023212,300,300,low_variance
cuad,gpt54,ppipp,50,97.0,0.345305,0.019933,0.005973,0.019933,300,300,low_variance
cuad,gpt54,ppipp,50,136.0,0.352955,0.020237,-0.041474,0.020237,300,300,low_variance
cuad,gpt54,ppipp,50,189.0,0.319065,0.018418,0.006035,0.018418,300,300,low_variance
cuad,gpt54,ppipp,50,264.0,0.289445,0.016643,-0.026068,0.016643,300,300,low_variance
cuad,gpt54,ppipp,50,368.0,0.277505,0.016009,-0.011186,0.016009,300,300,low_variance
cuad,gpt54,ppipp,50,513.0,0.282131,0.016149,-0.036893,0.016149,300,300,low_variance
cuad,gpt54,ppipp,50,715.0,0.264444,0.015228,-0.018975,0.015228,300,300,low_variance
cuad,gpt54,ppipp,50,997.0,0.286432,0.01653,0.008183,0.01653,300,300,low_variance
