dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,llama,llm_only,50,,0.251859,0.0,0.251859,0.0,300,300,high_variance
cuad,llama,expert_only,50,70.0,1.101395,0.061781,0.260776,0.061781,300,300,high_variance
cuad,llama,expert_only,50,97.0,1.065872,0.060329,0.210286,0.060329,300,300,high_variance
cuad,llama,expert_only,50,136.0,1.221064,0.067383,0.358959,0.067383,300,300,high_variance
cuad,llama,expert_only,50,189.0,1.075271,0.060446,0.245107,0.060446,300,300,high_variance
cuad,llama,expert_only,50,264.0,1.064214,0.059445,0.269173,0.059445,300,300,high_variance
cuad,llama,expert_only,50,368.0,1.417713,0.078794,0.383899,0.078794,300,300,high_variance
cuad,llama,expert_only,50,513.0,1.077211,0.060657,0.23792,0.060657,300,300,high_variance
cuad,llama,expert_only,50,715.0,1.017417,0.056517,0.277289,0.056517,300,300,high_variance
cuad,llama,expert_only,50,997.0,0.96507,0.054722,0.181713,0.054722,300,300,high_variance
cuad,llama,dsl,50,70.0,0.691951,0.039813,-0.057259,0.039813,300,300,high_variance
cuad,llama,dsl,50,97.0,0.583881,0.033103,-0.110382,0.033103,300,300,high_variance
cuad,llama,dsl,50,136.0,0.539872,0.030547,-0.107367,0.030547,300,300,high_variance
cuad,llama,dsl,50,189.0,0.516599,0.028675,-0.142126,0.028675,300,300,high_variance
cuad,llama,dsl,50,264.0,0.483503,0.027003,-0.122554,0.027003,300,300,high_variance
cuad,llama,dsl,50,368.0,0.491013,0.027528,-0.117308,0.027528,300,300,high_variance
cuad,llama,dsl,50,513.0,0.500794,0.026855,-0.185582,0.026855,300,300,high_variance
cuad,llama,dsl,50,715.0,0.478939,0.02715,-0.090814,0.02715,300,300,high_variance
cuad,llama,dsl,50,997.0,0.448857,0.024695,-0.136063,0.024695,300,300,high_variance
cuad,llama,ppi,50,70.0,2.626136,0.15038,0.335227,0.15038,300,300,high_variance
cuad,llama,ppi,50,97.0,1.895435,0.108376,0.262749,0.108376,300,300,high_variance
cuad,llama,ppi,50,136.0,0.967832,0.05571,0.075023,0.05571,300,300,high_variance
cuad,llama,ppi,50,189.0,0.924549,0.053318,0.044172,0.053318,300,300,high_variance
cuad,llama,ppi,50,264.0,0.743474,0.042844,0.045644,0.042844,300,300,high_variance
cuad,llama,ppi,50,368.0,0.811269,0.046698,0.06291,0.046698,300,300,high_variance
cuad,llama,ppi,50,513.0,0.755315,0.043568,-0.032356,0.043568,300,300,high_variance
cuad,llama,ppi,50,715.0,0.814314,0.046598,0.108085,0.046598,300,300,high_variance
cuad,llama,ppi,50,997.0,0.770277,0.044355,0.055836,0.044355,300,300,high_variance
cuad,llama,ppipp,50,70.0,0.835265,0.047853,0.10347,0.047853,300,300,high_variance
cuad,llama,ppipp,50,97.0,0.712996,0.041059,0.050998,0.041059,300,300,high_variance
cuad,llama,ppipp,50,136.0,0.700942,0.040078,0.097161,0.040078,300,300,high_variance
cuad,llama,ppipp,50,189.0,0.62169,0.035857,0.027805,0.035857,300,300,high_variance
cuad,llama,ppipp,50,264.0,0.624844,0.035918,0.058302,0.035918,300,300,high_variance
cuad,llama,ppipp,50,368.0,0.706885,0.040581,0.075063,0.040581,300,300,high_variance
cuad,llama,ppipp,50,513.0,0.627284,0.036212,-0.00902,0.036212,300,300,high_variance
cuad,llama,ppipp,50,715.0,0.574441,0.032968,0.062552,0.032968,300,300,high_variance
cuad,llama,ppipp,50,997.0,0.524241,0.030261,-0.010484,0.030261,300,300,high_variance
