dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,claude,llm_only,200,,0.123303,0.0,-0.123303,0.0,300,300,low_variance
fomc,claude,expert_only,200,239.0,0.277208,0.015868,0.036103,0.015868,300,300,low_variance
fomc,claude,expert_only,200,286.0,0.264284,0.015078,0.040502,0.015078,300,300,low_variance
fomc,claude,expert_only,200,342.0,0.295452,0.016895,0.040715,0.016895,300,300,low_variance
fomc,claude,expert_only,200,408.0,0.27447,0.015715,0.035287,0.015715,300,300,low_variance
fomc,claude,expert_only,200,488.0,0.290288,0.016597,0.040395,0.016597,300,300,low_variance
fomc,claude,expert_only,200,584.0,0.259552,0.014974,0.010095,0.014974,300,300,low_variance
fomc,claude,expert_only,200,698.0,0.292394,0.016765,0.03427,0.016765,300,300,low_variance
fomc,claude,expert_only,200,834.0,0.303346,0.016904,0.079375,0.016904,300,300,low_variance
fomc,claude,expert_only,200,997.0,0.275877,0.015926,0.003865,0.015926,300,300,low_variance
fomc,claude,dsl,200,239.0,0.224899,0.010449,-0.13352,0.010449,300,300,low_variance
fomc,claude,dsl,200,286.0,0.217793,0.010059,-0.130691,0.010059,300,300,low_variance
fomc,claude,dsl,200,342.0,0.232937,0.010508,-0.145375,0.010508,300,300,low_variance
fomc,claude,dsl,200,408.0,0.229851,0.010425,-0.142213,0.010425,300,300,low_variance
fomc,claude,dsl,200,488.0,0.226469,0.01026,-0.140394,0.01026,300,300,low_variance
fomc,claude,dsl,200,584.0,0.233093,0.01032,-0.149611,0.01032,300,300,low_variance
fomc,claude,dsl,200,698.0,0.222437,0.010083,-0.137766,0.010083,300,300,low_variance
fomc,claude,dsl,200,834.0,0.215495,0.010506,-0.115435,0.010506,300,300,low_variance
fomc,claude,dsl,200,997.0,0.237261,0.009785,-0.166043,0.009785,300,300,low_variance
fomc,claude,ppi,200,239.0,0.852186,0.047583,0.216738,0.047583,300,300,low_variance
fomc,claude,ppi,200,286.0,0.536234,0.03092,0.027218,0.03092,300,300,low_variance
fomc,claude,ppi,200,342.0,0.39048,0.022446,-0.036356,0.022446,300,300,low_variance
fomc,claude,ppi,200,408.0,0.406228,0.023454,-0.000583,0.023454,300,300,low_variance
fomc,claude,ppi,200,488.0,0.356512,0.02056,-0.017044,0.02056,300,300,low_variance
fomc,claude,ppi,200,584.0,0.307183,0.017575,-0.041193,0.017575,300,300,low_variance
fomc,claude,ppi,200,698.0,0.277314,0.015919,-0.029594,0.015919,300,300,low_variance
fomc,claude,ppi,200,834.0,0.297189,0.017116,-0.020957,0.017116,300,300,low_variance
fomc,claude,ppi,200,997.0,0.266765,0.015024,-0.05873,0.015024,300,300,low_variance
fomc,claude,ppipp,200,239.0,0.237161,0.013573,-0.03131,0.013573,300,300,low_variance
fomc,claude,ppipp,200,286.0,0.221746,0.012677,-0.031008,0.012677,300,300,low_variance
fomc,claude,ppipp,200,342.0,0.241731,0.013802,-0.035845,0.013802,300,300,low_variance
fomc,claude,ppipp,200,408.0,0.228508,0.013024,-0.036471,0.013024,300,300,low_variance
fomc,claude,ppipp,200,488.0,0.226403,0.012906,-0.035897,0.012906,300,300,low_variance
fomc,claude,ppipp,200,584.0,0.216977,0.012084,-0.057208,0.012084,300,300,low_variance
fomc,claude,ppipp,200,698.0,0.228656,0.01302,-0.037821,0.01302,300,300,low_variance
fomc,claude,ppipp,200,834.0,0.225926,0.01304,-0.005676,0.01304,300,300,low_variance
fomc,claude,ppipp,200,997.0,0.219343,0.012053,-0.067323,0.012053,300,300,low_variance
