dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
fomc,claude,llm_only,200,,0.168724,0.0,-0.168724,0.0,300,300,prevalence
fomc,claude,expert_only,200,239.0,0.06659,0.003842,-0.002214,0.003842,300,300,prevalence
fomc,claude,expert_only,200,286.0,0.064648,0.003732,0.000624,0.003732,300,300,prevalence
fomc,claude,expert_only,200,342.0,0.065353,0.003758,-0.005804,0.003758,300,300,prevalence
fomc,claude,expert_only,200,408.0,0.068879,0.003958,0.00671,0.003958,300,300,prevalence
fomc,claude,expert_only,200,488.0,0.059506,0.003435,-0.00047,0.003435,300,300,prevalence
fomc,claude,expert_only,200,584.0,0.067553,0.003896,0.003018,0.003896,300,300,prevalence
fomc,claude,expert_only,200,698.0,0.06841,0.003949,-0.000846,0.003949,300,300,prevalence
fomc,claude,expert_only,200,834.0,0.06611,0.003816,-0.001325,0.003816,300,300,prevalence
fomc,claude,expert_only,200,997.0,0.064227,0.003704,0.00312,0.003704,300,300,prevalence
fomc,claude,dsl,200,239.0,0.064077,0.003699,0.00023,0.003699,300,300,prevalence
fomc,claude,dsl,200,286.0,0.060058,0.003467,0.001223,0.003467,300,300,prevalence
fomc,claude,dsl,200,342.0,0.057801,0.003327,-0.00454,0.003327,300,300,prevalence
fomc,claude,dsl,200,408.0,0.06129,0.003529,0.004604,0.003529,300,300,prevalence
fomc,claude,dsl,200,488.0,0.053713,0.003098,-0.002281,0.003098,300,300,prevalence
fomc,claude,dsl,200,584.0,0.05802,0.003346,0.00279,0.003346,300,300,prevalence
fomc,claude,dsl,200,698.0,0.055266,0.003184,-0.003564,0.003184,300,300,prevalence
fomc,claude,dsl,200,834.0,0.049306,0.002841,-0.003065,0.002841,300,300,prevalence
fomc,claude,dsl,200,997.0,0.051046,0.002947,0.00094,0.002947,300,300,prevalence
fomc,claude,ppi,200,239.0,0.064048,0.003698,-3e-05,0.003698,300,300,prevalence
fomc,claude,ppi,200,286.0,0.060086,0.003469,0.000808,0.003469,300,300,prevalence
fomc,claude,ppi,200,342.0,0.057635,0.003315,-0.005065,0.003315,300,300,prevalence
fomc,claude,ppi,200,408.0,0.060959,0.003513,0.003818,0.003513,300,300,prevalence
fomc,claude,ppi,200,488.0,0.053466,0.003082,-0.002865,0.003082,300,300,prevalence
fomc,claude,ppi,200,584.0,0.058077,0.003351,0.001856,0.003351,300,300,prevalence
fomc,claude,ppi,200,698.0,0.055308,0.003183,-0.004436,0.003183,300,300,prevalence
fomc,claude,ppi,200,834.0,0.049317,0.002836,-0.004325,0.002836,300,300,prevalence
fomc,claude,ppi,200,997.0,0.050652,0.002924,-0.000127,0.002924,300,300,prevalence
fomc,claude,ppipp,200,239.0,0.064777,0.003739,-0.001091,0.003739,300,300,prevalence
fomc,claude,ppipp,200,286.0,0.061174,0.003532,0.00082,0.003532,300,300,prevalence
fomc,claude,ppipp,200,342.0,0.060165,0.00346,-0.005307,0.00346,300,300,prevalence
fomc,claude,ppipp,200,408.0,0.063189,0.003635,0.005471,0.003635,300,300,prevalence
fomc,claude,ppipp,200,488.0,0.054142,0.003125,-0.001445,0.003125,300,300,prevalence
fomc,claude,ppipp,200,584.0,0.060227,0.003474,0.002683,0.003474,300,300,prevalence
fomc,claude,ppipp,200,698.0,0.058846,0.003395,-0.002276,0.003395,300,300,prevalence
fomc,claude,ppipp,200,834.0,0.054577,0.003148,-0.002463,0.003148,300,300,prevalence
fomc,claude,ppipp,200,997.0,0.05456,0.003148,0.001803,0.003148,300,300,prevalence
