dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,100,,0.061151,0.0,-0.061151,0.0,300,300,low_variance
fomc,deepseek,expert_only,100,129.0,0.589645,0.033944,0.045072,0.033944,300,300,low_variance
fomc,deepseek,expert_only,100,167.0,0.67902,0.038966,0.074619,0.038966,300,300,low_variance
fomc,deepseek,expert_only,100,215.0,0.584383,0.033106,0.112717,0.033106,300,300,low_variance
fomc,deepseek,expert_only,100,278.0,0.632765,0.035873,0.119747,0.035873,300,300,low_variance
fomc,deepseek,expert_only,100,359.0,0.529594,0.030127,0.090407,0.030127,300,300,low_variance
fomc,deepseek,expert_only,100,463.0,0.487085,0.028012,0.042966,0.028012,300,300,low_variance
fomc,deepseek,expert_only,100,598.0,0.601637,0.034425,0.080241,0.034425,300,300,low_variance
fomc,deepseek,expert_only,100,772.0,0.562194,0.032188,0.072384,0.032188,300,300,low_variance
fomc,deepseek,expert_only,100,997.0,0.488956,0.027825,0.082497,0.027825,300,300,low_variance
fomc,deepseek,dsl,100,129.0,0.3248,0.016026,-0.168665,0.016026,300,300,low_variance
fomc,deepseek,dsl,100,167.0,0.332859,0.016758,-0.162934,0.016758,300,300,low_variance
fomc,deepseek,dsl,100,215.0,0.324017,0.016966,-0.1365,0.016966,300,300,low_variance
fomc,deepseek,dsl,100,278.0,0.304251,0.01563,-0.138843,0.01563,300,300,low_variance
fomc,deepseek,dsl,100,359.0,0.30829,0.015506,-0.151363,0.015506,300,300,low_variance
fomc,deepseek,dsl,100,463.0,0.324328,0.01597,-0.169335,0.01597,300,300,low_variance
fomc,deepseek,dsl,100,598.0,0.304803,0.015098,-0.156584,0.015098,300,300,low_variance
fomc,deepseek,dsl,100,772.0,0.310652,0.015234,-0.163951,0.015234,300,300,low_variance
fomc,deepseek,dsl,100,997.0,0.289973,0.01447,-0.145829,0.01447,300,300,low_variance
fomc,deepseek,ppi,100,129.0,3.622766,0.199663,1.079276,0.199663,300,300,low_variance
fomc,deepseek,ppi,100,167.0,1.723812,0.096274,0.436928,0.096274,300,300,low_variance
fomc,deepseek,ppi,100,215.0,1.240582,0.070715,0.197077,0.070715,300,300,low_variance
fomc,deepseek,ppi,100,278.0,1.262826,0.072609,0.114518,0.072609,300,300,low_variance
fomc,deepseek,ppi,100,359.0,0.806696,0.04647,0.053966,0.04647,300,300,low_variance
fomc,deepseek,ppi,100,463.0,1.108491,0.063707,0.105787,0.063707,300,300,low_variance
fomc,deepseek,ppi,100,598.0,0.932686,0.053515,0.103625,0.053515,300,300,low_variance
fomc,deepseek,ppi,100,772.0,0.980587,0.056595,0.025539,0.056595,300,300,low_variance
fomc,deepseek,ppi,100,997.0,0.871778,0.050181,0.067493,0.050181,300,300,low_variance
fomc,deepseek,ppipp,100,129.0,0.377391,0.021562,-0.054302,0.021562,300,300,low_variance
fomc,deepseek,ppipp,100,167.0,0.417728,0.024026,-0.036293,0.024026,300,300,low_variance
fomc,deepseek,ppipp,100,215.0,0.400489,0.023122,-4.3e-05,0.023122,300,300,low_variance
fomc,deepseek,ppipp,100,278.0,0.363875,0.021006,-0.005426,0.021006,300,300,low_variance
fomc,deepseek,ppipp,100,359.0,0.374085,0.021568,-0.019741,0.021568,300,300,low_variance
fomc,deepseek,ppipp,100,463.0,0.351486,0.019995,-0.060049,0.019995,300,300,low_variance
fomc,deepseek,ppipp,100,598.0,0.368081,0.021178,-0.030492,0.021178,300,300,low_variance
fomc,deepseek,ppipp,100,772.0,0.361526,0.020754,-0.038557,0.020754,300,300,low_variance
fomc,deepseek,ppipp,100,997.0,0.339202,0.019556,-0.018045,0.019556,300,300,low_variance
