dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,mistral,llm_only,100,,0.145463,0.0,0.145463,0.0,300,300,low_variance
fomc,mistral,expert_only,100,129.0,0.589645,0.033944,0.045072,0.033944,300,300,low_variance
fomc,mistral,expert_only,100,167.0,0.67902,0.038966,0.074619,0.038966,300,300,low_variance
fomc,mistral,expert_only,100,215.0,0.584383,0.033106,0.112717,0.033106,300,300,low_variance
fomc,mistral,expert_only,100,278.0,0.632765,0.035873,0.119747,0.035873,300,300,low_variance
fomc,mistral,expert_only,100,359.0,0.529594,0.030127,0.090407,0.030127,300,300,low_variance
fomc,mistral,expert_only,100,463.0,0.487085,0.028012,0.042966,0.028012,300,300,low_variance
fomc,mistral,expert_only,100,598.0,0.601637,0.034425,0.080241,0.034425,300,300,low_variance
fomc,mistral,expert_only,100,772.0,0.562194,0.032188,0.072384,0.032188,300,300,low_variance
fomc,mistral,expert_only,100,997.0,0.488956,0.027825,0.082497,0.027825,300,300,low_variance
fomc,mistral,dsl,100,129.0,0.335147,0.01655,-0.17364,0.01655,300,300,low_variance
fomc,mistral,dsl,100,167.0,0.35327,0.017831,-0.17151,0.017831,300,300,low_variance
fomc,mistral,dsl,100,215.0,0.339007,0.018097,-0.129137,0.018097,300,300,low_variance
fomc,mistral,dsl,100,278.0,0.314366,0.017038,-0.108328,0.017038,300,300,low_variance
fomc,mistral,dsl,100,359.0,0.329965,0.017586,-0.126859,0.017586,300,300,low_variance
fomc,mistral,dsl,100,463.0,0.337055,0.016916,-0.166622,0.016916,300,300,low_variance
fomc,mistral,dsl,100,598.0,0.324253,0.016678,-0.147302,0.016678,300,300,low_variance
fomc,mistral,dsl,100,772.0,0.336809,0.017253,-0.15538,0.017253,300,300,low_variance
fomc,mistral,dsl,100,997.0,0.317773,0.016556,-0.13692,0.016556,300,300,low_variance
fomc,mistral,ppi,100,129.0,1.741244,0.099091,-0.293648,0.099091,300,300,low_variance
fomc,mistral,ppi,100,167.0,0.679598,0.039226,-0.015661,0.039226,300,300,low_variance
fomc,mistral,ppi,100,215.0,0.630941,0.036298,0.053106,0.036298,300,300,low_variance
fomc,mistral,ppi,100,278.0,0.472272,0.027263,0.007575,0.027263,300,300,low_variance
fomc,mistral,ppi,100,359.0,0.472079,0.02723,0.02059,0.02723,300,300,low_variance
fomc,mistral,ppi,100,463.0,0.398817,0.022831,-0.051812,0.022831,300,300,low_variance
fomc,mistral,ppi,100,598.0,0.457712,0.026417,0.012205,0.026417,300,300,low_variance
fomc,mistral,ppi,100,772.0,0.449225,0.025936,-0.001409,0.025936,300,300,low_variance
fomc,mistral,ppi,100,997.0,0.428051,0.024568,0.046457,0.024568,300,300,low_variance
fomc,mistral,ppipp,100,129.0,0.381529,0.021804,-0.054198,0.021804,300,300,low_variance
fomc,mistral,ppipp,100,167.0,0.424454,0.024406,-0.038291,0.024406,300,300,low_variance
fomc,mistral,ppipp,100,215.0,0.408986,0.023604,0.011353,0.023604,300,300,low_variance
fomc,mistral,ppipp,100,278.0,0.369254,0.021315,0.006672,0.021315,300,300,low_variance
fomc,mistral,ppipp,100,359.0,0.390843,0.022565,0.000732,0.022565,300,300,low_variance
fomc,mistral,ppipp,100,463.0,0.362469,0.020774,-0.0437,0.020774,300,300,low_variance
fomc,mistral,ppipp,100,598.0,0.376827,0.021725,-0.020203,0.021725,300,300,low_variance
fomc,mistral,ppipp,100,772.0,0.383822,0.022134,-0.018478,0.022134,300,300,low_variance
fomc,mistral,ppipp,100,997.0,0.354654,0.020476,0.001164,0.020476,300,300,low_variance
