dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,llama,llm_only,200,,0.446043,0.0,0.446043,0.0,300,300,prevalence
vuamc,llama,expert_only,200,239.0,0.074118,0.004279,0.001304,0.004279,300,300,prevalence
vuamc,llama,expert_only,200,286.0,0.06926,0.003996,0.002658,0.003996,300,300,prevalence
vuamc,llama,expert_only,200,342.0,0.070286,0.004042,0.006285,0.004042,300,300,prevalence
vuamc,llama,expert_only,200,408.0,0.074273,0.004279,0.004731,0.004279,300,300,prevalence
vuamc,llama,expert_only,200,488.0,0.072244,0.004171,-0.000569,0.004171,300,300,prevalence
vuamc,llama,expert_only,200,584.0,0.074439,0.004297,-0.001087,0.004297,300,300,prevalence
vuamc,llama,expert_only,200,698.0,0.08104,0.004674,0.003615,0.004674,300,300,prevalence
vuamc,llama,expert_only,200,834.0,0.071193,0.00411,0.001104,0.00411,300,300,prevalence
vuamc,llama,expert_only,200,997.0,0.077259,0.004402,-0.012444,0.004402,300,300,prevalence
vuamc,llama,dsl,200,239.0,0.069866,0.004033,0.001121,0.004033,300,300,prevalence
vuamc,llama,dsl,200,286.0,0.062324,0.003598,0.001098,0.003598,300,300,prevalence
vuamc,llama,dsl,200,342.0,0.060167,0.003474,9.3e-05,0.003474,300,300,prevalence
vuamc,llama,dsl,200,408.0,0.061413,0.003544,0.001597,0.003544,300,300,prevalence
vuamc,llama,dsl,200,488.0,0.061771,0.003566,-0.000672,0.003566,300,300,prevalence
vuamc,llama,dsl,200,584.0,0.059318,0.003424,-0.000722,0.003424,300,300,prevalence
vuamc,llama,dsl,200,698.0,0.060901,0.003516,-0.000121,0.003516,300,300,prevalence
vuamc,llama,dsl,200,834.0,0.0554,0.003196,0.002067,0.003196,300,300,prevalence
vuamc,llama,dsl,200,997.0,0.056796,0.00325,-0.007545,0.00325,300,300,prevalence
vuamc,llama,ppi,200,239.0,0.069863,0.004033,0.001312,0.004033,300,300,prevalence
vuamc,llama,ppi,200,286.0,0.062437,0.003603,0.00176,0.003603,300,300,prevalence
vuamc,llama,ppi,200,342.0,0.059935,0.00346,0.000648,0.00346,300,300,prevalence
vuamc,llama,ppi,200,408.0,0.061421,0.003543,0.002616,0.003543,300,300,prevalence
vuamc,llama,ppi,200,488.0,0.061758,0.003566,0.00021,0.003566,300,300,prevalence
vuamc,llama,ppi,200,584.0,0.059426,0.003431,0.000554,0.003431,300,300,prevalence
vuamc,llama,ppi,200,698.0,0.06095,0.003518,0.001329,0.003518,300,300,prevalence
vuamc,llama,ppi,200,834.0,0.055432,0.003195,0.00328,0.003195,300,300,prevalence
vuamc,llama,ppi,200,997.0,0.05657,0.003246,-0.006263,0.003246,300,300,prevalence
vuamc,llama,ppipp,200,239.0,0.071301,0.004116,0.001292,0.004116,300,300,prevalence
vuamc,llama,ppipp,200,286.0,0.064311,0.003711,0.002319,0.003711,300,300,prevalence
vuamc,llama,ppipp,200,342.0,0.063311,0.003649,0.003779,0.003649,300,300,prevalence
vuamc,llama,ppipp,200,408.0,0.06557,0.003779,0.003824,0.003779,300,300,prevalence
vuamc,llama,ppipp,200,488.0,0.064513,0.003725,-0.000181,0.003725,300,300,prevalence
vuamc,llama,ppipp,200,584.0,0.064206,0.003707,-0.000252,0.003707,300,300,prevalence
vuamc,llama,ppipp,200,698.0,0.068052,0.003926,0.002665,0.003926,300,300,prevalence
vuamc,llama,ppipp,200,834.0,0.059824,0.003452,0.002193,0.003452,300,300,prevalence
vuamc,llama,ppipp,200,997.0,0.063415,0.00362,-0.0095,0.00362,300,300,prevalence
