dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,200,,0.121429,0.0,0.121429,0.0,300,300,prevalence
vuamc,mistral,expert_only,200,239.0,0.069496,0.004011,-0.001576,0.004011,300,300,prevalence
vuamc,mistral,expert_only,200,286.0,0.078248,0.004503,0.006258,0.004503,300,300,prevalence
vuamc,mistral,expert_only,200,342.0,0.077053,0.004445,-0.00296,0.004445,300,300,prevalence
vuamc,mistral,expert_only,200,408.0,0.067521,0.003897,0.001945,0.003897,300,300,prevalence
vuamc,mistral,expert_only,200,488.0,0.075145,0.004324,-0.006046,0.004324,300,300,prevalence
vuamc,mistral,expert_only,200,584.0,0.07648,0.004413,-0.002446,0.004413,300,300,prevalence
vuamc,mistral,expert_only,200,698.0,0.07199,0.004156,0.001115,0.004156,300,300,prevalence
vuamc,mistral,expert_only,200,834.0,0.074107,0.004275,0.002935,0.004275,300,300,prevalence
vuamc,mistral,expert_only,200,997.0,0.073372,0.004234,0.002539,0.004234,300,300,prevalence
vuamc,mistral,dsl,200,239.0,0.067946,0.00392,-0.002483,0.00392,300,300,prevalence
vuamc,mistral,dsl,200,286.0,0.072571,0.00418,0.005012,0.00418,300,300,prevalence
vuamc,mistral,dsl,200,342.0,0.069976,0.004038,-0.002405,0.004038,300,300,prevalence
vuamc,mistral,dsl,200,408.0,0.062101,0.003583,0.002306,0.003583,300,300,prevalence
vuamc,mistral,dsl,200,488.0,0.068476,0.003946,-0.004188,0.003946,300,300,prevalence
vuamc,mistral,dsl,200,584.0,0.06586,0.003802,-0.001157,0.003802,300,300,prevalence
vuamc,mistral,dsl,200,698.0,0.060785,0.003507,-0.002191,0.003507,300,300,prevalence
vuamc,mistral,dsl,200,834.0,0.064188,0.003705,0.00165,0.003705,300,300,prevalence
vuamc,mistral,dsl,200,997.0,0.064097,0.003701,-0.000285,0.003701,300,300,prevalence
vuamc,mistral,ppi,200,239.0,0.067963,0.003921,-0.002468,0.003921,300,300,prevalence
vuamc,mistral,ppi,200,286.0,0.0727,0.004188,0.004858,0.004188,300,300,prevalence
vuamc,mistral,ppi,200,342.0,0.07,0.004039,-0.002533,0.004039,300,300,prevalence
vuamc,mistral,ppi,200,408.0,0.061872,0.00357,0.002201,0.00357,300,300,prevalence
vuamc,mistral,ppi,200,488.0,0.068274,0.003933,-0.004684,0.003933,300,300,prevalence
vuamc,mistral,ppi,200,584.0,0.065963,0.003808,-0.001413,0.003808,300,300,prevalence
vuamc,mistral,ppi,200,698.0,0.060744,0.003504,-0.002526,0.003504,300,300,prevalence
vuamc,mistral,ppi,200,834.0,0.06414,0.003702,0.001538,0.003702,300,300,prevalence
vuamc,mistral,ppi,200,997.0,0.064006,0.003695,-0.000539,0.003695,300,300,prevalence
vuamc,mistral,ppipp,200,239.0,0.068008,0.003925,-0.001926,0.003925,300,300,prevalence
vuamc,mistral,ppipp,200,286.0,0.074243,0.004274,0.005738,0.004274,300,300,prevalence
vuamc,mistral,ppipp,200,342.0,0.072057,0.004158,-0.002517,0.004158,300,300,prevalence
vuamc,mistral,ppipp,200,408.0,0.062589,0.003611,0.002337,0.003611,300,300,prevalence
vuamc,mistral,ppipp,200,488.0,0.069083,0.003978,-0.004979,0.003978,300,300,prevalence
vuamc,mistral,ppipp,200,584.0,0.068342,0.003945,-0.001502,0.003945,300,300,prevalence
vuamc,mistral,ppipp,200,698.0,0.063183,0.003648,-0.000299,0.003648,300,300,prevalence
vuamc,mistral,ppipp,200,834.0,0.066093,0.003813,0.00266,0.003813,300,300,prevalence
vuamc,mistral,ppipp,200,997.0,0.065385,0.003774,0.001413,0.003774,300,300,prevalence
