dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,200,,0.215818,0.0,0.215818,0.0,300,300,high_variance
cuad,gpt54,expert_only,200,239.0,0.595976,0.033898,0.102338,0.033898,300,300,high_variance
cuad,gpt54,expert_only,200,286.0,0.567452,0.032115,0.112198,0.032115,300,300,high_variance
cuad,gpt54,expert_only,200,342.0,0.529399,0.030292,0.070637,0.030292,300,300,high_variance
cuad,gpt54,expert_only,200,408.0,0.613798,0.034228,0.159001,0.034228,300,300,high_variance
cuad,gpt54,expert_only,200,488.0,0.590115,0.033855,0.06619,0.033855,300,300,high_variance
cuad,gpt54,expert_only,200,584.0,0.560187,0.031702,0.110911,0.031702,300,300,high_variance
cuad,gpt54,expert_only,200,698.0,0.631536,0.036138,0.083957,0.036138,300,300,high_variance
cuad,gpt54,expert_only,200,834.0,0.586855,0.032518,0.164825,0.032518,300,300,high_variance
cuad,gpt54,expert_only,200,997.0,0.546745,0.031129,0.090733,0.031129,300,300,high_variance
cuad,gpt54,dsl,200,239.0,0.413109,0.02327,-0.090648,0.02327,300,300,high_variance
cuad,gpt54,dsl,200,286.0,0.336843,0.01878,-0.087474,0.01878,300,300,high_variance
cuad,gpt54,dsl,200,342.0,0.325593,0.018151,-0.084685,0.018151,300,300,high_variance
cuad,gpt54,dsl,200,408.0,0.314797,0.01758,-0.079892,0.01758,300,300,high_variance
cuad,gpt54,dsl,200,488.0,0.286861,0.015174,-0.114954,0.015174,300,300,high_variance
cuad,gpt54,dsl,200,584.0,0.259256,0.013343,-0.117477,0.013343,300,300,high_variance
cuad,gpt54,dsl,200,698.0,0.244123,0.012523,-0.112024,0.012523,300,300,high_variance
cuad,gpt54,dsl,200,834.0,0.224342,0.010883,-0.121636,0.010883,300,300,high_variance
cuad,gpt54,dsl,200,997.0,0.209808,0.009883,-0.121305,0.009883,300,300,high_variance
cuad,gpt54,ppi,200,239.0,1.716659,0.097567,0.301851,0.097567,300,300,high_variance
cuad,gpt54,ppi,200,286.0,0.88757,0.050923,0.099203,0.050923,300,300,high_variance
cuad,gpt54,ppi,200,342.0,0.674065,0.038372,0.112465,0.038372,300,300,high_variance
cuad,gpt54,ppi,200,408.0,0.547551,0.03159,0.020671,0.03159,300,300,high_variance
cuad,gpt54,ppi,200,488.0,0.428931,0.024763,0.003955,0.024763,300,300,high_variance
cuad,gpt54,ppi,200,584.0,0.376547,0.021608,-0.041432,0.021608,300,300,high_variance
cuad,gpt54,ppi,200,698.0,0.346627,0.020012,-0.002859,0.020012,300,300,high_variance
cuad,gpt54,ppi,200,834.0,0.293169,0.0165,-0.065366,0.0165,300,300,high_variance
cuad,gpt54,ppi,200,997.0,0.246894,0.014088,-0.037586,0.014088,300,300,high_variance
cuad,gpt54,ppipp,200,239.0,0.502977,0.029008,0.023342,0.029008,300,300,high_variance
cuad,gpt54,ppipp,200,286.0,0.420016,0.024223,0.019776,0.024223,300,300,high_variance
cuad,gpt54,ppipp,200,342.0,0.394532,0.022778,0.001291,0.022778,300,300,high_variance
cuad,gpt54,ppipp,200,408.0,0.405437,0.023311,0.03683,0.023311,300,300,high_variance
cuad,gpt54,ppipp,200,488.0,0.372554,0.02146,-0.025316,0.02146,300,300,high_variance
cuad,gpt54,ppipp,200,584.0,0.337239,0.019463,-0.00913,0.019463,300,300,high_variance
cuad,gpt54,ppipp,200,698.0,0.352772,0.020326,-0.022477,0.020326,300,300,high_variance
cuad,gpt54,ppipp,200,834.0,0.307615,0.01775,0.01051,0.01775,300,300,high_variance
cuad,gpt54,ppipp,200,997.0,0.295872,0.017041,-0.020509,0.017041,300,300,high_variance
