dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,llama,llm_only,50,,0.070434,0.0,0.070434,0.0,300,300,low_variance
cuad,llama,expert_only,50,70.0,0.550602,0.03084,0.133532,0.03084,300,300,low_variance
cuad,llama,expert_only,50,97.0,0.552809,0.031439,0.09526,0.031439,300,300,low_variance
cuad,llama,expert_only,50,136.0,0.559489,0.032067,0.067318,0.032067,300,300,low_variance
cuad,llama,expert_only,50,189.0,0.570313,0.032469,0.094783,0.032469,300,300,low_variance
cuad,llama,expert_only,50,264.0,0.548813,0.031248,0.090946,0.031248,300,300,low_variance
cuad,llama,expert_only,50,368.0,0.601216,0.034109,0.111514,0.034109,300,300,low_variance
cuad,llama,expert_only,50,513.0,0.579635,0.03229,0.152278,0.03229,300,300,low_variance
cuad,llama,expert_only,50,715.0,0.555671,0.031379,0.11566,0.031379,300,300,low_variance
cuad,llama,expert_only,50,997.0,0.632073,0.03538,0.154905,0.03538,300,300,low_variance
cuad,llama,dsl,50,70.0,0.328509,0.018369,-0.081821,0.018369,300,300,low_variance
cuad,llama,dsl,50,97.0,0.319684,0.017062,-0.121935,0.017062,300,300,low_variance
cuad,llama,dsl,50,136.0,0.315402,0.01623,-0.143035,0.01623,300,300,low_variance
cuad,llama,dsl,50,189.0,0.295516,0.014612,-0.152571,0.014612,300,300,low_variance
cuad,llama,dsl,50,264.0,0.260433,0.013173,-0.125558,0.013173,300,300,low_variance
cuad,llama,dsl,50,368.0,0.259418,0.013454,-0.114011,0.013454,300,300,low_variance
cuad,llama,dsl,50,513.0,0.222139,0.011688,-0.091458,0.011688,300,300,low_variance
cuad,llama,dsl,50,715.0,0.233742,0.011563,-0.120516,0.011563,300,300,low_variance
cuad,llama,dsl,50,997.0,0.22348,0.010394,-0.1324,0.010394,300,300,low_variance
cuad,llama,ppi,50,70.0,1.276461,0.070166,0.390373,0.070166,300,300,low_variance
cuad,llama,ppi,50,97.0,0.691508,0.039539,0.095799,0.039539,300,300,low_variance
cuad,llama,ppi,50,136.0,0.487416,0.028134,0.010748,0.028134,300,300,low_variance
cuad,llama,ppi,50,189.0,0.379778,0.021783,-0.043389,0.021783,300,300,low_variance
cuad,llama,ppi,50,264.0,0.344106,0.019862,-0.007756,0.019862,300,300,low_variance
cuad,llama,ppi,50,368.0,0.334761,0.019323,0.00717,0.019323,300,300,low_variance
cuad,llama,ppi,50,513.0,0.328885,0.018936,0.024367,0.018936,300,300,low_variance
cuad,llama,ppi,50,715.0,0.268548,0.015464,-0.019399,0.015464,300,300,low_variance
cuad,llama,ppi,50,997.0,0.25158,0.014345,-0.039462,0.014345,300,300,low_variance
cuad,llama,ppipp,50,70.0,0.424757,0.024395,0.043444,0.024395,300,300,low_variance
cuad,llama,ppipp,50,97.0,0.406268,0.023454,-0.005374,0.023454,300,300,low_variance
cuad,llama,ppipp,50,136.0,0.389663,0.022403,-0.035659,0.022403,300,300,low_variance
cuad,llama,ppipp,50,189.0,0.373888,0.021533,-0.0264,0.021533,300,300,low_variance
cuad,llama,ppipp,50,264.0,0.337945,0.019471,-0.0218,0.019471,300,300,low_variance
cuad,llama,ppipp,50,368.0,0.3695,0.021331,-0.004649,0.021331,300,300,low_variance
cuad,llama,ppipp,50,513.0,0.324072,0.018658,0.024128,0.018658,300,300,low_variance
cuad,llama,ppipp,50,715.0,0.320787,0.018513,-0.009093,0.018513,300,300,low_variance
cuad,llama,ppipp,50,997.0,0.318353,0.018378,-0.004407,0.018378,300,300,low_variance
