dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,50,,0.344532,0.0,0.344532,0.0,300,300,high_variance
cuad,deepseek,expert_only,50,70.0,1.437933,0.08036,0.361033,0.08036,300,300,high_variance
cuad,deepseek,expert_only,50,97.0,1.574838,0.089782,0.248788,0.089782,300,300,high_variance
cuad,deepseek,expert_only,50,136.0,1.609157,0.087943,0.518819,0.087943,300,300,high_variance
cuad,deepseek,expert_only,50,189.0,1.397378,0.078612,0.314185,0.078612,300,300,high_variance
cuad,deepseek,expert_only,50,264.0,1.428514,0.081141,0.255928,0.081141,300,300,high_variance
cuad,deepseek,expert_only,50,368.0,1.549127,0.087457,0.32432,0.087457,300,300,high_variance
cuad,deepseek,expert_only,50,513.0,1.380276,0.077338,0.332916,0.077338,300,300,high_variance
cuad,deepseek,expert_only,50,715.0,1.670517,0.093632,0.400696,0.093632,300,300,high_variance
cuad,deepseek,expert_only,50,997.0,1.694434,0.094504,0.43796,0.094504,300,300,high_variance
cuad,deepseek,dsl,50,70.0,0.795836,0.045838,-0.055059,0.045838,300,300,high_variance
cuad,deepseek,dsl,50,97.0,0.781961,0.044822,-0.09353,0.044822,300,300,high_variance
cuad,deepseek,dsl,50,136.0,0.641581,0.037034,-0.01295,0.037034,300,300,high_variance
cuad,deepseek,dsl,50,189.0,0.549712,0.03149,-0.06852,0.03149,300,300,high_variance
cuad,deepseek,dsl,50,264.0,0.496805,0.027983,-0.109052,0.027983,300,300,high_variance
cuad,deepseek,dsl,50,368.0,0.485108,0.027069,-0.124566,0.027069,300,300,high_variance
cuad,deepseek,dsl,50,513.0,0.423415,0.023499,-0.116708,0.023499,300,300,high_variance
cuad,deepseek,dsl,50,715.0,0.405071,0.022657,-0.100377,0.022657,300,300,high_variance
cuad,deepseek,dsl,50,997.0,0.411328,0.022742,-0.118453,0.022742,300,300,high_variance
cuad,deepseek,ppi,50,70.0,2.75113,0.157492,0.357253,0.157492,300,300,high_variance
cuad,deepseek,ppi,50,97.0,1.511947,0.086206,0.237804,0.086206,300,300,high_variance
cuad,deepseek,ppi,50,136.0,1.065394,0.060881,0.15206,0.060881,300,300,high_variance
cuad,deepseek,ppi,50,189.0,0.823688,0.047048,0.119989,0.047048,300,300,high_variance
cuad,deepseek,ppi,50,264.0,0.679841,0.039091,0.061297,0.039091,300,300,high_variance
cuad,deepseek,ppi,50,368.0,0.587545,0.033895,-0.023319,0.033895,300,300,high_variance
cuad,deepseek,ppi,50,513.0,0.487888,0.02816,-0.011821,0.02816,300,300,high_variance
cuad,deepseek,ppi,50,715.0,0.469437,0.027103,-0.000132,0.027103,300,300,high_variance
cuad,deepseek,ppi,50,997.0,0.459055,0.026439,-0.03195,0.026439,300,300,high_variance
cuad,deepseek,ppipp,50,70.0,1.024678,0.058566,0.144807,0.058566,300,300,high_variance
cuad,deepseek,ppipp,50,97.0,1.057501,0.060903,0.074548,0.060903,300,300,high_variance
cuad,deepseek,ppipp,50,136.0,0.898502,0.050685,0.191362,0.050685,300,300,high_variance
cuad,deepseek,ppipp,50,189.0,0.797939,0.04583,0.081198,0.04583,300,300,high_variance
cuad,deepseek,ppipp,50,264.0,0.740456,0.042715,0.030189,0.042715,300,300,high_variance
cuad,deepseek,ppipp,50,368.0,0.764061,0.044068,0.034688,0.044068,300,300,high_variance
cuad,deepseek,ppipp,50,513.0,0.662237,0.038104,0.054723,0.038104,300,300,high_variance
cuad,deepseek,ppipp,50,715.0,0.721616,0.041486,0.066376,0.041486,300,300,high_variance
cuad,deepseek,ppipp,50,997.0,0.709019,0.040782,0.061339,0.040782,300,300,high_variance
