dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,50,,0.338834,0.0,-0.265734,0.0,300,300,full_logistic
cuad,deepseek,expert_only,50,70.0,31.932435,1.3628,5.146381,0.70665,300,300,full_logistic
cuad,deepseek,expert_only,50,97.0,30.233233,1.312679,3.208171,0.704794,300,300,full_logistic
cuad,deepseek,expert_only,50,136.0,26.301399,1.167012,3.202473,0.604612,300,300,full_logistic
cuad,deepseek,expert_only,50,189.0,30.878446,1.427779,3.372308,0.71145,300,300,full_logistic
cuad,deepseek,expert_only,50,264.0,29.995672,1.328296,3.627453,0.679344,300,300,full_logistic
cuad,deepseek,expert_only,50,368.0,28.733547,1.204381,3.835126,0.648266,300,300,full_logistic
cuad,deepseek,expert_only,50,513.0,26.311017,1.158159,3.66663,0.605392,300,300,full_logistic
cuad,deepseek,expert_only,50,715.0,28.125519,1.246526,3.956613,0.646524,300,300,full_logistic
cuad,deepseek,expert_only,50,997.0,28.894829,1.300497,2.541281,0.680533,300,300,full_logistic
cuad,deepseek,dsl,50,70.0,16.847716,0.738131,2.123837,0.369314,300,300,full_logistic
cuad,deepseek,dsl,50,97.0,12.139222,0.526091,0.969847,0.272221,300,300,full_logistic
cuad,deepseek,dsl,50,136.0,8.036745,0.331753,0.239206,0.184961,300,300,full_logistic
cuad,deepseek,dsl,50,189.0,7.628487,0.303247,0.195259,0.175266,300,300,full_logistic
cuad,deepseek,dsl,50,264.0,6.457997,0.262388,-0.051682,0.149219,300,300,full_logistic
cuad,deepseek,dsl,50,368.0,5.457913,0.211068,-0.204092,0.127106,300,300,full_logistic
cuad,deepseek,dsl,50,513.0,4.539336,0.162042,-0.27535,0.10613,300,300,full_logistic
cuad,deepseek,dsl,50,715.0,3.953327,0.137116,-0.313157,0.093002,300,300,full_logistic
cuad,deepseek,dsl,50,997.0,3.898372,0.131107,-0.505626,0.091033,300,300,full_logistic
cuad,deepseek,ppi,50,70.0,51.276222,2.189056,7.3378,1.170732,300,300,full_logistic
cuad,deepseek,ppi,50,97.0,25.178143,1.098244,3.561593,0.561183,300,300,full_logistic
cuad,deepseek,ppi,50,136.0,17.340032,0.816849,1.13367,0.413249,300,300,full_logistic
cuad,deepseek,ppi,50,189.0,10.808157,0.450011,0.462844,0.25447,300,300,full_logistic
cuad,deepseek,ppi,50,264.0,10.922874,0.510343,0.333897,0.26084,300,300,full_logistic
cuad,deepseek,ppi,50,368.0,5.67397,0.212784,0.017134,0.13464,300,300,full_logistic
cuad,deepseek,ppi,50,513.0,4.766346,0.164983,-0.129999,0.114798,300,300,full_logistic
cuad,deepseek,ppi,50,715.0,4.646542,0.174097,-0.252465,0.112057,300,300,full_logistic
cuad,deepseek,ppi,50,997.0,3.928085,0.134066,-0.17451,0.096502,300,300,full_logistic
cuad,deepseek,ppipp,50,70.0,16.456126,0.675849,2.138002,0.36371,300,300,full_logistic
cuad,deepseek,ppipp,50,97.0,13.772,0.572024,1.071816,0.316613,300,300,full_logistic
cuad,deepseek,ppipp,50,136.0,11.270972,0.483602,0.716825,0.259963,300,300,full_logistic
cuad,deepseek,ppipp,50,189.0,10.426923,0.422867,0.780417,0.238844,300,300,full_logistic
cuad,deepseek,ppipp,50,264.0,9.252213,0.358908,0.531115,0.212149,300,300,full_logistic
cuad,deepseek,ppipp,50,368.0,9.374726,0.354973,0.715758,0.215084,300,300,full_logistic
cuad,deepseek,ppipp,50,513.0,10.343371,0.454581,0.755852,0.240685,300,300,full_logistic
cuad,deepseek,ppipp,50,715.0,9.133371,0.37126,0.564658,0.214442,300,300,full_logistic
cuad,deepseek,ppipp,50,997.0,9.28468,0.399277,0.244105,0.218404,300,300,full_logistic
