dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,deepseek,llm_only,100,,high_variance,0.153478,0.0,0.153478,0.0,300,300
cuad,deepseek,expert_only,100,129.0,high_variance,0.584548,0.033323,0.092573,0.033323,300,300
cuad,deepseek,expert_only,100,167.0,high_variance,0.568181,0.032791,0.015799,0.032791,300,300
cuad,deepseek,expert_only,100,215.0,high_variance,0.610861,0.035176,0.04423,0.035176,300,300
cuad,deepseek,expert_only,100,278.0,high_variance,0.591699,0.033701,0.096836,0.033701,300,300
cuad,deepseek,expert_only,100,359.0,high_variance,0.616884,0.035309,0.080754,0.035309,300,300
cuad,deepseek,expert_only,100,463.0,high_variance,0.585378,0.03366,0.052601,0.03366,300,300
cuad,deepseek,expert_only,100,598.0,high_variance,0.596935,0.034411,0.033101,0.034411,300,300
cuad,deepseek,expert_only,100,772.0,high_variance,0.617978,0.035664,0.018193,0.035664,300,300
cuad,deepseek,expert_only,100,997.0,high_variance,0.612943,0.034252,0.154092,0.034252,300,300
cuad,deepseek,dsl,100,129.0,high_variance,0.523943,0.030016,0.064975,0.030016,300,300
cuad,deepseek,dsl,100,167.0,high_variance,0.472281,0.02719,0.035563,0.02719,300,300
cuad,deepseek,dsl,100,215.0,high_variance,0.403455,0.023267,0.019205,0.023267,300,300
cuad,deepseek,dsl,100,278.0,high_variance,0.346135,0.01965,0.063009,0.01965,300,300
cuad,deepseek,dsl,100,359.0,high_variance,0.319301,0.018376,0.025515,0.018376,300,300
cuad,deepseek,dsl,100,463.0,high_variance,0.266792,0.015391,-0.010694,0.015391,300,300
cuad,deepseek,dsl,100,598.0,high_variance,0.248113,0.014324,0.002886,0.014324,300,300
cuad,deepseek,dsl,100,772.0,high_variance,0.245717,0.01418,-0.007538,0.01418,300,300
cuad,deepseek,dsl,100,997.0,high_variance,0.206388,0.011896,0.011804,0.011896,300,300
cuad,deepseek,ppi,100,129.0,high_variance,0.523005,0.029979,0.062586,0.029979,300,300
cuad,deepseek,ppi,100,167.0,high_variance,0.472664,0.027173,0.043656,0.027173,300,300
cuad,deepseek,ppi,100,215.0,high_variance,0.399559,0.023036,0.021339,0.023036,300,300
cuad,deepseek,ppi,100,278.0,high_variance,0.345119,0.019579,0.064034,0.019579,300,300
cuad,deepseek,ppi,100,359.0,high_variance,0.316964,0.018245,0.024592,0.018245,300,300
cuad,deepseek,ppi,100,463.0,high_variance,0.269243,0.015535,-0.009704,0.015535,300,300
cuad,deepseek,ppi,100,598.0,high_variance,0.243879,0.014075,0.006856,0.014075,300,300
cuad,deepseek,ppi,100,772.0,high_variance,0.240951,0.013907,-0.006127,0.013907,300,300
cuad,deepseek,ppi,100,997.0,high_variance,0.200864,0.011596,0.002575,0.011596,300,300
cuad,deepseek,ppipp,100,129.0,high_variance,0.5313,0.030378,0.07365,0.030378,300,300
cuad,deepseek,ppipp,100,167.0,high_variance,0.482484,0.027825,0.022863,0.027825,300,300
cuad,deepseek,ppipp,100,215.0,high_variance,0.470651,0.027138,0.023751,0.027138,300,300
cuad,deepseek,ppipp,100,278.0,high_variance,0.418162,0.023768,0.073399,0.023768,300,300
cuad,deepseek,ppipp,100,359.0,high_variance,0.399712,0.022935,0.044408,0.022935,300,300
cuad,deepseek,ppipp,100,463.0,high_variance,0.36096,0.020833,0.009373,0.020833,300,300
cuad,deepseek,ppipp,100,598.0,high_variance,0.364582,0.021043,0.00887,0.021043,300,300
cuad,deepseek,ppipp,100,772.0,high_variance,0.36544,0.021098,-0.001801,0.021098,300,300
cuad,deepseek,ppipp,100,997.0,high_variance,0.349496,0.019762,0.070635,0.019762,300,300
