dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,deepseek,llm_only,50,,0.059417,0.0,-0.117957,0.0,300,300
cuad,deepseek,expert_only,50,70.0,0.436746,0.008618,0.36984,0.058699,300,300
cuad,deepseek,expert_only,50,97.0,0.460227,0.009141,0.483864,0.061732,300,300
cuad,deepseek,expert_only,50,136.0,0.426698,0.008231,0.418855,0.067636,300,300
cuad,deepseek,expert_only,50,189.0,0.445095,0.008472,0.492813,0.063471,300,300
cuad,deepseek,expert_only,50,264.0,0.442007,0.008341,0.381955,0.061175,300,300
cuad,deepseek,expert_only,50,368.0,0.457364,0.009259,0.452822,0.066294,300,300
cuad,deepseek,expert_only,50,513.0,0.455569,0.009417,0.453449,0.064341,300,300
cuad,deepseek,expert_only,50,715.0,0.446512,0.008941,0.548136,0.06265,300,300
cuad,deepseek,expert_only,50,997.0,0.433628,0.009022,0.508689,0.063613,300,300
cuad,deepseek,dsl,50,70.0,0.380025,0.007752,0.267232,0.047508,300,300
cuad,deepseek,dsl,50,97.0,0.338923,0.006504,0.259784,0.043858,300,300
cuad,deepseek,dsl,50,136.0,0.313223,0.006126,0.211263,0.041346,300,300
cuad,deepseek,dsl,50,189.0,0.271154,0.005034,0.164512,0.034985,300,300
cuad,deepseek,dsl,50,264.0,0.262157,0.005614,0.087536,0.029383,300,300
cuad,deepseek,dsl,50,368.0,0.227,0.004456,0.063558,0.026342,300,300
cuad,deepseek,dsl,50,513.0,0.196396,0.003996,0.004132,0.020724,300,300
cuad,deepseek,dsl,50,715.0,0.166544,0.003686,0.012195,0.020359,300,300
cuad,deepseek,dsl,50,997.0,0.141893,0.003415,0.015082,0.020388,300,300
cuad,deepseek,ppi,50,70.0,0.380297,0.007855,0.269552,0.048092,300,300
cuad,deepseek,ppi,50,97.0,0.339893,0.006518,0.267286,0.04388,300,300
cuad,deepseek,ppi,50,136.0,0.312969,0.006106,0.223438,0.040879,300,300
cuad,deepseek,ppi,50,189.0,0.271193,0.004999,0.170525,0.034573,300,300
cuad,deepseek,ppi,50,264.0,0.262394,0.005547,0.087469,0.027853,300,300
cuad,deepseek,ppi,50,368.0,0.223704,0.004538,0.059919,0.024806,300,300
cuad,deepseek,ppi,50,513.0,0.192531,0.003911,0.025273,0.019898,300,300
cuad,deepseek,ppi,50,715.0,0.166298,0.003812,0.004808,0.019768,300,300
cuad,deepseek,ppi,50,997.0,0.139625,0.003326,0.008379,0.019452,300,300
cuad,deepseek,ppipp,50,70.0,0.386978,0.007406,0.283214,0.048131,300,300
cuad,deepseek,ppipp,50,97.0,0.366674,0.006853,0.321199,0.047193,300,300
cuad,deepseek,ppipp,50,136.0,0.325604,0.006305,0.241761,0.045675,300,300
cuad,deepseek,ppipp,50,189.0,0.308174,0.006284,0.25019,0.043111,300,300
cuad,deepseek,ppipp,50,264.0,0.29224,0.006166,0.157995,0.037654,300,300
cuad,deepseek,ppipp,50,368.0,0.27396,0.005452,0.15534,0.035541,300,300
cuad,deepseek,ppipp,50,513.0,0.24488,0.00495,0.117317,0.030848,300,300
cuad,deepseek,ppipp,50,715.0,0.232857,0.004926,0.175002,0.031171,300,300
cuad,deepseek,ppipp,50,997.0,0.219421,0.004508,0.169818,0.032557,300,300
