dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,gpt54,llm_only,100,,high_variance,0.009442,0.0,0.009442,0.0,300,300
cuad,gpt54,expert_only,100,129.0,high_variance,0.584548,0.033323,0.092573,0.033323,300,300
cuad,gpt54,expert_only,100,167.0,high_variance,0.568181,0.032791,0.015799,0.032791,300,300
cuad,gpt54,expert_only,100,215.0,high_variance,0.610861,0.035176,0.04423,0.035176,300,300
cuad,gpt54,expert_only,100,278.0,high_variance,0.591699,0.033701,0.096836,0.033701,300,300
cuad,gpt54,expert_only,100,359.0,high_variance,0.616884,0.035309,0.080754,0.035309,300,300
cuad,gpt54,expert_only,100,463.0,high_variance,0.585378,0.03366,0.052601,0.03366,300,300
cuad,gpt54,expert_only,100,598.0,high_variance,0.596935,0.034411,0.033101,0.034411,300,300
cuad,gpt54,expert_only,100,772.0,high_variance,0.617978,0.035664,0.018193,0.035664,300,300
cuad,gpt54,expert_only,100,997.0,high_variance,0.612943,0.034252,0.154092,0.034252,300,300
cuad,gpt54,dsl,100,129.0,high_variance,0.518045,0.029654,0.067507,0.029654,300,300
cuad,gpt54,dsl,100,167.0,high_variance,0.470461,0.027046,0.04344,0.027046,300,300
cuad,gpt54,dsl,100,215.0,high_variance,0.396355,0.022872,0.012326,0.022872,300,300
cuad,gpt54,dsl,100,278.0,high_variance,0.340027,0.019258,0.066006,0.019258,300,300
cuad,gpt54,dsl,100,359.0,high_variance,0.31402,0.018072,0.025181,0.018072,300,300
cuad,gpt54,dsl,100,463.0,high_variance,0.261099,0.015071,-0.005716,0.015071,300,300
cuad,gpt54,dsl,100,598.0,high_variance,0.230567,0.013311,0.002039,0.013311,300,300
cuad,gpt54,dsl,100,772.0,high_variance,0.229213,0.013232,-0.003988,0.013232,300,300
cuad,gpt54,dsl,100,997.0,high_variance,0.197953,0.011426,-0.004424,0.011426,300,300
cuad,gpt54,ppi,100,129.0,high_variance,0.517915,0.029669,0.064515,0.029669,300,300
cuad,gpt54,ppi,100,167.0,high_variance,0.471152,0.027063,0.047545,0.027063,300,300
cuad,gpt54,ppi,100,215.0,high_variance,0.396542,0.022877,0.015578,0.022877,300,300
cuad,gpt54,ppi,100,278.0,high_variance,0.339644,0.019221,0.067241,0.019221,300,300
cuad,gpt54,ppi,100,359.0,high_variance,0.316711,0.018235,0.023429,0.018235,300,300
cuad,gpt54,ppi,100,463.0,high_variance,0.267531,0.015444,-0.003963,0.015444,300,300
cuad,gpt54,ppi,100,598.0,high_variance,0.226843,0.013092,0.006371,0.013092,300,300
cuad,gpt54,ppi,100,772.0,high_variance,0.218731,0.012628,-0.002409,0.012628,300,300
cuad,gpt54,ppi,100,997.0,high_variance,0.191516,0.011047,-0.008278,0.011047,300,300
cuad,gpt54,ppipp,100,129.0,high_variance,0.528108,0.030186,0.074431,0.030186,300,300
cuad,gpt54,ppipp,100,167.0,high_variance,0.481329,0.027752,0.024932,0.027752,300,300
cuad,gpt54,ppipp,100,215.0,high_variance,0.466152,0.026888,0.020298,0.026888,300,300
cuad,gpt54,ppipp,100,278.0,high_variance,0.416379,0.023652,0.074517,0.023652,300,300
cuad,gpt54,ppipp,100,359.0,high_variance,0.398714,0.022883,0.043363,0.022883,300,300
cuad,gpt54,ppipp,100,463.0,high_variance,0.354215,0.020438,0.012426,0.020438,300,300
cuad,gpt54,ppipp,100,598.0,high_variance,0.354465,0.02046,0.007705,0.02046,300,300
cuad,gpt54,ppipp,100,772.0,high_variance,0.358209,0.020681,-0.001736,0.020681,300,300
cuad,gpt54,ppipp,100,997.0,high_variance,0.345186,0.019579,0.064429,0.019579,300,300
