dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,gpt54,llm_only,200,,low_variance,0.019608,0.0,0.019608,0.0,300,300
cuad,gpt54,expert_only,200,239.0,low_variance,0.189695,0.010835,0.027655,0.010835,300,300
cuad,gpt54,expert_only,200,286.0,low_variance,0.191133,0.011033,0.003834,0.011033,300,300
cuad,gpt54,expert_only,200,342.0,low_variance,0.194525,0.011138,0.025004,0.011138,300,300
cuad,gpt54,expert_only,200,408.0,low_variance,0.205925,0.011825,0.021359,0.011825,300,300
cuad,gpt54,expert_only,200,488.0,low_variance,0.188283,0.01086,-0.008352,0.01086,300,300
cuad,gpt54,expert_only,200,584.0,low_variance,0.207265,0.011924,0.017451,0.011924,300,300
cuad,gpt54,expert_only,200,698.0,low_variance,0.184445,0.010648,0.002969,0.010648,300,300
cuad,gpt54,expert_only,200,834.0,low_variance,0.203912,0.011771,0.00344,0.011771,300,300
cuad,gpt54,expert_only,200,997.0,low_variance,0.195873,0.011189,0.028484,0.011189,300,300
cuad,gpt54,dsl,200,239.0,low_variance,0.176958,0.010129,0.023094,0.010129,300,300
cuad,gpt54,dsl,200,286.0,low_variance,0.156973,0.009052,-0.00778,0.009052,300,300
cuad,gpt54,dsl,200,342.0,low_variance,0.137929,0.007882,0.019616,0.007882,300,300
cuad,gpt54,dsl,200,408.0,low_variance,0.135659,0.007812,0.009701,0.007812,300,300
cuad,gpt54,dsl,200,488.0,low_variance,0.121963,0.007018,-0.009855,0.007018,300,300
cuad,gpt54,dsl,200,584.0,low_variance,0.106127,0.006117,0.00618,0.006117,300,300
cuad,gpt54,dsl,200,698.0,low_variance,0.094614,0.005442,-0.008126,0.005442,300,300
cuad,gpt54,dsl,200,834.0,low_variance,0.088912,0.005128,0.003978,0.005128,300,300
cuad,gpt54,dsl,200,997.0,low_variance,0.083379,0.004811,0.002707,0.004811,300,300
cuad,gpt54,ppi,200,239.0,low_variance,0.178052,0.010197,0.022559,0.010197,300,300
cuad,gpt54,ppi,200,286.0,low_variance,0.157112,0.009058,-0.008288,0.009058,300,300
cuad,gpt54,ppi,200,342.0,low_variance,0.136151,0.007778,0.019649,0.007778,300,300
cuad,gpt54,ppi,200,408.0,low_variance,0.135149,0.007788,0.008309,0.007788,300,300
cuad,gpt54,ppi,200,488.0,low_variance,0.123656,0.007123,-0.008368,0.007123,300,300
cuad,gpt54,ppi,200,584.0,low_variance,0.105639,0.006091,0.005479,0.006091,300,300
cuad,gpt54,ppi,200,698.0,low_variance,0.098417,0.005657,-0.009178,0.005657,300,300
cuad,gpt54,ppi,200,834.0,low_variance,0.087633,0.005048,0.005943,0.005048,300,300
cuad,gpt54,ppi,200,997.0,low_variance,0.084859,0.004899,0.001371,0.004899,300,300
cuad,gpt54,ppipp,200,239.0,low_variance,0.179072,0.010237,0.025057,0.010237,300,300
cuad,gpt54,ppipp,200,286.0,low_variance,0.166576,0.009617,-0.002042,0.009617,300,300
cuad,gpt54,ppipp,200,342.0,low_variance,0.156022,0.008916,0.022186,0.008916,300,300
cuad,gpt54,ppipp,200,408.0,low_variance,0.158938,0.009135,0.015052,0.009135,300,300
cuad,gpt54,ppipp,200,488.0,low_variance,0.13867,0.007991,-0.008534,0.007991,300,300
cuad,gpt54,ppipp,200,584.0,low_variance,0.143086,0.008235,0.011327,0.008235,300,300
cuad,gpt54,ppipp,200,698.0,low_variance,0.122165,0.00705,-0.003612,0.00705,300,300
cuad,gpt54,ppipp,200,834.0,low_variance,0.131189,0.007572,0.003456,0.007572,300,300
cuad,gpt54,ppipp,200,997.0,low_variance,0.122953,0.007045,0.015138,0.007045,300,300
