dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,llama,llm_only,200,,high_variance,0.484925,0.0,0.484925,0.0,300,300
cuad,llama,expert_only,200,239.0,high_variance,0.41162,0.023622,0.045059,0.023622,300,300
cuad,llama,expert_only,200,286.0,high_variance,0.438558,0.024956,0.074126,0.024956,300,300
cuad,llama,expert_only,200,342.0,high_variance,0.431442,0.024453,0.082172,0.024453,300,300
cuad,llama,expert_only,200,408.0,high_variance,0.414261,0.023826,0.036111,0.023826,300,300
cuad,llama,expert_only,200,488.0,high_variance,0.460135,0.026526,0.025302,0.026526,300,300
cuad,llama,expert_only,200,584.0,high_variance,0.394416,0.022771,0.003209,0.022771,300,300
cuad,llama,expert_only,200,698.0,high_variance,0.441224,0.024998,0.084888,0.024998,300,300
cuad,llama,expert_only,200,834.0,high_variance,0.421529,0.024268,0.031791,0.024268,300,300
cuad,llama,expert_only,200,997.0,high_variance,0.394229,0.022673,0.034601,0.022673,300,300
cuad,llama,dsl,200,239.0,high_variance,0.376567,0.021685,0.026985,0.021685,300,300
cuad,llama,dsl,200,286.0,high_variance,0.374899,0.021455,0.049562,0.021455,300,300
cuad,llama,dsl,200,342.0,high_variance,0.334837,0.019041,0.057827,0.019041,300,300
cuad,llama,dsl,200,408.0,high_variance,0.317507,0.018289,0.021594,0.018289,300,300
cuad,llama,dsl,200,488.0,high_variance,0.318712,0.018375,0.017013,0.018375,300,300
cuad,llama,dsl,200,584.0,high_variance,0.28632,0.016518,-0.011405,0.016518,300,300
cuad,llama,dsl,200,698.0,high_variance,0.276692,0.015916,0.023697,0.015916,300,300
cuad,llama,dsl,200,834.0,high_variance,0.276889,0.015982,-0.006137,0.015982,300,300
cuad,llama,dsl,200,997.0,high_variance,0.224729,0.012955,0.012312,0.012955,300,300
cuad,llama,ppi,200,239.0,high_variance,0.378681,0.021817,0.024489,0.021817,300,300
cuad,llama,ppi,200,286.0,high_variance,0.378861,0.021705,0.046912,0.021705,300,300
cuad,llama,ppi,200,342.0,high_variance,0.337477,0.019211,0.056367,0.019211,300,300
cuad,llama,ppi,200,408.0,high_variance,0.318449,0.018333,0.024147,0.018333,300,300
cuad,llama,ppi,200,488.0,high_variance,0.322402,0.018575,0.020735,0.018575,300,300
cuad,llama,ppi,200,584.0,high_variance,0.291308,0.016807,-0.010752,0.016807,300,300
cuad,llama,ppi,200,698.0,high_variance,0.286958,0.016511,0.023787,0.016511,300,300
cuad,llama,ppi,200,834.0,high_variance,0.284898,0.016445,-0.006338,0.016445,300,300
cuad,llama,ppi,200,997.0,high_variance,0.234322,0.013499,0.015551,0.013499,300,300
cuad,llama,ppipp,200,239.0,high_variance,0.384338,0.022103,0.033988,0.022103,300,300
cuad,llama,ppipp,200,286.0,high_variance,0.392922,0.022408,0.061199,0.022408,300,300
cuad,llama,ppipp,200,342.0,high_variance,0.361731,0.020527,0.066627,0.020527,300,300
cuad,llama,ppipp,200,408.0,high_variance,0.343646,0.01978,0.026728,0.01978,300,300
cuad,llama,ppipp,200,488.0,high_variance,0.361195,0.020824,0.019357,0.020824,300,300
cuad,llama,ppipp,200,584.0,high_variance,0.315523,0.018213,-0.006338,0.018213,300,300
cuad,llama,ppipp,200,698.0,high_variance,0.317626,0.018093,0.051737,0.018093,300,300
cuad,llama,ppipp,200,834.0,high_variance,0.312364,0.018019,0.012931,0.018019,300,300
cuad,llama,ppipp,200,997.0,high_variance,0.273526,0.015745,0.021189,0.015745,300,300
