dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,100,,0.14576,0.0,-0.14576,0.0,300,300,high_variance
fomc,gpt54,expert_only,100,129.0,1.290247,0.074459,0.038616,0.074459,300,300,high_variance
fomc,gpt54,expert_only,100,167.0,1.551181,0.08937,-0.100256,0.08937,300,300,high_variance
fomc,gpt54,expert_only,100,215.0,1.445644,0.083458,-0.017663,0.083458,300,300,high_variance
fomc,gpt54,expert_only,100,278.0,1.34748,0.077785,0.023681,0.077785,300,300,high_variance
fomc,gpt54,expert_only,100,359.0,1.396869,0.080631,0.028577,0.080631,300,300,high_variance
fomc,gpt54,expert_only,100,463.0,1.287462,0.074239,0.064141,0.074239,300,300,high_variance
fomc,gpt54,expert_only,100,598.0,1.417877,0.081559,0.121694,0.081559,300,300,high_variance
fomc,gpt54,expert_only,100,772.0,1.343847,0.077569,0.028674,0.077569,300,300,high_variance
fomc,gpt54,expert_only,100,997.0,1.368064,0.078827,0.086641,0.078827,300,300,high_variance
fomc,gpt54,dsl,100,129.0,1.071663,0.061561,-0.107339,0.061561,300,300,high_variance
fomc,gpt54,dsl,100,167.0,1.249656,0.071493,-0.168188,0.071493,300,300,high_variance
fomc,gpt54,dsl,100,215.0,1.111691,0.06401,-0.081684,0.06401,300,300,high_variance
fomc,gpt54,dsl,100,278.0,1.112657,0.063974,-0.10095,0.063974,300,300,high_variance
fomc,gpt54,dsl,100,359.0,1.043939,0.059794,-0.131162,0.059794,300,300,high_variance
fomc,gpt54,dsl,100,463.0,0.948917,0.054784,0.007059,0.054784,300,300,high_variance
fomc,gpt54,dsl,100,598.0,0.97544,0.056268,-0.040735,0.056268,300,300,high_variance
fomc,gpt54,dsl,100,772.0,0.987937,0.056952,-0.054407,0.056952,300,300,high_variance
fomc,gpt54,dsl,100,997.0,0.946308,0.054571,-0.045913,0.054571,300,300,high_variance
fomc,gpt54,ppi,100,129.0,3.812577,0.219661,-0.24587,0.219661,300,300,high_variance
fomc,gpt54,ppi,100,167.0,2.423254,0.139883,0.044282,0.139883,300,300,high_variance
fomc,gpt54,ppi,100,215.0,1.95723,0.11282,0.110666,0.11282,300,300,high_variance
fomc,gpt54,ppi,100,278.0,1.763107,0.101694,-0.077706,0.101694,300,300,high_variance
fomc,gpt54,ppi,100,359.0,1.413569,0.081436,-0.092859,0.081436,300,300,high_variance
fomc,gpt54,ppi,100,463.0,1.469709,0.083736,0.237803,0.083736,300,300,high_variance
fomc,gpt54,ppi,100,598.0,1.30506,0.075322,0.033908,0.075322,300,300,high_variance
fomc,gpt54,ppi,100,772.0,1.266839,0.073108,0.038192,0.073108,300,300,high_variance
fomc,gpt54,ppi,100,997.0,1.190228,0.068711,0.016797,0.068711,300,300,high_variance
fomc,gpt54,ppipp,100,129.0,1.151401,0.06645,-0.031983,0.06645,300,300,high_variance
fomc,gpt54,ppipp,100,167.0,1.359945,0.078131,-0.134608,0.078131,300,300,high_variance
fomc,gpt54,ppipp,100,215.0,1.241847,0.071662,-0.039562,0.071662,300,300,high_variance
fomc,gpt54,ppipp,100,278.0,1.157054,0.066728,-0.054688,0.066728,300,300,high_variance
fomc,gpt54,ppipp,100,359.0,1.141956,0.06585,-0.056691,0.06585,300,300,high_variance
fomc,gpt54,ppipp,100,463.0,1.034319,0.059686,0.03286,0.059686,300,300,high_variance
fomc,gpt54,ppipp,100,598.0,1.110628,0.064099,0.029621,0.064099,300,300,high_variance
fomc,gpt54,ppipp,100,772.0,1.073728,0.06196,-0.034551,0.06196,300,300,high_variance
fomc,gpt54,ppipp,100,997.0,1.059903,0.061193,0.00536,0.061193,300,300,high_variance
