dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,llama,llm_only,100,,0.01292,0.0,0.01292,0.0,300,300,high_variance
fomc,llama,expert_only,100,129.0,1.290247,0.074459,0.038616,0.074459,300,300,high_variance
fomc,llama,expert_only,100,167.0,1.551181,0.08937,-0.100256,0.08937,300,300,high_variance
fomc,llama,expert_only,100,215.0,1.445644,0.083458,-0.017663,0.083458,300,300,high_variance
fomc,llama,expert_only,100,278.0,1.34748,0.077785,0.023681,0.077785,300,300,high_variance
fomc,llama,expert_only,100,359.0,1.396869,0.080631,0.028577,0.080631,300,300,high_variance
fomc,llama,expert_only,100,463.0,1.287462,0.074239,0.064141,0.074239,300,300,high_variance
fomc,llama,expert_only,100,598.0,1.417877,0.081559,0.121694,0.081559,300,300,high_variance
fomc,llama,expert_only,100,772.0,1.343847,0.077569,0.028674,0.077569,300,300,high_variance
fomc,llama,expert_only,100,997.0,1.368064,0.078827,0.086641,0.078827,300,300,high_variance
fomc,llama,dsl,100,129.0,1.098081,0.063085,-0.108966,0.063085,300,300,high_variance
fomc,llama,dsl,100,167.0,1.29144,0.073724,-0.193014,0.073724,300,300,high_variance
fomc,llama,dsl,100,215.0,1.145037,0.065926,-0.085132,0.065926,300,300,high_variance
fomc,llama,dsl,100,278.0,1.098642,0.063284,-0.07452,0.063284,300,300,high_variance
fomc,llama,dsl,100,359.0,1.017377,0.058398,-0.109332,0.058398,300,300,high_variance
fomc,llama,dsl,100,463.0,0.987372,0.05691,-0.057132,0.05691,300,300,high_variance
fomc,llama,dsl,100,598.0,1.037,0.059865,-0.015547,0.059865,300,300,high_variance
fomc,llama,dsl,100,772.0,0.974584,0.056028,-0.089789,0.056028,300,300,high_variance
fomc,llama,dsl,100,997.0,0.983066,0.05675,-0.015987,0.05675,300,300,high_variance
fomc,llama,ppi,100,129.0,4.125755,0.238067,0.138291,0.238067,300,300,high_variance
fomc,llama,ppi,100,167.0,2.903379,0.167617,0.031568,0.167617,300,300,high_variance
fomc,llama,ppi,100,215.0,2.334648,0.133963,0.258327,0.133963,300,300,high_variance
fomc,llama,ppi,100,278.0,1.871411,0.107737,0.141324,0.107737,300,300,high_variance
fomc,llama,ppi,100,359.0,1.697016,0.097927,-0.054198,0.097927,300,300,high_variance
fomc,llama,ppi,100,463.0,1.62781,0.09354,0.157561,0.09354,300,300,high_variance
fomc,llama,ppi,100,598.0,1.362178,0.078572,0.058921,0.078572,300,300,high_variance
fomc,llama,ppi,100,772.0,1.340437,0.07739,0.000231,0.07739,300,300,high_variance
fomc,llama,ppi,100,997.0,1.333938,0.07684,0.089975,0.07684,300,300,high_variance
fomc,llama,ppipp,100,129.0,1.184505,0.068371,-0.025944,0.068371,300,300,high_variance
fomc,llama,ppipp,100,167.0,1.39698,0.080191,-0.149582,0.080191,300,300,high_variance
fomc,llama,ppipp,100,215.0,1.270977,0.073318,-0.051991,0.073318,300,300,high_variance
fomc,llama,ppipp,100,278.0,1.19084,0.068743,-0.02066,0.068743,300,300,high_variance
fomc,llama,ppipp,100,359.0,1.181968,0.068193,-0.044294,0.068193,300,300,high_variance
fomc,llama,ppipp,100,463.0,1.102028,0.063626,-0.000245,0.063626,300,300,high_variance
fomc,llama,ppipp,100,598.0,1.177005,0.067894,0.049528,0.067894,300,300,high_variance
fomc,llama,ppipp,100,772.0,1.124633,0.064892,-0.038758,0.064892,300,300,high_variance
fomc,llama,ppipp,100,997.0,1.119235,0.06461,0.018638,0.06461,300,300,high_variance
