dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,mistral,llm_only,200,,0.145463,0.0,0.145463,0.0,300,300,low_variance
fomc,mistral,expert_only,200,239.0,0.277208,0.015868,0.036103,0.015868,300,300,low_variance
fomc,mistral,expert_only,200,286.0,0.264284,0.015078,0.040502,0.015078,300,300,low_variance
fomc,mistral,expert_only,200,342.0,0.295452,0.016895,0.040715,0.016895,300,300,low_variance
fomc,mistral,expert_only,200,408.0,0.27447,0.015715,0.035287,0.015715,300,300,low_variance
fomc,mistral,expert_only,200,488.0,0.290288,0.016597,0.040395,0.016597,300,300,low_variance
fomc,mistral,expert_only,200,584.0,0.259552,0.014974,0.010095,0.014974,300,300,low_variance
fomc,mistral,expert_only,200,698.0,0.292394,0.016765,0.03427,0.016765,300,300,low_variance
fomc,mistral,expert_only,200,834.0,0.303346,0.016904,0.079375,0.016904,300,300,low_variance
fomc,mistral,expert_only,200,997.0,0.275877,0.015926,0.003865,0.015926,300,300,low_variance
fomc,mistral,dsl,200,239.0,0.231876,0.010704,-0.139256,0.010704,300,300,low_variance
fomc,mistral,dsl,200,286.0,0.227632,0.010921,-0.126639,0.010921,300,300,low_variance
fomc,mistral,dsl,200,342.0,0.242637,0.011303,-0.143327,0.011303,300,300,low_variance
fomc,mistral,dsl,200,408.0,0.236102,0.01094,-0.14084,0.01094,300,300,low_variance
fomc,mistral,dsl,200,488.0,0.236615,0.011133,-0.137118,0.011133,300,300,low_variance
fomc,mistral,dsl,200,584.0,0.249428,0.011551,-0.148945,0.011551,300,300,low_variance
fomc,mistral,dsl,200,698.0,0.243206,0.011823,-0.1312,0.011823,300,300,low_variance
fomc,mistral,dsl,200,834.0,0.232027,0.011977,-0.103916,0.011977,300,300,low_variance
fomc,mistral,dsl,200,997.0,0.252558,0.011025,-0.165293,0.011025,300,300,low_variance
fomc,mistral,ppi,200,239.0,1.11302,0.06401,-0.098102,0.06401,300,300,low_variance
fomc,mistral,ppi,200,286.0,0.420492,0.024037,-0.059048,0.024037,300,300,low_variance
fomc,mistral,ppi,200,342.0,0.395335,0.022601,-0.055246,0.022601,300,300,low_variance
fomc,mistral,ppi,200,408.0,0.317114,0.018162,-0.040044,0.018162,300,300,low_variance
fomc,mistral,ppi,200,488.0,0.302523,0.017321,-0.038973,0.017321,300,300,low_variance
fomc,mistral,ppi,200,584.0,0.307945,0.017433,-0.060434,0.017433,300,300,low_variance
fomc,mistral,ppi,200,698.0,0.304205,0.017525,-0.019994,0.017525,300,300,low_variance
fomc,mistral,ppi,200,834.0,0.319014,0.018418,-0.002607,0.018418,300,300,low_variance
fomc,mistral,ppi,200,997.0,0.298338,0.016937,-0.054319,0.016937,300,300,low_variance
fomc,mistral,ppipp,200,239.0,0.241999,0.013839,-0.033285,0.013839,300,300,low_variance
fomc,mistral,ppipp,200,286.0,0.230052,0.013172,-0.02954,0.013172,300,300,low_variance
fomc,mistral,ppipp,200,342.0,0.254757,0.014599,-0.031011,0.014599,300,300,low_variance
fomc,mistral,ppipp,200,408.0,0.237935,0.013597,-0.033875,0.013597,300,300,low_variance
fomc,mistral,ppipp,200,488.0,0.241336,0.013808,-0.032369,0.013808,300,300,low_variance
fomc,mistral,ppipp,200,584.0,0.232524,0.013025,-0.056322,0.013025,300,300,low_variance
fomc,mistral,ppipp,200,698.0,0.250355,0.014331,-0.032576,0.014331,300,300,low_variance
fomc,mistral,ppipp,200,834.0,0.24924,0.014387,0.004551,0.014387,300,300,low_variance
fomc,mistral,ppipp,200,997.0,0.245515,0.013728,-0.061125,0.013728,300,300,low_variance
