dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,50,,0.061151,0.0,-0.061151,0.0,300,300,low_variance
fomc,deepseek,expert_only,50,70.0,1.266359,0.070747,0.319592,0.070747,300,300,low_variance
fomc,deepseek,expert_only,50,97.0,1.308135,0.07179,0.406291,0.07179,300,300,low_variance
fomc,deepseek,expert_only,50,136.0,1.271154,0.070212,0.370037,0.070212,300,300,low_variance
fomc,deepseek,expert_only,50,189.0,1.131364,0.063899,0.234627,0.063899,300,300,low_variance
fomc,deepseek,expert_only,50,264.0,1.101083,0.062241,0.224048,0.062241,300,300,low_variance
fomc,deepseek,expert_only,50,368.0,0.992777,0.05619,0.195954,0.05619,300,300,low_variance
fomc,deepseek,expert_only,50,513.0,1.216062,0.067185,0.353059,0.067185,300,300,low_variance
fomc,deepseek,expert_only,50,715.0,1.056214,0.059999,0.188727,0.059999,300,300,low_variance
fomc,deepseek,expert_only,50,997.0,1.165705,0.064883,0.309717,0.064883,300,300,low_variance
fomc,deepseek,dsl,50,70.0,0.4357,0.023604,-0.150637,0.023604,300,300,low_variance
fomc,deepseek,dsl,50,97.0,0.454057,0.025579,-0.099442,0.025579,300,300,low_variance
fomc,deepseek,dsl,50,136.0,0.438019,0.024235,-0.12516,0.024235,300,300,low_variance
fomc,deepseek,dsl,50,189.0,0.416981,0.022362,-0.154449,0.022362,300,300,low_variance
fomc,deepseek,dsl,50,264.0,0.426847,0.023047,-0.15115,0.023047,300,300,low_variance
fomc,deepseek,dsl,50,368.0,0.409861,0.022171,-0.143255,0.022171,300,300,low_variance
fomc,deepseek,dsl,50,513.0,0.386047,0.021244,-0.1168,0.021244,300,300,low_variance
fomc,deepseek,dsl,50,715.0,0.414035,0.0221,-0.157813,0.0221,300,300,low_variance
fomc,deepseek,dsl,50,997.0,0.403618,0.021232,-0.166336,0.021232,300,300,low_variance
fomc,deepseek,ppi,50,70.0,6.359946,0.348869,1.983934,0.348869,300,300,low_variance
fomc,deepseek,ppi,50,97.0,4.67991,0.258378,1.368878,0.258378,300,300,low_variance
fomc,deepseek,ppi,50,136.0,3.557323,0.198278,0.927491,0.198278,300,300,low_variance
fomc,deepseek,ppi,50,189.0,2.044987,0.115808,0.398179,0.115808,300,300,low_variance
fomc,deepseek,ppi,50,264.0,1.336418,0.076133,0.217167,0.076133,300,300,low_variance
fomc,deepseek,ppi,50,368.0,2.18048,0.123373,0.433822,0.123373,300,300,low_variance
fomc,deepseek,ppi,50,513.0,1.858947,0.105371,0.35327,0.105371,300,300,low_variance
fomc,deepseek,ppi,50,715.0,1.772131,0.10082,0.301777,0.10082,300,300,low_variance
fomc,deepseek,ppi,50,997.0,2.405302,0.136685,0.425005,0.136685,300,300,low_variance
fomc,deepseek,ppipp,50,70.0,0.60876,0.035103,0.030515,0.035103,300,300,low_variance
fomc,deepseek,ppipp,50,97.0,0.647572,0.036958,0.097842,0.036958,300,300,low_variance
fomc,deepseek,ppipp,50,136.0,0.616112,0.035398,0.060756,0.035398,300,300,low_variance
fomc,deepseek,ppipp,50,189.0,0.570037,0.032911,0.001196,0.032911,300,300,low_variance
fomc,deepseek,ppipp,50,264.0,0.576333,0.033275,0.000415,0.033275,300,300,low_variance
fomc,deepseek,ppipp,50,368.0,0.501457,0.028943,-0.012058,0.028943,300,300,low_variance
fomc,deepseek,ppipp,50,513.0,0.56117,0.032186,0.06421,0.032186,300,300,low_variance
fomc,deepseek,ppipp,50,715.0,0.531961,0.030681,-0.024148,0.030681,300,300,low_variance
fomc,deepseek,ppipp,50,997.0,0.553532,0.031947,0.014367,0.031947,300,300,low_variance
