dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,gpt54,llm_only,50,,0.081712,0.0,0.081712,0.0,300,300,low_variance
fomc,gpt54,expert_only,50,70.0,1.266359,0.070747,0.319592,0.070747,300,300,low_variance
fomc,gpt54,expert_only,50,97.0,1.308135,0.07179,0.406291,0.07179,300,300,low_variance
fomc,gpt54,expert_only,50,136.0,1.271154,0.070212,0.370037,0.070212,300,300,low_variance
fomc,gpt54,expert_only,50,189.0,1.131364,0.063899,0.234627,0.063899,300,300,low_variance
fomc,gpt54,expert_only,50,264.0,1.101083,0.062241,0.224048,0.062241,300,300,low_variance
fomc,gpt54,expert_only,50,368.0,0.992777,0.05619,0.195954,0.05619,300,300,low_variance
fomc,gpt54,expert_only,50,513.0,1.216062,0.067185,0.353059,0.067185,300,300,low_variance
fomc,gpt54,expert_only,50,715.0,1.056214,0.059999,0.188727,0.059999,300,300,low_variance
fomc,gpt54,expert_only,50,997.0,1.165705,0.064883,0.309717,0.064883,300,300,low_variance
fomc,gpt54,dsl,50,70.0,0.422711,0.022801,-0.150723,0.022801,300,300,low_variance
fomc,gpt54,dsl,50,97.0,0.443762,0.02488,-0.105918,0.02488,300,300,low_variance
fomc,gpt54,dsl,50,136.0,0.401497,0.022106,-0.120838,0.022106,300,300,low_variance
fomc,gpt54,dsl,50,189.0,0.401027,0.021278,-0.158096,0.021278,300,300,low_variance
fomc,gpt54,dsl,50,264.0,0.402919,0.02178,-0.141532,0.02178,300,300,low_variance
fomc,gpt54,dsl,50,368.0,0.389056,0.020961,-0.139846,0.020961,300,300,low_variance
fomc,gpt54,dsl,50,513.0,0.37868,0.020552,-0.129179,0.020552,300,300,low_variance
fomc,gpt54,dsl,50,715.0,0.402208,0.02154,-0.150273,0.02154,300,300,low_variance
fomc,gpt54,dsl,50,997.0,0.379775,0.019876,-0.16035,0.019876,300,300,low_variance
fomc,gpt54,ppi,50,70.0,3.612931,0.204149,0.741734,0.204149,300,300,low_variance
fomc,gpt54,ppi,50,97.0,2.198277,0.123933,0.473926,0.123933,300,300,low_variance
fomc,gpt54,ppi,50,136.0,1.628139,0.093056,0.230273,0.093056,300,300,low_variance
fomc,gpt54,ppi,50,189.0,0.986386,0.056604,0.108353,0.056604,300,300,low_variance
fomc,gpt54,ppi,50,264.0,0.92443,0.052743,0.141546,0.052743,300,300,low_variance
fomc,gpt54,ppi,50,368.0,1.47011,0.084075,0.201561,0.084075,300,300,low_variance
fomc,gpt54,ppi,50,513.0,0.784954,0.045056,0.084547,0.045056,300,300,low_variance
fomc,gpt54,ppi,50,715.0,1.28713,0.073691,0.166067,0.073691,300,300,low_variance
fomc,gpt54,ppi,50,997.0,0.926395,0.053465,0.025496,0.053465,300,300,low_variance
fomc,gpt54,ppipp,50,70.0,0.588767,0.033946,0.030617,0.033946,300,300,low_variance
fomc,gpt54,ppipp,50,97.0,0.61382,0.035031,0.09285,0.035031,300,300,low_variance
fomc,gpt54,ppipp,50,136.0,0.552968,0.031784,0.052084,0.031784,300,300,low_variance
fomc,gpt54,ppipp,50,189.0,0.52923,0.03055,-0.009721,0.03055,300,300,low_variance
fomc,gpt54,ppipp,50,264.0,0.524951,0.030308,0.00116,0.030308,300,300,low_variance
fomc,gpt54,ppipp,50,368.0,0.477536,0.02757,0.00278,0.02757,300,300,low_variance
fomc,gpt54,ppipp,50,513.0,0.500575,0.028799,0.04191,0.028799,300,300,low_variance
fomc,gpt54,ppipp,50,715.0,0.478017,0.027572,-0.020741,0.027572,300,300,low_variance
fomc,gpt54,ppipp,50,997.0,0.492383,0.028417,0.013238,0.028417,300,300,low_variance
