dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,claude,llm_only,200,,0.18326,0.0,0.602116,0.0,300,300
fomc,claude,expert_only,200,239.0,0.15237,0.002611,-0.023258,0.059639,300,300
fomc,claude,expert_only,200,286.0,0.147589,0.002624,-0.001253,0.055596,300,300
fomc,claude,expert_only,200,342.0,0.148032,0.002412,0.040466,0.059325,300,300
fomc,claude,expert_only,200,408.0,0.151771,0.002644,-0.096475,0.057131,300,300
fomc,claude,expert_only,200,488.0,0.152406,0.002646,0.001563,0.055322,300,300
fomc,claude,expert_only,200,584.0,0.145247,0.002738,-0.006238,0.054475,300,300
fomc,claude,expert_only,200,698.0,0.148103,0.002505,0.107206,0.05596,300,300
fomc,claude,expert_only,200,834.0,0.149351,0.002604,0.046186,0.056748,300,300
fomc,claude,expert_only,200,997.0,0.151692,0.002543,0.034453,0.057655,300,300
fomc,claude,dsl,200,239.0,0.145181,0.002469,-0.014481,0.057294,300,300
fomc,claude,dsl,200,286.0,0.136089,0.002351,-0.002751,0.054311,300,300
fomc,claude,dsl,200,342.0,0.135694,0.002207,0.061206,0.05082,300,300
fomc,claude,dsl,200,408.0,0.135318,0.002168,-0.08195,0.050743,300,300
fomc,claude,dsl,200,488.0,0.129589,0.002185,0.014847,0.048444,300,300
fomc,claude,dsl,200,584.0,0.124885,0.002194,-0.03135,0.047435,300,300
fomc,claude,dsl,200,698.0,0.125219,0.002243,0.05461,0.04621,300,300
fomc,claude,dsl,200,834.0,0.12272,0.002096,0.013427,0.043424,300,300
fomc,claude,dsl,200,997.0,0.122449,0.001997,0.020701,0.047042,300,300
fomc,claude,ppi,200,239.0,0.14663,0.002461,-0.009965,0.058895,300,300
fomc,claude,ppi,200,286.0,0.14047,0.002435,-0.01355,0.057388,300,300
fomc,claude,ppi,200,342.0,0.142565,0.002402,0.066607,0.05187,300,300
fomc,claude,ppi,200,408.0,0.140126,0.002306,-0.071564,0.053267,300,300
fomc,claude,ppi,200,488.0,0.136767,0.002411,0.037505,0.051116,300,300
fomc,claude,ppi,200,584.0,0.134824,0.002203,-0.014366,0.052521,300,300
fomc,claude,ppi,200,698.0,0.134077,0.002336,0.014232,0.050285,300,300
fomc,claude,ppi,200,834.0,0.134029,0.002244,0.011314,0.046118,300,300
fomc,claude,ppi,200,997.0,0.132943,0.002186,0.017276,0.051962,300,300
fomc,claude,ppipp,200,239.0,0.147127,0.002533,-0.018346,0.058057,300,300
fomc,claude,ppipp,200,286.0,0.138868,0.002439,-0.0057,0.0537,300,300
fomc,claude,ppipp,200,342.0,0.1374,0.002191,0.050997,0.05402,300,300
fomc,claude,ppipp,200,408.0,0.137849,0.002295,-0.086041,0.052429,300,300
fomc,claude,ppipp,200,488.0,0.134773,0.002312,0.014696,0.049506,300,300
fomc,claude,ppipp,200,584.0,0.12752,0.002345,-0.005811,0.048285,300,300
fomc,claude,ppipp,200,698.0,0.129122,0.002223,0.081039,0.048559,300,300
fomc,claude,ppipp,200,834.0,0.127648,0.002248,0.041363,0.047827,300,300
fomc,claude,ppipp,200,997.0,0.129139,0.00213,0.032318,0.04959,300,300
