dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
fomc,claude,llm_only,50,,high_variance,0.575919,0.0,0.575919,0.0,300,300
fomc,claude,expert_only,50,70.0,high_variance,2.638589,0.151645,-0.251608,0.151645,300,300
fomc,claude,expert_only,50,97.0,high_variance,2.664352,0.153709,0.103948,0.153709,300,300
fomc,claude,expert_only,50,136.0,high_variance,2.750599,0.15739,-0.366495,0.15739,300,300
fomc,claude,expert_only,50,189.0,high_variance,2.644254,0.152401,0.155748,0.152401,300,300
fomc,claude,expert_only,50,264.0,high_variance,2.693269,0.154997,-0.215482,0.154997,300,300
fomc,claude,expert_only,50,368.0,high_variance,2.820447,0.16283,-0.029117,0.16283,300,300
fomc,claude,expert_only,50,513.0,high_variance,2.70341,0.154627,-0.368164,0.154627,300,300
fomc,claude,expert_only,50,715.0,high_variance,2.965972,0.171216,-0.050433,0.171216,300,300
fomc,claude,expert_only,50,997.0,high_variance,2.807337,0.162069,0.035134,0.162069,300,300
fomc,claude,dsl,50,70.0,high_variance,2.486192,0.143078,-0.199335,0.143078,300,300
fomc,claude,dsl,50,97.0,high_variance,2.340556,0.1345,0.226168,0.1345,300,300
fomc,claude,dsl,50,136.0,high_variance,2.262138,0.13014,-0.190557,0.13014,300,300
fomc,claude,dsl,50,189.0,high_variance,2.185909,0.125856,0.162038,0.125856,300,300
fomc,claude,dsl,50,264.0,high_variance,2.135404,0.123207,-0.077248,0.123207,300,300
fomc,claude,dsl,50,368.0,high_variance,2.01979,0.116591,-0.039302,0.116591,300,300
fomc,claude,dsl,50,513.0,high_variance,2.10835,0.120802,-0.259225,0.120802,300,300
fomc,claude,dsl,50,715.0,high_variance,2.155534,0.124296,-0.10705,0.124296,300,300
fomc,claude,dsl,50,997.0,high_variance,2.075145,0.119756,0.061601,0.119756,300,300
fomc,claude,ppi,50,70.0,high_variance,2.581134,0.148713,-0.166112,0.148713,300,300
fomc,claude,ppi,50,97.0,high_variance,2.364321,0.135549,0.279163,0.135549,300,300
fomc,claude,ppi,50,136.0,high_variance,2.326383,0.134295,-0.039383,0.134295,300,300
fomc,claude,ppi,50,189.0,high_variance,2.356887,0.135666,0.182558,0.135666,300,300
fomc,claude,ppi,50,264.0,high_variance,2.267024,0.130869,-0.036944,0.130869,300,300
fomc,claude,ppi,50,368.0,high_variance,2.013178,0.116217,-0.031659,0.116217,300,300
fomc,claude,ppi,50,513.0,high_variance,2.230198,0.12808,-0.229058,0.12808,300,300
fomc,claude,ppi,50,715.0,high_variance,2.255171,0.130031,-0.115697,0.130031,300,300
fomc,claude,ppi,50,997.0,high_variance,2.262278,0.130513,0.08857,0.130513,300,300
fomc,claude,ppipp,50,70.0,high_variance,2.478781,0.142682,-0.192048,0.142682,300,300
fomc,claude,ppipp,50,97.0,high_variance,2.417907,0.139152,0.193075,0.139152,300,300
fomc,claude,ppipp,50,136.0,high_variance,2.374776,0.136518,-0.220095,0.136518,300,300
fomc,claude,ppipp,50,189.0,high_variance,2.280337,0.131076,0.21366,0.131076,300,300
fomc,claude,ppipp,50,264.0,high_variance,2.231043,0.128673,-0.102512,0.128673,300,300
fomc,claude,ppipp,50,368.0,high_variance,2.209526,0.127566,0.010521,0.127566,300,300
fomc,claude,ppipp,50,513.0,high_variance,2.18081,0.125016,-0.259351,0.125016,300,300
fomc,claude,ppipp,50,715.0,high_variance,2.37684,0.137218,-0.02683,0.137218,300,300
fomc,claude,ppipp,50,997.0,high_variance,2.265781,0.130623,0.122564,0.130623,300,300
