dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
fomc,claude,llm_only,50,,low_variance,0.157163,0.0,-0.157163,0.0,300,300
fomc,claude,expert_only,50,70.0,low_variance,0.481619,0.027805,0.003643,0.027805,300,300
fomc,claude,expert_only,50,97.0,low_variance,0.524743,0.030161,0.04956,0.030161,300,300
fomc,claude,expert_only,50,136.0,low_variance,0.48182,0.027654,0.052205,0.027654,300,300
fomc,claude,expert_only,50,189.0,low_variance,0.5503,0.03163,0.051902,0.03163,300,300
fomc,claude,expert_only,50,264.0,low_variance,0.534464,0.030804,0.031342,0.030804,300,300
fomc,claude,expert_only,50,368.0,low_variance,0.52176,0.030111,0.01502,0.030111,300,300
fomc,claude,expert_only,50,513.0,low_variance,0.501692,0.028429,0.09608,0.028429,300,300
fomc,claude,expert_only,50,715.0,low_variance,0.49144,0.028325,0.028654,0.028325,300,300
fomc,claude,expert_only,50,997.0,low_variance,0.523911,0.030228,0.019217,0.030228,300,300
fomc,claude,dsl,50,70.0,low_variance,0.459862,0.026543,-0.010934,0.026543,300,300
fomc,claude,dsl,50,97.0,low_variance,0.449748,0.025831,0.045818,0.025831,300,300
fomc,claude,dsl,50,136.0,low_variance,0.394723,0.022731,0.028332,0.022731,300,300
fomc,claude,dsl,50,189.0,low_variance,0.412715,0.023785,0.024825,0.023785,300,300
fomc,claude,dsl,50,264.0,low_variance,0.421085,0.024296,-0.015056,0.024296,300,300
fomc,claude,dsl,50,368.0,low_variance,0.382874,0.022103,0.005573,0.022103,300,300
fomc,claude,dsl,50,513.0,low_variance,0.360284,0.020634,0.045545,0.020634,300,300
fomc,claude,dsl,50,715.0,low_variance,0.371905,0.021471,0.003901,0.021471,300,300
fomc,claude,dsl,50,997.0,low_variance,0.402545,0.02322,-0.016965,0.02322,300,300
fomc,claude,ppi,50,70.0,low_variance,0.460771,0.026532,-0.033436,0.026532,300,300
fomc,claude,ppi,50,97.0,low_variance,0.433178,0.024755,0.061608,0.024755,300,300
fomc,claude,ppi,50,136.0,low_variance,0.407419,0.023402,0.041102,0.023402,300,300
fomc,claude,ppi,50,189.0,low_variance,0.404366,0.023275,0.031437,0.023275,300,300
fomc,claude,ppi,50,264.0,low_variance,0.437994,0.025264,-0.018795,0.025264,300,300
fomc,claude,ppi,50,368.0,low_variance,0.393775,0.022712,0.017473,0.022712,300,300
fomc,claude,ppi,50,513.0,low_variance,0.390294,0.022524,0.01145,0.022524,300,300
fomc,claude,ppi,50,715.0,low_variance,0.379532,0.021819,0.034998,0.021819,300,300
fomc,claude,ppi,50,997.0,low_variance,0.388056,0.022404,-0.00045,0.022404,300,300
fomc,claude,ppipp,50,70.0,low_variance,0.448068,0.025865,-0.007948,0.025865,300,300
fomc,claude,ppipp,50,97.0,low_variance,0.46769,0.026833,0.052282,0.026833,300,300
fomc,claude,ppipp,50,136.0,low_variance,0.415123,0.023832,0.044101,0.023832,300,300
fomc,claude,ppipp,50,189.0,low_variance,0.448076,0.025769,0.039404,0.025769,300,300
fomc,claude,ppipp,50,264.0,low_variance,0.434873,0.025091,0.0158,0.025091,300,300
fomc,claude,ppipp,50,368.0,low_variance,0.402925,0.023254,0.010974,0.023254,300,300
fomc,claude,ppipp,50,513.0,low_variance,0.40202,0.022898,0.065732,0.022898,300,300
fomc,claude,ppipp,50,715.0,low_variance,0.387721,0.022342,0.024068,0.022342,300,300
fomc,claude,ppipp,50,997.0,low_variance,0.416231,0.024031,0.002717,0.024031,300,300
