dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,deepseek,llm_only,100,,0.234948,0.0,-0.075827,0.0,300,300
fomc,deepseek,expert_only,100,129.0,0.226681,0.003935,-0.013478,0.08135,300,300
fomc,deepseek,expert_only,100,167.0,0.225908,0.003809,0.119694,0.08795,300,300
fomc,deepseek,expert_only,100,215.0,0.228196,0.003825,0.053764,0.084604,300,300
fomc,deepseek,expert_only,100,278.0,0.230541,0.003957,0.015382,0.085643,300,300
fomc,deepseek,expert_only,100,359.0,0.227275,0.003916,-0.006337,0.090537,300,300
fomc,deepseek,expert_only,100,463.0,0.224544,0.003931,-0.060787,0.082532,300,300
fomc,deepseek,expert_only,100,598.0,0.244062,0.004285,0.194553,0.090615,300,300
fomc,deepseek,expert_only,100,772.0,0.232284,0.004209,0.101677,0.084144,300,300
fomc,deepseek,expert_only,100,997.0,0.237788,0.004248,-0.223106,0.08899,300,300
fomc,deepseek,dsl,100,129.0,0.216232,0.003621,0.008165,0.075969,300,300
fomc,deepseek,dsl,100,167.0,0.213102,0.003672,0.081551,0.081906,300,300
fomc,deepseek,dsl,100,215.0,0.208469,0.003456,-0.013991,0.074575,300,300
fomc,deepseek,dsl,100,278.0,0.206998,0.003333,0.005766,0.07792,300,300
fomc,deepseek,dsl,100,359.0,0.198385,0.003374,-0.084726,0.077827,300,300
fomc,deepseek,dsl,100,463.0,0.198984,0.003423,0.001057,0.068343,300,300
fomc,deepseek,dsl,100,598.0,0.202661,0.003431,0.15902,0.071424,300,300
fomc,deepseek,dsl,100,772.0,0.197795,0.003293,0.132385,0.073836,300,300
fomc,deepseek,dsl,100,997.0,0.200959,0.003578,-0.166465,0.07672,300,300
fomc,deepseek,ppi,100,129.0,0.223304,0.003776,0.031456,0.076664,300,300
fomc,deepseek,ppi,100,167.0,0.225207,0.00398,0.049021,0.083429,300,300
fomc,deepseek,ppi,100,215.0,0.224674,0.003811,-0.02498,0.081709,300,300
fomc,deepseek,ppi,100,278.0,0.23077,0.003724,0.016804,0.08488,300,300
fomc,deepseek,ppi,100,359.0,0.222009,0.003854,-0.103346,0.081308,300,300
fomc,deepseek,ppi,100,463.0,0.226335,0.003842,0.029661,0.073574,300,300
fomc,deepseek,ppi,100,598.0,0.226737,0.004076,0.091254,0.077448,300,300
fomc,deepseek,ppi,100,772.0,0.229169,0.004055,0.206993,0.08341,300,300
fomc,deepseek,ppi,100,997.0,0.234495,0.004535,-0.114143,0.087585,300,300
fomc,deepseek,ppipp,100,129.0,0.218698,0.00374,-0.00686,0.077714,300,300
fomc,deepseek,ppipp,100,167.0,0.213359,0.003642,0.089644,0.083698,300,300
fomc,deepseek,ppipp,100,215.0,0.211643,0.003533,0.012244,0.079111,300,300
fomc,deepseek,ppipp,100,278.0,0.211787,0.003634,0.001444,0.080158,300,300
fomc,deepseek,ppipp,100,359.0,0.20291,0.003402,-0.056532,0.082494,300,300
fomc,deepseek,ppipp,100,463.0,0.20205,0.003519,-0.058558,0.072895,300,300
fomc,deepseek,ppipp,100,598.0,0.215031,0.003654,0.142438,0.078839,300,300
fomc,deepseek,ppipp,100,772.0,0.204198,0.003548,0.084939,0.074803,300,300
fomc,deepseek,ppipp,100,997.0,0.209804,0.003763,-0.225108,0.079677,300,300
