dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,gpt54,llm_only,50,,0.107958,0.0,-0.181266,0.0,300,300
fomc,gpt54,expert_only,50,70.0,0.349127,0.006158,0.116914,0.131295,300,300
fomc,gpt54,expert_only,50,97.0,0.357788,0.006352,0.19876,0.125399,300,300
fomc,gpt54,expert_only,50,136.0,0.36106,0.00629,-0.037912,0.129319,300,300
fomc,gpt54,expert_only,50,189.0,0.36985,0.006679,0.152946,0.128434,300,300
fomc,gpt54,expert_only,50,264.0,0.358774,0.006647,-0.240785,0.129835,300,300
fomc,gpt54,expert_only,50,368.0,0.361245,0.006533,0.145488,0.133076,300,300
fomc,gpt54,expert_only,50,513.0,0.355444,0.006062,0.089899,0.140449,300,300
fomc,gpt54,expert_only,50,715.0,0.362468,0.006448,-0.002346,0.132077,300,300
fomc,gpt54,expert_only,50,997.0,0.349432,0.005864,-0.000349,0.125702,300,300
fomc,gpt54,dsl,50,70.0,0.317471,0.005303,-0.002205,0.119561,300,300
fomc,gpt54,dsl,50,97.0,0.306236,0.005367,0.124296,0.11335,300,300
fomc,gpt54,dsl,50,136.0,0.286867,0.004996,-0.158843,0.107754,300,300
fomc,gpt54,dsl,50,189.0,0.28468,0.004932,0.136665,0.111425,300,300
fomc,gpt54,dsl,50,264.0,0.266746,0.004653,-0.220555,0.102061,300,300
fomc,gpt54,dsl,50,368.0,0.258545,0.004316,0.061744,0.098558,300,300
fomc,gpt54,dsl,50,513.0,0.265678,0.004706,0.116242,0.110159,300,300
fomc,gpt54,dsl,50,715.0,0.262981,0.005065,-0.107857,0.104215,300,300
fomc,gpt54,dsl,50,997.0,0.252729,0.004505,0.073894,0.102476,300,300
fomc,gpt54,ppi,50,70.0,0.322409,0.005361,-0.021803,0.119242,300,300
fomc,gpt54,ppi,50,97.0,0.311382,0.005384,0.115875,0.117863,300,300
fomc,gpt54,ppi,50,136.0,0.30216,0.005701,-0.191638,0.114905,300,300
fomc,gpt54,ppi,50,189.0,0.29516,0.005318,0.144596,0.113491,300,300
fomc,gpt54,ppi,50,264.0,0.281121,0.00512,-0.214543,0.105911,300,300
fomc,gpt54,ppi,50,368.0,0.271419,0.004878,-0.023488,0.106853,300,300
fomc,gpt54,ppi,50,513.0,0.284271,0.005372,0.138804,0.117185,300,300
fomc,gpt54,ppi,50,715.0,0.279875,0.005574,-0.104427,0.113131,300,300
fomc,gpt54,ppi,50,997.0,0.265819,0.004801,0.113116,0.11149,300,300
fomc,gpt54,ppipp,50,70.0,0.324525,0.005541,0.060431,0.123381,300,300
fomc,gpt54,ppipp,50,97.0,0.316176,0.005497,0.14085,0.113407,300,300
fomc,gpt54,ppipp,50,136.0,0.310205,0.005552,-0.085856,0.112664,300,300
fomc,gpt54,ppipp,50,189.0,0.302792,0.005293,0.141415,0.110901,300,300
fomc,gpt54,ppipp,50,264.0,0.291673,0.005287,-0.250011,0.106487,300,300
fomc,gpt54,ppipp,50,368.0,0.281792,0.004754,0.092405,0.10646,300,300
fomc,gpt54,ppipp,50,513.0,0.286303,0.00509,0.094475,0.11575,300,300
fomc,gpt54,ppipp,50,715.0,0.284363,0.005087,-0.061129,0.106556,300,300
fomc,gpt54,ppipp,50,997.0,0.272922,0.004712,0.035158,0.10287,300,300
