dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
fomc,mistral,llm_only,200,,low_variance,0.51273,0.0,-0.51273,0.0,300,300
fomc,mistral,expert_only,200,239.0,low_variance,0.235306,0.013584,0.003227,0.013584,300,300
fomc,mistral,expert_only,200,286.0,low_variance,0.236911,0.013676,-0.00438,0.013676,300,300
fomc,mistral,expert_only,200,342.0,low_variance,0.212772,0.012279,0.006221,0.012279,300,300
fomc,mistral,expert_only,200,408.0,low_variance,0.232658,0.013406,-0.014621,0.013406,300,300
fomc,mistral,expert_only,200,488.0,low_variance,0.207333,0.011961,-0.008407,0.011961,300,300
fomc,mistral,expert_only,200,584.0,low_variance,0.2199,0.012597,0.027352,0.012597,300,300
fomc,mistral,expert_only,200,698.0,low_variance,0.219461,0.012585,0.025437,0.012585,300,300
fomc,mistral,expert_only,200,834.0,low_variance,0.226669,0.013084,0.004656,0.013084,300,300
fomc,mistral,expert_only,200,997.0,low_variance,0.215518,0.012442,-0.002601,0.012442,300,300
fomc,mistral,dsl,200,239.0,low_variance,0.224875,0.012982,-0.002696,0.012982,300,300
fomc,mistral,dsl,200,286.0,low_variance,0.239627,0.013824,-0.009551,0.013824,300,300
fomc,mistral,dsl,200,342.0,low_variance,0.219641,0.012681,-0.001166,0.012681,300,300
fomc,mistral,dsl,200,408.0,low_variance,0.225924,0.012989,-0.020658,0.012989,300,300
fomc,mistral,dsl,200,488.0,low_variance,0.214289,0.012288,-0.024879,0.012288,300,300
fomc,mistral,dsl,200,584.0,low_variance,0.221267,0.012739,0.016547,0.012739,300,300
fomc,mistral,dsl,200,698.0,low_variance,0.211429,0.012154,0.019694,0.012154,300,300
fomc,mistral,dsl,200,834.0,low_variance,0.220457,0.012719,-0.008329,0.012719,300,300
fomc,mistral,dsl,200,997.0,low_variance,0.225835,0.013039,-0.000642,0.013039,300,300
fomc,mistral,ppi,200,239.0,low_variance,0.229051,0.013224,-0.001854,0.013224,300,300
fomc,mistral,ppi,200,286.0,low_variance,0.227278,0.013112,-0.008987,0.013112,300,300
fomc,mistral,ppi,200,342.0,low_variance,0.226345,0.013065,-0.004662,0.013065,300,300
fomc,mistral,ppi,200,408.0,low_variance,0.212426,0.01224,-0.013531,0.01224,300,300
fomc,mistral,ppi,200,488.0,low_variance,0.220324,0.012707,-0.00996,0.012707,300,300
fomc,mistral,ppi,200,584.0,low_variance,0.236611,0.013659,0.004002,0.013659,300,300
fomc,mistral,ppi,200,698.0,low_variance,0.232577,0.013397,0.015746,0.013397,300,300
fomc,mistral,ppi,200,834.0,low_variance,0.214976,0.012412,-0.000656,0.012412,300,300
fomc,mistral,ppi,200,997.0,low_variance,0.24662,0.014226,-0.010468,0.014226,300,300
fomc,mistral,ppipp,200,239.0,low_variance,0.231009,0.013337,0.002288,0.013337,300,300
fomc,mistral,ppipp,200,286.0,low_variance,0.231741,0.013375,-0.005957,0.013375,300,300
fomc,mistral,ppipp,200,342.0,low_variance,0.208587,0.012041,0.003477,0.012041,300,300
fomc,mistral,ppipp,200,408.0,low_variance,0.220846,0.01272,-0.015316,0.01272,300,300
fomc,mistral,ppipp,200,488.0,low_variance,0.200493,0.011563,-0.00923,0.011563,300,300
fomc,mistral,ppipp,200,584.0,low_variance,0.212353,0.012191,0.022489,0.012191,300,300
fomc,mistral,ppipp,200,698.0,low_variance,0.21099,0.01211,0.022909,0.01211,300,300
fomc,mistral,ppipp,200,834.0,low_variance,0.212232,0.012252,0.002301,0.012252,300,300
fomc,mistral,ppipp,200,997.0,low_variance,0.206369,0.011912,-0.004514,0.011912,300,300
