dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
fomc,mistral,llm_only,50,,0.543207,0.0,0.131771,0.0,300,300
fomc,mistral,expert_only,50,70.0,0.349127,0.006158,0.116914,0.131295,300,300
fomc,mistral,expert_only,50,97.0,0.357788,0.006352,0.19876,0.125399,300,300
fomc,mistral,expert_only,50,136.0,0.36106,0.00629,-0.037912,0.129319,300,300
fomc,mistral,expert_only,50,189.0,0.36985,0.006679,0.152946,0.128434,300,300
fomc,mistral,expert_only,50,264.0,0.358774,0.006647,-0.240785,0.129835,300,300
fomc,mistral,expert_only,50,368.0,0.361245,0.006533,0.145488,0.133076,300,300
fomc,mistral,expert_only,50,513.0,0.355444,0.006062,0.089899,0.140449,300,300
fomc,mistral,expert_only,50,715.0,0.362468,0.006448,-0.002346,0.132077,300,300
fomc,mistral,expert_only,50,997.0,0.349432,0.005864,-0.000349,0.125702,300,300
fomc,mistral,dsl,50,70.0,0.334906,0.005701,0.077435,0.129129,300,300
fomc,mistral,dsl,50,97.0,0.334004,0.005662,0.18326,0.122584,300,300
fomc,mistral,dsl,50,136.0,0.319759,0.005254,-0.095685,0.114276,300,300
fomc,mistral,dsl,50,189.0,0.320981,0.005212,0.112743,0.119038,300,300
fomc,mistral,dsl,50,264.0,0.313341,0.005571,-0.223044,0.117559,300,300
fomc,mistral,dsl,50,368.0,0.316779,0.005149,0.099266,0.117097,300,300
fomc,mistral,dsl,50,513.0,0.315927,0.005357,-0.003463,0.123868,300,300
fomc,mistral,dsl,50,715.0,0.313114,0.005274,-0.033086,0.116578,300,300
fomc,mistral,dsl,50,997.0,0.312365,0.005417,0.055765,0.111726,300,300
fomc,mistral,ppi,50,70.0,0.354419,0.006109,0.129263,0.138879,300,300
fomc,mistral,ppi,50,97.0,0.361542,0.006402,0.11223,0.136859,300,300
fomc,mistral,ppi,50,136.0,0.360166,0.006155,-0.071508,0.134572,300,300
fomc,mistral,ppi,50,189.0,0.359908,0.006167,0.040905,0.13252,300,300
fomc,mistral,ppi,50,264.0,0.356144,0.006314,-0.23559,0.132945,300,300
fomc,mistral,ppi,50,368.0,0.356907,0.006261,-0.046643,0.142963,300,300
fomc,mistral,ppi,50,513.0,0.355493,0.005998,0.043167,0.140607,300,300
fomc,mistral,ppi,50,715.0,0.35865,0.006572,0.017869,0.137953,300,300
fomc,mistral,ppi,50,997.0,0.35893,0.006715,0.073366,0.133567,300,300
fomc,mistral,ppipp,50,70.0,0.339492,0.005886,0.126505,0.12867,300,300
fomc,mistral,ppipp,50,97.0,0.342545,0.005903,0.185054,0.121572,300,300
fomc,mistral,ppipp,50,136.0,0.341561,0.005871,-0.00948,0.121642,300,300
fomc,mistral,ppipp,50,189.0,0.34119,0.005899,0.160628,0.120611,300,300
fomc,mistral,ppipp,50,264.0,0.331195,0.005968,-0.232898,0.119601,300,300
fomc,mistral,ppipp,50,368.0,0.332253,0.005864,0.173927,0.122268,300,300
fomc,mistral,ppipp,50,513.0,0.327433,0.005495,0.096225,0.130299,300,300
fomc,mistral,ppipp,50,715.0,0.331178,0.00572,0.031045,0.122378,300,300
fomc,mistral,ppipp,50,997.0,0.320377,0.005318,0.033525,0.116267,300,300
