dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,100,,101.095553,0.0,-41.692006,0.0,300,300,full_logistic
misogynistic,mistral,expert_only,100,129.0,268.882187,10.241785,18.635161,6.240822,300,300,full_logistic
misogynistic,mistral,expert_only,100,167.0,260.522503,10.37811,11.253069,6.103407,300,300,full_logistic
misogynistic,mistral,expert_only,100,215.0,271.173772,10.91134,9.556701,6.364723,300,300,full_logistic
misogynistic,mistral,expert_only,100,278.0,247.454825,9.889625,22.444434,5.686312,300,300,full_logistic
misogynistic,mistral,expert_only,100,359.0,259.861932,10.154246,19.447035,6.019402,300,300,full_logistic
misogynistic,mistral,expert_only,100,463.0,251.223547,9.794952,13.82899,5.865275,300,300,full_logistic
misogynistic,mistral,expert_only,100,598.0,279.928792,11.727312,20.159598,6.491243,300,300,full_logistic
misogynistic,mistral,expert_only,100,772.0,248.102843,9.637644,10.324844,5.811176,300,300,full_logistic
misogynistic,mistral,expert_only,100,997.0,235.097393,8.781092,15.603905,5.462266,300,300,full_logistic
misogynistic,mistral,dsl,100,129.0,105.353951,3.551461,28.752632,1.827538,300,300,full_logistic
misogynistic,mistral,dsl,100,167.0,111.610194,3.962076,30.952417,1.902972,300,300,full_logistic
misogynistic,mistral,dsl,100,215.0,113.971049,4.074614,31.787071,1.933691,300,300,full_logistic
misogynistic,mistral,dsl,100,278.0,110.092644,3.76253,32.662795,1.753658,300,300,full_logistic
misogynistic,mistral,dsl,100,359.0,109.287562,3.728339,33.919999,1.643168,300,300,full_logistic
misogynistic,mistral,dsl,100,463.0,109.161101,3.823608,33.3402,1.672863,300,300,full_logistic
misogynistic,mistral,dsl,100,598.0,101.034583,3.520645,30.351768,1.578466,300,300,full_logistic
misogynistic,mistral,dsl,100,772.0,98.723697,3.284879,30.466318,1.485925,300,300,full_logistic
misogynistic,mistral,dsl,100,997.0,97.065451,3.390222,29.605117,1.484198,300,300,full_logistic
misogynistic,mistral,ppi,100,129.0,843.845104,37.038253,180.29556,16.953532,300,300,full_logistic
misogynistic,mistral,ppi,100,167.0,717.75028,32.269828,151.797015,14.471003,300,300,full_logistic
misogynistic,mistral,ppi,100,215.0,595.995737,27.45807,108.433339,12.579312,300,300,full_logistic
misogynistic,mistral,ppi,100,278.0,621.922605,30.641454,104.979548,13.358772,300,300,full_logistic
misogynistic,mistral,ppi,100,359.0,489.264961,23.277643,92.604144,10.219784,300,300,full_logistic
misogynistic,mistral,ppi,100,463.0,427.551193,20.464563,77.53454,9.029772,300,300,full_logistic
misogynistic,mistral,ppi,100,598.0,487.8591,24.192574,82.60092,10.473532,300,300,full_logistic
misogynistic,mistral,ppi,100,772.0,370.717891,18.397509,60.307066,8.022037,300,300,full_logistic
misogynistic,mistral,ppi,100,997.0,369.611542,17.910503,64.4769,7.877567,300,300,full_logistic
misogynistic,mistral,ppipp,100,129.0,124.408917,4.300757,25.070734,2.543075,300,300,full_logistic
misogynistic,mistral,ppipp,100,167.0,118.276266,4.096809,23.202255,2.436809,300,300,full_logistic
misogynistic,mistral,ppipp,100,215.0,118.064675,4.304457,21.96302,2.469666,300,300,full_logistic
misogynistic,mistral,ppipp,100,278.0,120.910704,4.224659,26.985944,2.375269,300,300,full_logistic
misogynistic,mistral,ppipp,100,359.0,120.378366,4.275286,26.166943,2.394973,300,300,full_logistic
misogynistic,mistral,ppipp,100,463.0,115.075588,4.113583,24.38997,2.310241,300,300,full_logistic
misogynistic,mistral,ppipp,100,598.0,115.789181,4.372846,24.40407,2.32546,300,300,full_logistic
misogynistic,mistral,ppipp,100,772.0,116.881262,4.226387,22.03637,2.433354,300,300,full_logistic
misogynistic,mistral,ppipp,100,997.0,113.034585,3.940733,25.664409,2.200709,300,300,full_logistic
