dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,50,,0.311154,0.0,0.311154,0.0,300,300,low_variance
misogynistic,mistral,expert_only,50,70.0,6.095182,0.335597,1.834039,0.335597,300,300,low_variance
misogynistic,mistral,expert_only,50,97.0,6.296773,0.341405,2.163846,0.341405,300,300,low_variance
misogynistic,mistral,expert_only,50,136.0,6.904906,0.375466,2.320605,0.375466,300,300,low_variance
misogynistic,mistral,expert_only,50,189.0,6.011507,0.325669,2.078513,0.325669,300,300,low_variance
misogynistic,mistral,expert_only,50,264.0,6.343995,0.340968,2.316997,0.340968,300,300,low_variance
misogynistic,mistral,expert_only,50,368.0,6.316714,0.33796,2.373974,0.33796,300,300,low_variance
misogynistic,mistral,expert_only,50,513.0,6.538912,0.357748,2.088606,0.357748,300,300,low_variance
misogynistic,mistral,expert_only,50,715.0,6.188297,0.335417,2.131562,0.335417,300,300,low_variance
misogynistic,mistral,expert_only,50,997.0,6.243723,0.342268,1.959532,0.342268,300,300,low_variance
misogynistic,mistral,dsl,50,70.0,3.601928,0.201114,0.916412,0.201114,300,300,low_variance
misogynistic,mistral,dsl,50,97.0,3.253477,0.181213,0.85656,0.181213,300,300,low_variance
misogynistic,mistral,dsl,50,136.0,2.723983,0.15427,0.52947,0.15427,300,300,low_variance
misogynistic,mistral,dsl,50,189.0,2.607968,0.149178,0.353906,0.149178,300,300,low_variance
misogynistic,mistral,dsl,50,264.0,2.026051,0.115128,0.358549,0.115128,300,300,low_variance
misogynistic,mistral,dsl,50,368.0,2.014775,0.115127,0.288194,0.115127,300,300,low_variance
misogynistic,mistral,dsl,50,513.0,1.839702,0.106178,0.048832,0.106178,300,300,low_variance
misogynistic,mistral,dsl,50,715.0,1.790522,0.102713,0.202395,0.102713,300,300,low_variance
misogynistic,mistral,dsl,50,997.0,1.781711,0.102526,-0.145077,0.102526,300,300,low_variance
misogynistic,mistral,ppi,50,70.0,14.21007,0.806726,2.585363,0.806726,300,300,low_variance
misogynistic,mistral,ppi,50,97.0,10.015834,0.558633,2.587577,0.558633,300,300,low_variance
misogynistic,mistral,ppi,50,136.0,5.459794,0.307076,1.233148,0.307076,300,300,low_variance
misogynistic,mistral,ppi,50,189.0,5.691168,0.318965,1.366696,0.318965,300,300,low_variance
misogynistic,mistral,ppi,50,264.0,3.548237,0.19937,0.815771,0.19937,300,300,low_variance
misogynistic,mistral,ppi,50,368.0,4.868772,0.275128,0.998162,0.275128,300,300,low_variance
misogynistic,mistral,ppi,50,513.0,4.530283,0.256659,0.872546,0.256659,300,300,low_variance
misogynistic,mistral,ppi,50,715.0,4.062736,0.230098,0.788879,0.230098,300,300,low_variance
misogynistic,mistral,ppi,50,997.0,3.458114,0.19721,0.539466,0.19721,300,300,low_variance
misogynistic,mistral,ppipp,50,70.0,4.077835,0.226825,1.09266,0.226825,300,300,low_variance
misogynistic,mistral,ppipp,50,97.0,3.912537,0.213724,1.266723,0.213724,300,300,low_variance
misogynistic,mistral,ppipp,50,136.0,3.626884,0.200162,1.065314,0.200162,300,300,low_variance
misogynistic,mistral,ppipp,50,189.0,3.372123,0.187549,0.904892,0.187549,300,300,low_variance
misogynistic,mistral,ppipp,50,264.0,3.283209,0.17817,1.120777,0.17817,300,300,low_variance
misogynistic,mistral,ppipp,50,368.0,3.188239,0.174197,1.030262,0.174197,300,300,low_variance
misogynistic,mistral,ppipp,50,513.0,3.122438,0.174126,0.808467,0.174126,300,300,low_variance
misogynistic,mistral,ppipp,50,715.0,3.131408,0.17151,0.990437,0.17151,300,300,low_variance
misogynistic,mistral,ppipp,50,997.0,3.197447,0.180458,0.673915,0.180458,300,300,low_variance
